date,price
2000-01,0.78
2000-02,0.86
2000-03,1.02
2000-04,0.93
2000-05,0.63
2000-06,0.78
2000-07,0.76
2000-08,0.91
2000-09,0.39
2000-10,0.29
2000-11,0.25
2000-12,0.22
2001-01,0.32
2001-02,0.27
2001-03,0.33
2001-04,0.38
2001-05,0.30
2001-06,0.35
2001-07,0.28
2001-08,0.28
2001-09,0.23
2001-10,0.26
2001-11,0.32
2001-12,0.33
2002-01,0.37
2002-02,0.32
2002-03,0.35
2002-04,0.36
2002-05,0.35
2002-06,0.27
2002-07,0.23
2002-08,0.22
2002-09,0.22
2002-10,0.24
2002-11,0.23
2002-12,0.21
2003-01,0.21
2003-02,0.22
2003-03,0.21
2003-04,0.21
2003-05,0.27
2003-06,0.29
2003-07,0.32
2003-08,0.34
2003-09,0.31
2003-10,0.34
2003-11,0.31
2003-12,0.32
2004-01,0.34
2004-02,0.36
2004-03,0.40
2004-04,0.39
2004-05,0.42
2004-06,0.49
2004-07,0.48
2004-08,0.52
2004-09,0.58
2004-10,0.78
2004-11,1.00
2004-12,0.96
2005-01,1.15
2005-02,1.34
2005-03,1.25
2005-04,1.08
2005-05,1.19
2005-06,1.10
2005-07,1.28
2005-08,1.40
2005-09,1.60
2005-10,1.72
2005-11,2.03
2005-12,2.15
2006-01,2.26
2006-02,2.05
2006-03,1.88
2006-04,2.11
2006-05,1.79
2006-06,1.71
2006-07,2.03
2006-08,2.03
2006-09,2.30
2006-10,2.43
2006-11,2.74
2006-12,2.54
2007-01,2.57
2007-02,2.53
2007-03,2.78
2007-04,2.99
2007-05,3.63
2007-06,3.65
2007-07,3.94
2007-08,4.15
2007-09,4.59
2007-10,5.69
2007-11,5.45
2007-12,5.93
2008-01,4.05
2008-02,3.74
2008-03,4.30
2008-04,5.21
2008-05,5.65
2008-06,5.01
2008-07,4.76
2008-08,5.07
2008-09,3.40
2008-10,3.22
2008-11,2.77
2008-12,2.55
2009-01,2.70
2009-02,2.67
2009-03,3.15
2009-04,3.77
2009-05,4.07
2009-06,4.26
2009-07,4.89
2009-08,5.04
2009-09,5.55
2009-10,5.64
2009-11,5.98
2009-12,6.31
2010-01,5.75
2010-02,6.13
2010-03,7.03
2010-04,7.82
2010-05,7.69
2010-06,7.53
2010-07,7.70
2010-08,7.28
2010-09,8.49
2010-10,9.01
2010-11,9.31
2010-12,9.66
2011-01,10.16
2011-02,10.57
2011-03,10.43
2011-04,10.48
2011-05,10.41
2011-06,10.05
2011-07,11.69
2011-08,11.52
2011-09,11.41
2011-10,12.12
2011-11,11.44
2011-12,12.12
2012-01,13.66
2012-02,16.24
2012-03,17.95
2012-04,17.48
2012-05,17.29
2012-06,17.48
2012-07,18.28
2012-08,20.00
2012-09,20.06
2012-10,17.90
2012-11,17.68
2012-12,16.07
2013-01,13.76
2013-02,13.41
2013-03,13.45
2013-04,13.45
2013-05,13.75
2013-06,12.13
2013-07,13.84
2013-08,15.00
2013-09,14.67
2013-10,16.09
2013-11,17.22
2013-12,17.37
2014-01,15.50
2014-02,16.39
2014-03,16.72
2014-04,18.38
2014-05,19.83
2014-06,20.37
2014-07,20.96
2014-08,22.58
2014-09,22.20
2014-10,23.80
2014-11,26.32
2014-12,24.42
2015-01,25.93
2015-02,28.54
2015-03,27.64
2015-04,27.80
2015-05,29.06
2015-06,27.98
2015-07,27.06
2015-08,25.27
2015-09,24.72
2015-10,26.78
2015-11,26.62
2015-12,23.69
2016-01,21.91
2016-02,21.88
2016-03,24.66
2016-04,21.21
2016-05,22.73
2016-06,21.76
2016-07,23.72
2016-08,24.28
2016-09,25.88
2016-10,25.99
2016-11,25.43
2016-12,26.65
2017-01,27.92
2017-02,31.65
2017-03,33.19
2017-04,33.19
2017-05,35.44
2017-06,33.41
2017-07,34.51
2017-08,38.20
2017-09,35.90
2017-10,39.37
2017-11,40.17
2017-12,39.56
2018-01,39.14
2018-02,41.81
2018-03,39.38
2018-04,38.79
2018-05,44.03
2018-06,43.61
2018-07,44.84
2018-08,53.82
2018-09,53.37
2018-10,51.75
2018-11,42.37
2018-12,37.43
2019-01,39.49
2019-02,41.26
2019-03,45.26
2019-04,47.82
2019-05,41.88
2019-06,47.34
2019-07,50.96
2019-08,50.12
2019-09,53.78
2019-10,59.73
2019-11,64.36
2019-12,70.72
2020-01,74.54
2020-02,65.99
2020-03,61.39
2020-04,70.92
2020-05,76.96
2020-06,88.30
2020-07,102.88
2020-08,125.17
2020-09,112.33
2020-10,105.59
2020-11,115.67
2020-12,128.93
2021-01,128.22
2021-02,118.00
2021-03,118.86
2021-04,127.92
2021-05,121.46
2021-06,133.50
2021-07,142.18
2021-08,148.22
2021-09,138.13
2021-10,146.24
2021-11,161.60
2021-12,173.60
2022-01,170.87
2022-02,161.63
2022-03,170.92
2022-04,154.32
2022-05,145.91
2022-06,134.03
2022-07,159.31
2022-08,154.34
2022-09,135.67
2022-10,150.53
2022-11,145.56
2022-12,127.76
2023-01,141.88
2023-02,145.17
2023-03,162.40
2023-04,167.10
2023-05,174.80
2023-06,191.29
2023-07,193.73
2023-08,185.52
2023-09,169.07
2023-10,168.64
2023-11,187.82
2023-12,190.38
2024-01,182.34
2024-02,178.95
2024-03,169.78
2024-04,168.64
2024-05,190.60
2024-06,208.81
2024-07,220.17
2024-08,227.30
2024-09,231.27
2024-10,224.23
2024-11,235.82
2024-12,248.83
2025-01,234.50
2025-02,240.57
2025-03,220.96
2025-04,211.38
2025-05,200.06
2025-06,204.36
2025-07,206.75
2025-08,231.49
2025-09,253.91
2025-10,269.61
2025-11,278.33
2025-12,271.36
2026-01,259.00
2026-02,263.94
2026-03,253.56
2026-04,271.10
2026-05,312.06
