date,price
2017-11,0.12
2017-12,0.72
2018-01,0.52
2018-02,0.31
2018-03,0.16
2018-04,0.34
2018-05,0.23
2018-06,0.14
2018-07,0.14
2018-08,0.10
2018-09,0.09
2018-10,0.07
2018-11,0.04
2018-12,0.04
2019-01,0.04
2019-02,0.04
2019-03,0.07
2019-04,0.07
2019-05,0.09
2019-06,0.08
2019-07,0.06
2019-08,0.04
2019-09,0.04
2019-10,0.04
2019-11,0.04
2019-12,0.03
2020-01,0.05
2020-02,0.05
2020-03,0.03
2020-04,0.05
2020-05,0.07
2020-06,0.08
2020-07,0.14
2020-08,0.12
2020-09,0.10
2020-10,0.09
2020-11,0.17
2020-12,0.18
2021-01,0.34
2021-02,1.31
2021-03,1.19
2021-04,1.35
2021-05,1.74
2021-06,1.38
2021-07,1.32
2021-08,2.77
2021-09,2.11
2021-10,1.97
2021-11,1.55
2021-12,1.31
2022-01,1.05
2022-02,0.96
2022-03,1.14
2022-04,0.76
2022-05,0.63
2022-06,0.46
2022-07,0.52
2022-08,0.45
2022-09,0.43
2022-10,0.41
2022-11,0.32
2022-12,0.25
2023-01,0.39
2023-02,0.35
2023-03,0.40
2023-04,0.40
2023-05,0.37
2023-06,0.29
2023-07,0.31
2023-08,0.26
2023-09,0.25
2023-10,0.29
2023-11,0.38
2023-12,0.59
2024-01,0.50
2024-02,0.66
2024-03,0.65
2024-04,0.44
2024-05,0.45
2024-06,0.39
2024-07,0.39
2024-08,0.35
2024-09,0.37
2024-10,0.34
2024-11,1.08
2024-12,0.84
2025-01,0.94
2025-02,0.63
2025-03,0.66
2025-04,0.68
2025-05,0.69
2025-06,0.57
2025-07,0.74
2025-08,0.81
2025-09,0.81
2025-10,0.61
2025-11,0.42
2025-12,0.33
2026-01,0.29
2026-02,0.28
2026-03,0.24
2026-04,0.25
2026-05,0.24
