date,price
2000-01,3.23
2000-02,3.44
2000-03,3.35
2000-04,2.76
2000-05,2.42
2000-06,1.82
2000-07,1.51
2000-08,2.08
2000-09,1.92
2000-10,1.83
2000-11,1.23
2000-12,0.78
2001-01,0.87
2001-02,0.51
2001-03,0.51
2001-04,0.79
2001-05,0.83
2001-06,0.71
2001-07,0.62
2001-08,0.45
2001-09,0.30
2001-10,0.35
2001-11,0.57
2001-12,0.54
2002-01,0.71
2002-02,0.70
2002-03,0.71
2002-04,0.83
2002-05,0.91
2002-06,0.81
2002-07,0.72
2002-08,0.75
2002-09,0.80
2002-10,0.97
2002-11,1.17
2002-12,0.94
2003-01,1.09
2003-02,1.10
2003-03,1.30
2003-04,1.43
2003-05,1.79
2003-06,1.82
2003-07,2.08
2003-08,2.32
2003-09,2.42
2003-10,2.72
2003-11,2.70
2003-12,2.63
2004-01,2.52
2004-02,2.15
2004-03,2.16
2004-04,2.18
2004-05,2.42
2004-06,2.72
2004-07,1.95
2004-08,1.91
2004-09,2.04
2004-10,1.71
2004-11,1.98
2004-12,2.21
2005-01,2.16
2005-02,1.76
2005-03,1.71
2005-04,1.62
2005-05,1.78
2005-06,1.65
2005-07,2.26
2005-08,2.13
2005-09,2.27
2005-10,1.99
2005-11,2.42
2005-12,2.36
2006-01,2.24
2006-02,1.87
2006-03,1.83
2006-04,1.76
2006-05,1.73
2006-06,1.93
2006-07,1.34
2006-08,1.54
2006-09,1.61
2006-10,1.90
2006-11,2.02
2006-12,1.97
2007-01,1.88
2007-02,1.96
2007-03,1.99
2007-04,3.07
2007-05,3.46
2007-06,3.42
2007-07,3.93
2007-08,4.00
2007-09,4.66
2007-10,4.46
2007-11,4.53
2007-12,4.63
2008-01,3.88
2008-02,3.22
2008-03,3.57
2008-04,3.93
2008-05,4.08
2008-06,3.67
2008-07,3.82
2008-08,4.04
2008-09,3.64
2008-10,2.86
2008-11,2.13
2008-12,2.56
2009-01,2.94
2009-02,3.24
2009-03,3.67
2009-04,4.03
2009-05,3.90
2009-06,4.18
2009-07,4.29
2009-08,4.06
2009-09,4.67
2009-10,5.94
2009-11,6.80
2009-12,6.73
2010-01,6.27
2010-02,5.92
2010-03,6.79
2010-04,6.86
2010-05,6.27
2010-06,5.46
2010-07,5.89
2010-08,6.24
2010-09,7.85
2010-10,8.26
2010-11,8.77
2010-12,9.00
2011-01,8.48
2011-02,8.66
2011-03,9.01
2011-04,9.79
2011-05,9.83
2011-06,10.22
2011-07,11.13
2011-08,10.76
2011-09,10.81
2011-10,10.68
2011-11,9.61
2011-12,8.65
2012-01,9.72
2012-02,8.98
2012-03,10.13
2012-04,11.60
2012-05,10.65
2012-06,11.42
2012-07,11.66
2012-08,12.41
2012-09,12.72
2012-10,11.64
2012-11,12.60
2012-12,12.54
2013-01,13.27
2013-02,13.21
2013-03,13.32
2013-04,12.69
2013-05,13.46
2013-06,13.88
2013-07,15.06
2013-08,14.05
2013-09,15.63
2013-10,18.20
2013-11,19.68
2013-12,19.94
2014-01,17.93
2014-02,18.10
2014-03,16.82
2014-04,15.21
2014-05,15.63
2014-06,16.24
2014-07,15.65
2014-08,16.95
2014-09,16.12
2014-10,15.27
2014-11,16.93
2014-12,15.52
2015-01,17.73
2015-02,19.01
2015-03,18.60
2015-04,21.09
2015-05,21.46
2015-06,21.70
2015-07,26.81
2015-08,25.64
2015-09,25.59
2015-10,31.30
2015-11,33.24
2015-12,33.79
2016-01,29.35
2016-02,27.63
2016-03,29.68
2016-04,32.98
2016-05,36.14
2016-06,35.78
2016-07,37.94
2016-08,38.46
2016-09,41.87
2016-10,39.49
2016-11,37.53
2016-12,37.49
2017-01,41.17
2017-02,42.25
2017-03,44.33
2017-04,46.25
2017-05,49.73
