date,price
2023-09,53.52
2023-10,49.29
2023-11,61.50
2023-12,75.14
2024-01,70.67
2024-02,141.04
2024-03,124.99
2024-04,101.21
2024-05,120.52
2024-06,163.62
2024-07,144.17
2024-08,132.88
2024-09,143.01
2024-10,141.30
2024-11,134.29
2024-12,123.36
2025-01,159.55
2025-02,131.69
2025-03,106.79
2025-04,114.05
2025-05,124.54
2025-06,161.74
2025-07,141.38
2025-08,138.31
2025-09,141.49
2025-10,169.82
2025-11,135.56
2025-12,109.31
2026-01,105.36
2026-02,127.45
2026-03,151.28
2026-04,210.32
2026-05,353.29
2026-06,342.93
