date,price
2000-01,38.51
2000-02,40.14
2000-03,35.01
2000-04,37.59
2000-05,33.42
2000-06,41.47
2000-07,37.36
2000-08,35.83
2000-09,30.37
2000-10,26.14
2000-11,19.21
2000-12,21.20
2001-01,26.78
2001-02,19.91
2001-03,20.38
2001-04,25.44
2001-05,21.86
2001-06,20.91
2001-07,19.24
2001-08,17.08
2001-09,10.53
2001-10,13.51
2001-11,16.36
2001-12,16.02
2002-01,17.81
2002-02,19.12
2002-03,23.84
2002-04,20.98
2002-05,17.42
2002-06,14.21
2002-07,11.14
2002-08,9.62
2002-09,5.82
2002-10,8.08
2002-11,10.48
2002-12,7.86
2003-01,7.53
2003-02,6.79
2003-03,6.17
2003-04,8.28
2003-05,9.44
2003-06,8.99
2003-07,12.16
2003-08,14.82
2003-09,12.33
2003-10,16.49
2003-11,17.69
2003-12,18.84
2004-01,18.10
2004-02,17.16
2004-03,17.23
2004-04,14.63
2004-05,16.55
2004-06,16.08
2004-07,13.34
2004-08,12.16
2004-09,12.09
2004-10,13.39
2004-11,14.34
2004-12,14.96
2005-01,15.44
2005-02,17.22
2005-03,15.76
2005-04,13.62
2005-05,15.15
2005-06,14.72
2005-07,16.54
2005-08,15.88
2005-09,15.52
2005-10,15.96
2005-11,18.00
2005-12,18.87
2006-01,21.24
2006-02,19.43
2006-03,19.14
2006-04,19.87
2006-05,19.11
2006-06,19.00
2006-07,18.70
2006-08,20.73
2006-09,21.88
2006-10,21.46
2006-11,23.40
2006-12,23.15
2007-01,23.94
2007-02,23.10
2007-03,23.26
2007-04,25.61
2007-05,24.22
2007-06,25.80
2007-07,27.78
2007-08,27.88
2007-09,30.88
2007-10,31.60
2007-11,31.44
2007-12,28.31
2008-01,24.06
2008-02,21.79
2008-03,22.45
2008-04,26.03
2008-05,27.50
2008-06,22.40
2008-07,20.92
2008-08,21.71
2008-09,16.16
2008-10,16.11
2008-11,14.07
2008-12,16.59
2009-01,15.18
2009-02,13.89
2009-03,16.32
2009-04,19.72
2009-05,19.30
2009-06,20.18
2009-07,24.25
2009-08,25.61
2009-09,27.57
2009-10,25.12
2009-11,28.89
2009-12,31.78
2010-01,29.13
2010-02,28.74
2010-03,33.27
2010-04,30.70
2010-05,26.56
2010-06,25.82
2010-07,30.25
2010-08,23.24
2010-09,27.94
2010-10,31.17
2010-11,30.67
2010-12,36.03
2011-01,39.48
2011-02,40.98
2011-03,41.82
2011-04,39.77
2011-05,37.15
2011-06,35.20
2011-07,33.95
2011-08,33.59
2011-09,32.89
2011-10,39.93
2011-11,37.65
2011-12,39.80
2012-01,40.94
2012-02,43.38
2012-03,47.75
2012-04,49.13
2012-05,44.14
2012-06,49.55
2012-07,55.40
2012-08,54.70
2012-09,51.72
2012-10,52.98
2012-11,54.89
2012-12,56.49
2013-01,65.87
2013-02,62.27
2013-03,59.64
2013-04,65.86
2013-05,71.97
2013-06,70.06
2013-07,79.66
2013-08,77.10
2013-09,87.46
2013-10,83.87
2013-11,82.70
2013-12,82.98
2014-01,74.95
2014-02,76.29
2014-03,82.68
2014-04,72.80
2014-05,76.82
2014-06,83.43
2014-07,84.23
2014-08,85.98
2014-09,88.39
2014-10,89.16
2014-11,94.53
2014-12,96.45
2015-01,92.97
2015-02,96.32
2015-03,90.37
2015-04,96.47
2015-05,101.21
2015-06,93.84
2015-07,89.37
2015-08,82.03
2015-09,79.29
2015-10,83.62
2015-11,83.56
2015-12,80.00
2016-01,82.77
2016-02,82.03
2016-03,90.47
2016-04,87.06
2016-05,91.17
2016-06,90.47
2016-07,99.97
2016-08,97.17
2016-09,99.93
2016-10,96.32
2016-11,94.05
2016-12,102.32
2017-01,110.71
2017-02,110.97
2017-03,121.10
2017-04,121.43
2017-05,121.56
2017-06,120.01
2017-07,138.45
2017-08,143.96
2017-09,157.67
2017-10,166.47
2017-11,161.65
2017-12,160.08
2018-01,186.92
2018-02,179.95
2018-03,182.87
2018-04,175.10
2018-05,182.71
2018-06,183.94
2018-07,198.84
