date,price
2020-07,4.99
2020-09,4.32
2020-10,3.65
2020-11,3.69
2020-12,3.14
2021-01,13.52
2021-02,23.82
2021-03,28.73
2021-04,32.92
2021-05,18.16
2021-06,11.96
2021-07,13.59
2021-08,39.49
2021-09,66.77
2021-10,64.29
2021-11,120.34
2021-12,109.27
2022-01,69.99
2022-02,84.34
2022-03,96.92
2022-04,57.05
2022-05,26.39
2022-06,16.93
2022-07,23.75
2022-08,19.13
2022-09,17.20
2022-10,19.31
2022-11,13.16
2022-12,10.90
2023-01,19.84
2023-02,17.08
2023-03,17.72
2023-04,17.17
2023-05,14.12
2023-06,13.01
2023-07,12.83
2023-08,9.99
2023-09,9.24
2023-10,11.32
2023-11,21.39
2023-12,38.54
2024-01,33.16
2024-02,40.94
2024-03,54.11
2024-04,32.71
2024-05,36.06
2024-06,29.36
2024-07,25.72
2024-08,22.80
2024-09,27.74
2024-10,25.02
2024-11,44.89
2024-12,35.69
2025-01,34.40
2025-02,22.37
2025-03,18.77
2025-04,20.91
2025-05,20.80
2025-06,17.97
2025-07,22.50
2025-08,23.41
2025-09,30.00
2025-10,18.19
2025-11,13.77
2025-12,12.30
2026-01,10.11
2026-02,9.16
2026-03,8.91
2026-04,9.09
2026-05,8.92
