date,price
2009-08,1.28
2009-09,1.20
2009-10,1.05
2009-11,1.11
2009-12,1.29
2010-01,1.22
2010-02,1.28
2010-03,1.45
2010-04,1.44
2010-05,1.45
2010-06,1.48
2010-07,1.53
2010-08,1.42
2010-09,1.58
2010-10,1.73
2010-11,1.84
2010-12,2.00
2011-01,2.02
2011-02,2.40
2011-03,2.20
2011-04,2.36
2011-05,2.39
2011-06,2.69
2011-07,2.38
2011-08,2.35
2011-09,2.33
2011-10,2.40
2011-11,2.13
2011-12,2.06
2012-01,2.42
2012-02,2.68
2012-03,2.79
2012-04,2.47
2012-05,2.37
2012-06,2.58
2012-07,2.65
2012-08,2.63
2012-09,2.52
2012-10,2.39
2012-11,2.54
2012-12,2.30
2013-01,2.60
2013-02,2.48
2013-03,2.62
2013-04,2.33
2013-05,2.75
2013-06,2.74
2013-07,2.69
2013-08,2.83
2013-09,3.18
2013-10,3.36
2013-11,3.30
2013-12,3.92
2014-01,4.05
2014-02,4.58
2014-03,4.80
2014-04,4.73
2014-05,5.27
2014-06,5.39
2014-07,5.19
2014-08,6.14
2014-09,6.53
2014-10,6.48
2014-11,7.01
2014-12,7.58
2015-01,7.75
2015-02,9.62
2015-03,9.60
2015-04,8.84
2015-05,11.19
2015-06,10.08
2015-07,9.49
2015-08,9.55
2015-09,9.51
2015-10,9.36
2015-11,9.92
2015-12,11.07
2016-01,10.20
2016-02,10.22
2016-03,11.83
2016-04,11.16
2016-05,11.81
2016-06,11.93
2016-07,12.44
2016-08,13.55
2016-09,13.29
2016-10,13.11
2016-11,13.13
2016-12,13.69
2017-01,15.45
2017-02,16.34
2017-03,17.04
2017-04,17.18
2017-05,18.63
2017-06,18.21
2017-07,19.27
2017-08,19.70
2017-09,19.03
2017-10,20.70
2017-11,21.81
2017-12,20.29
2018-01,19.59
2018-02,19.46
2018-03,18.88
2018-04,18.38
2018-05,20.20
2018-06,19.70
2018-07,18.01
2018-08,17.79
2018-09,20.19
2018-10,18.28
2018-11,19.42
2018-12,21.02
2019-01,22.18
2019-02,22.77
2019-03,25.08
2019-04,26.56
2019-05,20.99
2019-06,24.24
2019-07,24.42
2019-08,23.80
2019-09,23.46
2019-10,24.89
2019-11,26.87
2019-12,27.13
2020-01,26.20
2020-02,23.40
2020-03,20.70
2020-04,23.72
2020-05,25.43
2020-06,27.84
2020-07,27.94
2020-08,30.62
2020-09,32.43
2020-10,31.12
2020-11,35.75
2020-12,39.31
2021-01,40.44
2021-02,42.18
2021-03,41.95
2021-04,41.27
2021-05,42.73
2021-06,43.48
2021-07,44.26
2021-08,45.34
2021-09,44.54
2021-10,48.83
2021-11,50.86
2021-12,61.51
2022-01,54.16
2022-02,54.30
2022-03,58.60
2022-04,51.59
2022-05,53.99
2022-06,45.59
2022-07,50.25
2022-08,46.83
2022-09,42.01
2022-10,44.48
2022-11,52.14
2022-12,53.35
2023-01,55.82
2023-02,56.70
2023-03,61.65
2023-04,60.21
2023-05,77.64
2023-06,83.80
2023-07,86.82
2023-08,89.16
2023-09,80.68
2023-10,81.73
2023-11,89.92
2023-12,108.93
2024-01,115.15
2024-02,126.91
2024-03,129.89
2024-04,127.42
2024-05,130.20
2024-06,157.84
2024-07,157.96
2024-08,160.07
2024-09,170.14
2024-10,167.45
2024-11,159.86
2024-12,229.28
2025-01,218.83
2025-02,197.23
2025-03,166.08
2025-04,190.92
2025-05,240.12
2025-06,274.08
2025-07,292.03
2025-08,295.69
2025-09,328.59
2025-10,368.15
2025-11,401.35
2025-12,345.38
2026-01,330.61
2026-02,318.88
2026-03,309.51
2026-04,417.43
2026-05,446.77
