date,price
2017-11,2.00
2017-12,8.64
2018-01,11.15
2018-02,10.44
2018-03,11.06
2018-04,14.31
2018-05,14.19
2018-06,14.66
2018-07,13.78
2018-08,11.01
2018-09,10.02
2018-10,9.36
2018-11,5.08
2018-12,6.16
2019-01,6.27
2019-02,10.37
2019-03,17.40
2019-04,22.13
2019-05,32.75
2019-06,32.44
2019-07,27.64
2019-08,21.27
2019-09,15.86
2019-10,20.00
2019-11,15.72
2019-12,13.73
2020-01,18.21
2020-02,19.58
2020-03,12.58
2020-04,17.03
2020-05,17.04
2020-06,15.41
2020-07,20.67
2020-08,23.19
2020-09,29.29
2020-10,28.43
2020-11,31.39
2020-12,37.38
2021-01,44.28
2021-02,209.57
2021-03,302.06
2021-04,624.08
2021-05,354.33
2021-06,303.30
2021-07,333.55
2021-08,464.42
2021-09,387.06
2021-10,524.36
2021-11,622.67
2021-12,511.71
2022-01,375.28
2022-02,395.61
2022-03,428.92
2022-04,377.77
2022-05,320.49
2022-06,219.30
2022-07,283.58
2022-08,279.24
2022-09,284.19
2022-10,326.36
2022-11,300.79
2022-12,246.35
2023-01,312.36
2023-02,301.47
2023-03,317.04
2023-04,337.65
2023-05,306.87
2023-06,240.37
2023-07,241.12
2023-08,216.60
2023-09,214.82
2023-10,226.44
2023-11,227.68
2023-12,312.44
2024-01,300.35
2024-02,399.78
2024-03,606.91
2024-04,578.49
2024-05,593.52
2024-06,581.77
2024-07,576.37
2024-08,532.90
2024-09,567.26
2024-10,576.03
2024-11,654.33
2024-12,700.99
2025-01,677.38
2025-02,587.45
2025-03,605.07
2025-04,599.68
2025-05,658.50
2025-06,657.03
2025-07,783.67
2025-08,857.82
2025-09,1008.48
2025-10,1088.96
2025-11,877.58
2025-12,863.26
2026-01,780.48
2026-02,617.25
2026-03,617.05
2026-04,615.07
2026-05,717.93
