date,price
2000-01,32.92
2000-02,28.80
2000-03,36.40
2000-04,38.32
2000-05,37.72
2000-06,35.20
2000-07,36.50
2000-08,38.26
2000-09,41.40
2000-10,42.06
2000-11,43.48
2000-12,47.08
2001-01,45.00
2001-02,46.78
2001-03,43.52
2001-04,45.50
2001-05,45.44
2001-06,46.00
2001-07,45.92
2001-08,46.24
2001-09,46.60
2001-10,47.08
2001-11,46.66
2001-12,50.50
2002-01,49.06
2002-02,48.50
2002-03,47.38
2002-04,48.66
2002-05,49.44
2002-06,44.68
2002-07,45.74
2002-08,48.80
2002-09,49.30
2002-10,49.20
2002-11,48.22
2002-12,48.46
2003-01,44.48
2003-02,41.30
2003-03,42.74
2003-04,46.64
2003-05,47.48
2003-06,48.60
2003-07,48.06
2003-08,50.60
2003-09,49.92
2003-10,51.85
2003-11,56.02
2003-12,56.30
2004-01,59.62
2004-02,62.66
2004-03,62.22
2004-04,62.38
2004-05,59.44
2004-06,59.10
2004-07,57.88
2004-08,57.88
2004-09,57.42
2004-10,56.08
2004-11,55.60
2004-12,58.72
2005-01,59.88
2005-02,60.30
2005-03,57.12
2005-04,55.96
2005-05,56.20
2005-06,55.67
2005-07,55.64
2005-08,55.52
2005-09,54.62
2005-10,56.30
2005-11,59.10
2005-12,58.71
2006-01,58.64
2006-02,57.76
2006-03,60.24
2006-04,59.04
2006-05,61.38
2006-06,60.86
2006-07,60.94
2006-08,64.07
2006-09,63.48
2006-10,70.30
2006-11,71.10
2006-12,73.32
2007-01,73.35
2007-02,70.46
2007-03,72.80
2007-04,72.56
2007-05,72.50
2007-06,72.10
2007-07,72.08
2007-08,77.80
2007-09,79.04
2007-10,88.28
2007-11,93.80
2007-12,94.72
2008-01,91.00
2008-02,93.49
2008-03,89.46
2008-04,89.14
2008-05,89.96
2008-06,80.24
2008-07,76.58
2008-08,78.04
2008-09,87.90
2008-10,76.80
2008-11,69.98
2008-12,64.28
2009-01,59.78
2009-02,51.28
2009-03,56.40
2009-04,61.30
2009-05,59.44
2009-06,57.92
2009-07,63.61
2009-08,65.72
2009-09,66.46
2009-10,65.66
2009-11,67.06
2009-12,65.72
2010-01,76.43
2010-02,80.13
2010-03,81.27
2010-04,77.00
2010-05,70.55
2010-06,79.69
2010-07,78.12
2010-08,78.78
2010-09,82.68
2010-10,79.56
2010-11,79.68
2010-12,80.11
2011-01,81.75
2011-02,87.28
2011-03,83.63
2011-04,83.30
2011-05,79.07
2011-06,77.39
2011-07,74.17
2011-08,73.00
2011-09,71.04
2011-10,77.86
2011-11,78.76
2011-12,76.30
2012-01,78.37
2012-02,78.45
2012-03,81.15
2012-04,80.45
2012-05,79.36
2012-06,83.33
2012-07,84.84
2012-08,84.34
2012-09,88.20
2012-10,86.35
2012-11,88.08
2012-12,89.70
2013-01,96.93
2013-02,102.16
2013-03,104.20
2013-04,106.32
2013-05,114.07
2013-06,111.92
2013-07,115.87
2013-08,111.22
2013-09,113.51
2013-10,115.09
2013-11,116.53
2013-12,118.56
2014-01,111.60
