date,price
2005-07,3884.60
2005-08,2920.75
2005-09,3870.00
2005-10,4410.34
2005-11,5330.38
2005-12,4673.21
2006-01,5637.06
2006-02,6476.77
2006-03,5805.00
2006-04,5198.94
2006-05,5790.39
2006-06,4008.73
2006-07,3147.11
2006-08,3636.34
2006-09,3147.11
2006-10,3289.50
2006-11,3504.90
2006-12,3239.68
2007-01,3036.51
2007-02,2936.77
2007-03,3084.53
2007-04,3309.87
2007-05,3620.17
2007-06,3620.17
2007-07,3309.87
2007-08,2870.27
2007-09,3235.99
2007-10,2966.32
2007-11,2312.47
2007-12,2275.41
2008-01,1873.65
2008-02,2061.39
2008-03,1884.91
2008-04,2087.67
2008-05,5647.23
2008-06,11301.96
2008-07,9161.72
2008-08,9199.27
2008-09,6270.52
2008-10,4535.80
2008-11,5038.95
2008-12,7434.51
2009-01,8410.76
2009-02,9049.08
2009-03,12090.47
2009-04,11602.34
2009-05,14118.06
2009-06,12616.14
2009-07,12728.79
2009-08,12653.69
2009-09,11639.89
2009-10,10926.48
2009-11,10213.07
2009-12,11264.41
2010-01,11977.82
2010-02,13442.20
2010-03,14906.57
2010-04,16258.30
2010-05,15995.47
2010-06,15544.89
2010-07,14456.00
2010-08,15507.34
2010-09,16783.98
2010-10,18698.93
2010-11,24293.58
2010-12,25218.20
2011-01,27024.88
2011-02,24126.66
2011-03,26196.82
2011-04,27627.10
2011-05,27551.82
2011-06,33272.97
2011-07,36133.54
2011-08,35004.37
2011-09,33235.34
2011-10,28379.88
2011-11,27401.27
2011-12,27406.60
2012-01,28350.35
2012-02,26425.09
2012-03,27897.35
2012-04,24046.84
2012-05,37995.51
2012-06,34314.87
2012-07,31879.99
2012-08,34145.00
2012-09,31710.12
2012-10,30407.73
2012-11,29445.11
2012-12,34009.75
2013-01,33423.38
2013-02,34987.04
2013-03,35117.34
2013-04,20588.28
2013-05,24497.44
2013-06,27233.86
2013-07,42609.91
2013-08,29383.90
2013-09,30458.92
2013-10,30002.86
2013-11,27917.97
2013-12,25735.67
2014-01,30030.54
2014-02,32177.98
2014-03,29527.24
2014-04,32278.64
2014-05,32647.73
2014-06,31238.47
2014-07,26742.28
2014-08,27950.21
2014-09,32849.05
2014-10,28151.54
2014-11,26742.28
2014-12,27374.77
2015-01,28678.33
2015-02,46153.09
2015-03,49253.45
2015-04,60386.55
2015-05,48619.29
2015-06,54960.93
2015-07,54890.46
2015-08,50028.54
2015-09,47844.20
2015-10,54256.30
2015-11,60809.34
2015-12,61327.23
2016-01,81358.39
2016-02,72576.61
2016-03,79689.12
2016-04,73012.07
2016-05,71923.41
2016-06,69746.12
2016-07,75552.25
2016-08,77511.82
2016-09,77221.51
2016-10,77076.36
2016-11,74318.45
2016-12,81844.64
2017-01,76357.85
2017-02,77348.52
2017-03,68661.09
2017-04,68280.07
2017-05,72852.40
2017-06,87712.46
2017-07,82682.90
2017-08,87712.46
2017-09,108211.72
2017-10,131911.61
2017-11,152487.11
2017-12,171860.02
2018-01,245392.19
2018-02,274385.31
2018-03,240572.95
2018-04,210647.08
2018-05,206371.97
2018-06,235909.17
2018-07,211035.69
2018-08,209869.78
2018-09,230856.77
2018-10,169061.77
2018-11,186162.25
2018-12,176407.20
2019-01,173632.27
2019-02,162136.06
2019-03,143504.31
2019-04,168082.39
2019-05,150639.86
2019-06,162928.91
2019-07,135179.47
2019-08,124476.10
2019-09,130025.98
2019-10,158568.27
2019-11,137954.41
2019-12,150679.52
2020-01,137359.77
2020-02,141522.20
2020-03,190638.70
2020-04,175237.75
2020-05,177735.22
2020-06,254739.92
2020-07,246831.36
2020-08,247247.58
2020-09,214364.48
2020-10,200628.52
2020-11,283044.41
2020-12,304838.78
2021-01,275119.16
2021-02,252617.11
2021-03,275543.72
2021-04,225869.42
2021-05,233087.05
2021-06,227992.22
2021-07,215255.25
2021-08,248796.00
2021-09,220350.05
2021-10,170251.19
2021-11,175770.55
2021-12,172100.45
2022-01,131248.31
2022-02,135159.69
2022-03,149066.80
2022-04,152978.19
2022-05,139505.67
2022-06,155151.17
2022-07,165146.89
2022-08,164712.30
2022-09,152543.58
2022-10,166885.27
2022-11,152978.19
2022-12,145406.28
2023-01,148305.34
2023-02,131545.12
2023-03,135712.53
2023-04,145496.88
2023-05,155190.62
2023-06,138521.00
2023-07,132813.45
2023-08,130367.38
2023-09,126109.38
2023-10,135440.75
2023-11,147580.59
2023-12,183035.30
2024-01,163232.97
2024-02,163232.97
2024-03,173679.16
2024-04,171680.75
2024-05,160053.69
2024-06,158327.81
2024-07,185760.39
2024-08,184397.84
2024-09,177494.28
2024-10,165776.39
2024-11,169864.02
2024-12,179537.27
2025-01,172068.52
2025-02,176185.91
2025-03,161822.92
2025-04,154449.92
2025-05,154162.66
2025-06,158935.00
2025-07,178154.58
2025-08,166901.67
2025-09,172677.50
2025-10,174868.33
2025-11,184826.67
2025-12,181000.00
2026-01,210000.00
2026-02,238500.00
2026-03,197200.00
2026-04,200500.00
2026-05,192900.00
