date,price
1975-01,3.570
1975-02,3.542
1975-03,3.515
1975-04,3.487
1975-05,3.460
1975-06,3.433
1975-07,3.405
1975-08,3.377
1975-09,3.350
1975-10,3.323
1975-11,3.295
1975-12,3.268
1976-01,3.240
1976-02,3.207
1976-03,3.173
1976-04,3.140
1976-05,3.107
1976-06,3.073
1976-07,3.040
1976-08,3.007
1976-09,2.973
1976-10,2.940
1976-11,2.907
1976-12,2.873
1977-01,2.840
1977-02,2.830
1977-03,2.820
1977-04,2.810
1977-05,2.800
1977-06,2.790
1977-07,2.780
1977-08,2.770
1977-09,2.760
1977-10,2.750
1977-11,2.740
1977-12,2.730
1978-01,2.720
1978-02,2.723
1978-03,2.725
1978-04,2.728
1978-05,2.730
1978-06,2.732
1978-07,2.735
1978-08,2.738
1978-09,2.740
1978-10,2.743
1978-11,2.745
1978-12,2.748
1979-01,2.750
1979-02,2.749
1979-03,2.748
1979-04,2.748
1979-05,2.747
1979-06,2.746
1979-07,2.745
1979-08,2.744
1979-09,2.743
1979-10,2.743
1979-11,2.742
1979-12,2.741
1980-01,2.740
1980-02,2.729
1980-03,2.718
1980-04,2.708
1980-05,2.697
1980-06,2.686
1980-07,2.675
1980-08,2.664
1980-09,2.653
1980-10,2.643
1980-11,2.632
1980-12,2.621
1981-01,2.610
1981-02,2.631
1981-03,2.652
1981-04,2.672
1981-05,2.693
1981-06,2.714
1981-07,2.735
1981-08,2.756
1981-09,2.777
1981-10,2.797
1981-11,2.818
1981-12,2.839
1982-01,2.860
1982-02,2.823
1982-03,2.787
1982-04,2.750
1982-05,2.713
1982-06,2.677
1982-07,2.640
1982-08,2.603
1982-09,2.567
1982-10,2.530
1982-11,2.493
1982-12,2.457
1983-01,2.420
1983-02,2.414
1983-03,2.408
1983-04,2.402
1983-05,2.397
1983-06,2.391
1983-07,2.385
1983-08,2.379
1983-09,2.373
1983-10,2.368
1983-11,2.362
1983-12,2.356
1984-01,2.350
1984-02,2.375
1984-03,2.400
1984-04,2.425
1984-05,2.450
1984-06,2.475
1984-07,2.500
1984-08,2.525
1984-09,2.550
1984-10,2.575
1984-11,2.600
1984-12,2.625
1985-01,2.650
1985-02,2.660
1985-03,2.670
1985-04,2.680
1985-05,2.690
1985-06,2.700
1985-07,2.710
1985-08,2.720
1985-09,2.730
1985-10,2.740
1985-11,2.750
1985-12,2.760
1986-01,2.770
1986-02,2.755
1986-03,2.740
1986-04,2.725
1986-05,2.710
1986-06,2.695
1986-07,2.680
1986-08,2.665
1986-09,2.650
1986-10,2.635
1986-11,2.620
1986-12,2.605
1987-01,2.590
1987-02,2.567
1987-03,2.543
1987-04,2.520
1987-05,2.497
1987-06,2.473
1987-07,2.450
1987-08,2.427
1987-09,2.403
1987-10,2.380
1987-11,2.357
1987-12,2.333
1988-01,2.310
1988-02,2.305
1988-03,2.300
1988-04,2.295
1988-05,2.290
1988-06,2.285
1988-07,2.280
1988-08,2.275
1988-09,2.270
1988-10,2.265
1988-11,2.260
1988-12,2.255
1989-01,2.250
1989-02,2.272
1989-03,2.293
1989-04,2.315
1989-05,2.337
1989-06,2.358
1989-07,2.380
1989-08,2.402
1989-09,2.423
1989-10,2.445
1989-11,2.467
1989-12,2.488
1990-01,2.510
1990-02,2.468
1990-03,2.427
1990-04,2.385
1990-05,2.343
1990-06,2.302
1990-07,2.260
1990-08,2.218
1990-09,2.177
1990-10,2.135
1990-11,2.093
1990-12,2.052
1991-01,2.010
1991-02,1.997
1991-03,1.985
1991-04,1.972
1991-05,1.960
1991-06,1.948
1991-07,1.935
1991-08,1.922
1991-09,1.910
1991-10,1.897
1991-11,1.885
1991-12,1.873
1992-01,1.860
1992-02,1.854
1992-03,1.848
1992-04,1.843
1992-05,1.837
1992-06,1.831
1992-07,1.825
1992-08,1.819
1992-09,1.813
1992-10,1.808
1992-11,1.802
1992-12,1.796
1993-01,1.790
1993-02,1.791
1993-03,1.792
1993-04,1.792
1993-05,1.793
1993-06,1.794
1993-07,1.795
1993-08,1.796
1993-09,1.797
1993-10,1.798
1993-11,1.798
1993-12,1.799
1994-01,1.800
1994-02,1.779
1994-03,1.758
1994-04,1.738
1994-05,1.717
1994-06,1.696
1994-07,1.675
1994-08,1.654
1994-09,1.633
1994-10,1.613
1994-11,1.592
1994-12,1.571
1995-01,1.550
1995-02,1.550
1995-03,1.550
1995-04,1.550
1995-05,1.550
1995-06,1.550
1995-07,1.550
1995-08,1.550
1995-09,1.550
1995-10,1.550
1995-11,1.550
1995-12,1.550
1996-01,1.550
1996-02,1.553
1996-03,1.557
1996-04,1.560
1996-05,1.563
1996-06,1.567
1996-07,1.570
1996-08,1.573
1996-09,1.577
1996-10,1.580
1996-11,1.583
1996-12,1.587
1997-01,1.590
1997-02,1.583
1997-03,1.577
1997-04,1.570
1997-05,1.563
1997-06,1.557
1997-07,1.550
1997-08,1.543
1997-09,1.537
1997-10,1.530
1997-11,1.523
1997-12,1.517
1998-01,1.510
1998-02,1.508
1998-03,1.507
1998-04,1.505
1998-05,1.503
1998-06,1.502
1998-07,1.500
1998-08,1.498
1998-09,1.497
1998-10,1.495
1998-11,1.493
1998-12,1.492
1999-01,1.490
1999-02,1.492
1999-03,1.493
1999-04,1.495
1999-05,1.497
1999-06,1.498
1999-07,1.500
1999-08,1.502
1999-09,1.503
1999-10,1.505
1999-11,1.507
1999-12,1.508
2000-01,1.510
2000-02,1.513
2000-03,1.517
2000-04,1.520
2000-05,1.523
2000-06,1.527
2000-07,1.530
2000-08,1.533
2000-09,1.537
2000-10,1.540
2000-11,1.543
2000-12,1.547
2001-01,1.550
2001-02,1.550
2001-03,1.550
2001-04,1.550
2001-05,1.550
2001-06,1.550
2001-07,1.550
2001-08,1.550
2001-09,1.550
2001-10,1.550
2001-11,1.550
2001-12,1.550
2002-01,1.550
2002-02,1.551
2002-03,1.552
2002-04,1.552
2002-05,1.553
2002-06,1.554
2002-07,1.555
2002-08,1.556
2002-09,1.557
2002-10,1.558
2002-11,1.558
2002-12,1.559
2003-01,1.560
2003-02,1.560
2003-03,1.560
2003-04,1.560
2003-05,1.560
2003-06,1.560
2003-07,1.560
2003-08,1.560
2003-09,1.560
2003-10,1.560
2003-11,1.560
2003-12,1.560
2004-01,1.560
2004-02,1.561
2004-03,1.562
2004-04,1.562
2004-05,1.563
2004-06,1.564
2004-07,1.565
2004-08,1.566
2004-09,1.567
2004-10,1.568
2004-11,1.568
2004-12,1.569
2005-01,1.570
2005-02,1.570
2005-03,1.570
2005-04,1.570
2005-05,1.570
2005-06,1.570
2005-07,1.570
2005-08,1.570
2005-09,1.570
2005-10,1.570
2005-11,1.570
2005-12,1.570
2006-01,1.570
2006-02,1.572
2006-03,1.573
2006-04,1.575
2006-05,1.577
2006-06,1.578
2006-07,1.580
2006-08,1.582
2006-09,1.583
2006-10,1.585
2006-11,1.587
2006-12,1.588
2007-01,1.590
2007-02,1.589
2007-03,1.588
2007-04,1.588
2007-05,1.587
2007-06,1.586
2007-07,1.585
2007-08,1.584
2007-09,1.583
2007-10,1.583
2007-11,1.582
2007-12,1.581
2008-01,1.580
2008-02,1.581
2008-03,1.582
2008-04,1.583
2008-05,1.583
2008-06,1.584
2008-07,1.585
2008-08,1.586
2008-09,1.587
2008-10,1.588
2008-11,1.588
2008-12,1.589
2009-01,1.590
2009-02,1.593
2009-03,1.597
2009-04,1.600
2009-05,1.603
2009-06,1.607
2009-07,1.610
2009-08,1.613
2009-09,1.617
2009-10,1.620
2009-11,1.623
2009-12,1.627
2010-01,1.630
2010-02,1.632
2010-03,1.635
2010-04,1.637
2010-05,1.640
2010-06,1.642
2010-07,1.645
2010-08,1.647
2010-09,1.650
2010-10,1.652
2010-11,1.655
2010-12,1.657
2011-01,1.660
2011-02,1.662
2011-03,1.663
2011-04,1.665
2011-05,1.667
2011-06,1.668
2011-07,1.670
