date,price
2011-11,25.20
2011-12,24.50
2012-01,27.20
2012-02,27.23
2012-03,27.13
2012-04,26.96
2012-05,23.71
2012-06,23.52
2012-07,24.20
2012-08,24.20
2012-09,25.88
2012-10,24.65
2012-11,25.25
2012-12,25.01
2013-01,26.16
2013-02,24.83
2013-03,24.01
2013-04,22.00
2013-05,22.69
2013-06,21.10
2013-07,21.34
2013-08,22.07
2013-09,22.44
2013-10,22.51
2013-11,21.85
2013-12,22.90
2014-01,21.46
2014-02,21.52
2014-03,20.54
2014-04,20.45
2014-05,21.09
2014-06,21.43
2014-07,21.96
2014-08,21.63
2014-09,20.30
2014-10,20.51
2014-11,19.31
2014-12,19.02
2015-01,16.68
2015-02,17.98
2015-03,18.59
2015-04,19.37
2015-05,18.50
2015-06,17.69
2015-07,16.15
2015-08,15.74
2015-09,15.60
2015-10,15.41
2015-11,13.69
2015-12,14.27
2016-01,13.62
2016-02,14.09
2016-03,14.53
2016-04,15.06
2016-05,13.92
2016-06,14.50
2016-07,14.61
2016-08,13.70
2016-09,14.50
2016-10,14.45
2016-11,16.89
2016-12,16.35
2017-01,17.78
2017-02,17.59
2017-03,17.31
2017-04,16.90
2017-05,16.76
2017-06,17.46
2017-07,18.64
2017-08,19.80
2017-09,18.95
2017-10,19.90
2017-11,19.66
2017-12,21.06
2018-01,20.45
2018-02,19.96
2018-03,19.20
2018-04,19.50
2018-05,19.55
2018-06,18.71
2018-07,17.90
2018-08,16.72
2018-09,17.58
2018-10,16.68
2018-11,17.42
2018-12,16.44
2019-01,17.37
2019-02,18.41
2019-03,18.32
2019-04,18.18
2019-05,16.47
2019-06,16.96
2019-07,16.70
2019-08,16.00
2019-09,16.13
2019-10,16.54
2019-11,16.65
2019-12,17.54
2020-01,15.78
2020-02,15.88
2020-03,13.86
2020-04,14.95
2020-05,15.51
2020-06,17.07
2020-07,17.95
2020-08,18.96
2020-09,18.70
2020-10,18.92
2020-11,21.33
2020-12,21.73
2021-01,21.91
2021-02,25.10
2021-03,24.62
2021-04,27.43
2021-05,28.85
2021-06,26.23
2021-07,27.38
2021-08,26.70
2021-09,25.05
2021-10,26.84
2021-11,26.21
2021-12,27.21
2022-01,26.50
2022-02,27.40
2022-03,28.71
2022-04,26.45
2022-05,25.97
2022-06,22.22
2022-07,21.70
2022-08,21.13
2022-09,20.45
2022-10,20.35
2022-11,22.82
2022-12,23.09
2023-01,25.64
2023-02,24.84
2023-03,24.94
2023-04,23.85
2023-05,22.62
2023-06,23.20
2023-07,24.82
2023-08,23.54
2023-09,23.02
2023-10,22.70
2023-11,23.80
2023-12,24.14
2024-01,24.19
2024-02,23.89
2024-03,25.12
2024-04,28.31
2024-05,28.42
2024-06,27.21
2024-07,26.22
2024-08,26.31
2024-09,28.35
2024-10,27.36
2024-11,25.80
2024-12,25.16
2025-01,26.85
2025-02,28.38
2025-03,31.60
2025-04,28.54
2025-05,29.36
2025-06,31.64
2025-07,27.45
2025-08,28.13
2025-09,30.00
2025-10,31.53
2025-11,32.28
2025-12,34.96
2026-01,36.43
2026-02,36.88
2026-03,34.43
2026-04,36.53
2026-05,38.86
