date,price
2000-01,32.60
2000-02,33.06
2000-03,35.02
2000-04,36.02
2000-05,21.28
2000-06,21.98
2000-07,21.69
2000-08,22.94
2000-09,23.28
2000-10,24.40
2000-11,21.73
2000-12,26.61
2001-01,30.81
2001-02,27.81
2001-03,26.15
2001-04,23.27
2001-05,25.92
2001-06,27.37
2001-07,28.68
2001-08,24.92
2001-09,23.69
2001-10,25.20
2001-11,27.23
2001-12,29.57
2002-01,30.65
2002-02,27.49
2002-03,26.53
2002-04,26.78
2002-05,26.16
2002-06,25.73
2002-07,23.23
2002-08,22.26
2002-09,21.56
2002-10,22.60
2002-11,21.52
2002-12,18.69
2003-01,19.23
2003-02,20.33
2003-03,20.01
2003-04,23.06
2003-05,24.82
2003-06,24.38
2003-07,24.64
2003-08,21.48
2003-09,20.75
2003-10,23.62
2003-11,23.86
2003-12,24.77
2004-01,24.61
2004-02,25.89
2004-03,25.06
2004-04,24.98
2004-05,25.32
2004-06,27.51
2004-07,27.26
2004-08,27.57
2004-09,27.80
2004-10,32.10
2004-11,32.61
2004-12,32.48
2005-01,31.72
2005-02,31.33
2005-03,29.71
2005-04,27.32
2005-05,30.60
2005-06,30.16
2005-07,31.00
2005-08,29.34
2005-09,29.13
2005-10,32.70
2005-11,33.85
2005-12,33.52
2006-01,33.81
2006-02,34.77
2006-03,36.78
2006-04,36.97
2006-05,36.03
2006-06,38.89
2006-07,36.01
2006-08,31.93
2006-09,33.90
2006-10,36.43
2006-11,35.78
2006-12,36.17
2007-01,38.42
2007-02,38.33
2007-03,36.92
2007-04,36.83
2007-05,38.83
2007-06,40.24
2007-07,41.22
2007-08,42.56
2007-09,42.30
2007-10,46.36
2007-11,46.56
2007-12,48.19
2008-01,46.93
2008-02,42.87
2008-03,44.98
2008-04,49.33
2008-05,49.48
2008-06,48.67
2008-07,43.49
2008-08,46.64
2008-09,45.16
2008-10,39.65
2008-11,35.91
2008-12,36.63
2009-01,31.42
2009-02,29.65
2009-03,32.43
2009-04,34.03
2009-05,34.11
2009-06,32.18
2009-07,34.80
2009-08,35.97
2009-09,39.78
2009-10,40.23
2009-11,42.40
2009-12,41.87
2010-01,40.64
2010-02,43.28
2010-03,42.39
2010-04,41.94
2010-05,41.49
2010-06,39.06
2010-07,40.39
2010-08,40.39
2010-09,46.10
2010-10,45.02
2010-11,48.49
2010-12,51.79
2011-01,51.52
2011-02,53.79
2011-03,52.73
2011-04,58.17
2011-05,59.49
2011-06,58.60
2011-07,56.44
2011-08,56.83
2011-09,59.43
2011-10,60.24
2011-11,61.90
2011-12,60.46
2012-01,59.70
2012-02,62.63
2012-03,66.07
2012-04,64.17
2012-05,63.07
2012-06,69.36
2012-07,70.22
2012-08,71.66
2012-09,73.34
2012-10,72.07
2012-11,76.31
2012-12,77.63
2013-01,80.47
2013-02,79.85
2013-03,83.65
2013-04,85.48
2013-05,86.67
2013-06,87.41
2013-07,92.83
2013-08,88.67
2013-09,91.29
2013-10,93.53
2013-11,99.67
2013-12,94.58
2014-01,89.28
2014-02,93.06
2014-03,88.98
2014-04,92.17
2014-05,92.73
2014-06,92.04
2014-07,94.22
2014-08,97.06
2014-09,100.46
2014-10,106.91
2014-11,114.23
2014-12,113.93
2015-01,114.92
2015-02,122.32
2015-03,126.10
2015-04,119.39
2015-05,119.01
2015-06,112.72
2015-07,121.27
2015-08,117.21
2015-09,120.99
2015-10,132.33
2015-11,135.44
2015-12,135.51
2016-01,126.80
2016-02,126.23
2016-03,132.58
2016-04,125.00
2016-05,125.54
2016-06,132.52
2016-07,141.11
2016-08,137.15
2016-09,129.04
2016-10,125.11
2016-11,127.40
2016-12,135.89
2017-01,139.15
2017-02,150.78
2017-03,142.70
2017-04,151.07
2017-05,160.22
2017-06,142.01
2017-07,140.75
2017-08,139.62
2017-09,146.35
2017-10,143.49
2017-11,164.78
2017-12,166.29
2018-01,174.11
2018-02,171.02
2018-03,168.80
2018-04,176.62
2018-05,178.11
2018-06,187.76
2018-07,196.50
2018-08,209.98
2018-09,211.55
2018-10,205.92
2018-11,208.80
2018-12,183.91
2019-01,193.77
2019-02,198.02
2019-03,219.20
2019-04,222.27
2019-05,217.47
2019-06,239.87
2019-07,250.19
2019-08,268.15
2019-09,262.10
2019-10,270.87
2019-11,273.33
2019-12,267.96
2020-01,278.54
2020-02,256.85
2020-03,260.50
2020-04,277.46
2020-05,282.47
2020-06,277.65
2020-07,298.73
2020-08,319.04
2020-09,325.77
2020-10,328.81
2020-11,360.21
2020-12,355.50
2021-01,332.52
2021-02,312.92
2021-03,333.23
2021-04,352.52
2021-05,358.37
2021-06,374.86
2021-07,407.88
2021-08,432.34
2021-09,426.51
2021-10,467.31
2021-11,512.80
2021-12,539.72
2022-01,480.23
2022-02,494.41
2022-03,548.30
2022-04,507.10
2022-05,444.64
2022-06,457.09
2022-07,517.13
2022-08,498.79
2022-09,451.18
2022-10,479.97
2022-11,516.10
2022-12,436.91
2023-01,489.20
2023-02,464.20
2023-03,476.37
2023-04,482.46
2023-05,491.48
2023-06,517.24
2023-07,538.66
2023-08,528.71
2023-09,543.81
2023-10,531.76
2023-11,571.59
2023-12,651.01
2024-01,685.33
2024-02,734.74
2024-03,723.62
2024-04,715.16
2024-05,801.21
2024-06,840.88
2024-07,814.35
2024-08,884.08
2024-09,878.27
2024-10,866.05
2024-11,964.12
2024-12,908.95
2025-01,972.05
2025-02,1041.38
2025-03,939.26
2025-04,987.65
2025-05,1034.36
2025-06,984.40
2025-07,934.38
2025-08,939.34
2025-09,921.72
2025-10,908.89
2025-11,911.02
2025-12,859.92
2026-01,938.89
2026-02,1009.33
2026-03,994.99
2026-04,1013.06
2026-05,956.32
