date,price
2000-01,62.41
2000-02,57.95
2000-03,62.54
2000-04,61.49
2000-05,60.30
2000-06,59.80
2000-07,60.24
2000-08,64.60
2000-09,61.32
2000-10,63.00
2000-11,60.20
2000-12,61.64
2001-01,62.80
2001-02,60.77
2001-03,57.46
2001-04,62.20
2001-05,63.38
2001-06,61.21
2001-07,61.15
2001-08,58.22
2001-09,51.61
2001-10,53.03
2001-11,57.74
2001-12,58.57
2002-01,58.30
2002-02,59.47
2002-03,61.10
2002-04,58.66
2002-05,58.60
2002-06,54.73
2002-07,51.64
2002-08,51.33
2002-09,45.19
2002-10,49.86
2002-11,53.06
2002-12,49.96
2003-01,48.40
2003-02,47.63
2003-03,48.00
2003-04,51.10
2003-05,53.57
2003-06,54.36
2003-07,55.99
2003-08,57.24
2003-09,56.58
2003-10,59.63
2003-11,59.85
2003-12,63.91
2004-01,64.26
2004-02,65.03
2004-03,63.78
2004-04,62.85
2004-05,62.94
2004-06,64.51
2004-07,62.78
2004-08,63.05
2004-09,62.49
2004-10,62.24
2004-11,65.03
2004-12,67.12
2005-01,65.49
2005-02,67.45
2005-03,65.85
2005-04,63.95
2005-05,65.89
2005-06,64.77
2005-07,67.28
2005-08,66.37
2005-09,67.01
2005-10,65.94
2005-11,68.85
2005-12,68.20
2006-01,69.11
2006-02,70.28
2006-03,71.34
2006-04,73.07
2006-05,71.87
2006-06,72.01
2006-07,72.18
2006-08,73.57
2006-09,75.60
2006-10,78.28
2006-11,79.49
2006-12,81.09
2007-01,82.34
2007-02,80.15
2007-03,80.94
2007-04,85.65
2007-05,89.57
2007-06,88.30
2007-07,87.07
2007-08,88.07
2007-09,91.87
2007-10,92.00
2007-11,89.08
2007-12,88.23
2008-01,83.96
2008-02,82.13
2008-03,81.92
2008-04,85.90
2008-05,84.73
2008-06,76.37
2008-07,76.66
2008-08,78.01
2008-09,73.44
2008-10,63.48
2008-11,60.22
2008-12,59.87
2009-01,54.88
2009-02,48.73
2009-03,52.35
2009-04,56.47
2009-05,59.22
2009-06,58.91
2009-07,63.87
2009-08,66.46
2009-09,68.01
2009-10,68.05
2009-11,72.86
2009-12,73.49
2010-01,71.01
2010-02,73.13
2010-03,77.04
2010-04,78.16
2010-05,72.31
2010-06,69.77
2010-07,74.81
2010-08,71.86
2010-09,77.53
2010-10,80.04
2010-11,79.48
2010-12,83.79
2011-01,86.05
2011-02,88.84
2011-03,89.64
2011-04,93.39
2011-05,91.84
2011-06,90.77
2011-07,88.87
2011-08,85.40
2011-09,80.37
2011-10,88.20
2011-11,89.04
2011-12,90.54
2012-01,93.80
2012-02,96.45
2012-03,98.51
2012-04,98.62
2012-05,92.88
2012-06,96.61
2012-07,97.70
2012-08,98.86
2012-09,101.46
2012-10,98.99
2012-11,98.87
2012-12,99.54
2013-01,105.62
2013-02,107.32
2013-03,111.41
2013-04,113.59
2013-05,116.28
2013-06,114.55
2013-07,119.56
2013-08,114.46
2013-09,117.12
2013-10,120.58
2013-11,125.03
2013-12,129.04
2014-01,122.34
2014-02,127.58
2014-03,128.76
2014-04,129.81
2014-05,131.31
2014-06,132.32
2014-07,130.41
2014-08,135.06
2014-09,134.74
2014-10,137.42
2014-11,141.46
2014-12,141.59
2015-01,136.59
2015-02,144.74
2015-03,142.10
2015-04,142.68
2015-05,144.54
2015-06,141.47
2015-07,142.30
2015-08,133.47
2015-09,131.66
2015-10,142.96
2015-11,144.02
2015-12,141.72
2016-01,133.95
2016-02,134.94
2016-03,144.80
2016-04,145.69
2016-05,146.25
2016-06,147.65
2016-07,152.00
2016-08,152.38
2016-09,151.71
2016-10,150.52
2016-11,159.47
2016-12,164.92
2017-01,165.79
2017-02,174.31
2017-03,173.27
2017-04,175.73
2017-05,177.02
2017-06,180.08
2017-07,184.89
2017-08,186.04
2017-09,190.08
2017-10,198.56
2017-11,206.89
2017-12,211.24
2018-01,223.37
2018-02,214.31
2018-03,207.15
2018-04,207.38
2018-05,210.24
2018-06,209.30
2018-07,219.45
2018-08,224.82
2018-09,229.23
2018-10,217.91
2018-11,222.18
2018-12,203.33
2019-01,218.24
2019-02,226.85
2019-03,227.20
2019-04,233.18
2019-05,218.31
