date,price
2017-11,0.00
2017-12,0.01
2018-01,0.01
2018-02,0.01
2018-03,0.00
2018-04,0.01
2018-05,0.00
2018-06,0.00
2018-07,0.00
2018-08,0.00
2018-09,0.01
2018-10,0.00
2018-11,0.00
2018-12,0.00
2019-01,0.00
2019-02,0.00
2019-03,0.00
2019-04,0.00
2019-05,0.00
2019-06,0.00
2019-07,0.00
2019-08,0.00
2019-09,0.00
2019-10,0.00
2019-11,0.00
2019-12,0.00
2020-01,0.00
2020-02,0.00
2020-03,0.00
2020-04,0.00
2020-05,0.00
2020-06,0.00
2020-07,0.00
2020-08,0.00
2020-09,0.00
2020-10,0.00
2020-11,0.00
2020-12,0.00
2021-01,0.04
2021-02,0.05
2021-03,0.05
2021-04,0.34
2021-05,0.33
2021-06,0.25
2021-07,0.21
2021-08,0.28
2021-09,0.20
2021-10,0.28
2021-11,0.21
2021-12,0.17
2022-01,0.14
2022-02,0.13
2022-03,0.14
2022-04,0.13
2022-05,0.09
2022-06,0.07
2022-07,0.07
2022-08,0.06
2022-09,0.06
2022-10,0.13
2022-11,0.11
2022-12,0.07
2023-01,0.10
2023-02,0.08
2023-03,0.08
2023-04,0.08
2023-05,0.07
2023-06,0.07
2023-07,0.08
2023-08,0.06
2023-09,0.06
2023-10,0.07
2023-11,0.08
2023-12,0.09
2024-01,0.08
2024-02,0.12
2024-03,0.22
2024-04,0.13
2024-05,0.16
2024-06,0.12
2024-07,0.12
2024-08,0.10
2024-09,0.11
2024-10,0.16
2024-11,0.42
2024-12,0.32
2025-01,0.33
2025-02,0.20
2025-03,0.17
2025-04,0.17
2025-05,0.19
2025-06,0.17
2025-07,0.21
2025-08,0.21
2025-09,0.23
2025-10,0.19
2025-11,0.15
2025-12,0.12
2026-01,0.10
2026-02,0.09
2026-03,0.09
2026-04,0.11
2026-05,0.10
