date,price
2000-11,2314.94
2000-12,2226.58
2001-01,2341.54
2001-02,2613.81
2001-03,2873.98
2001-04,2934.49
2001-05,5415.19
2001-06,7260.59
2001-07,5850.83
2001-08,5989.99
2001-09,4755.69
2001-10,4743.59
2001-11,5239.73
2001-12,5782.36
2002-01,5542.45
2002-02,5339.46
2002-03,7012.65
2002-04,5413.28
2002-05,4908.86
2002-06,4158.38
2002-07,3801.60
2002-08,4041.50
2002-09,3438.66
2002-10,3826.20
2002-11,4256.80
2002-12,3651.46
2003-01,3204.47
2003-02,3128.92
2003-03,3147.81
2003-04,3752.19
2003-05,3985.13
2003-06,4098.45
2003-07,3777.37
2003-08,4287.32
2003-09,3758.49
2003-10,4029.20
2003-11,4129.93
2003-12,4249.52
2004-01,4436.52
2004-02,4965.29
2004-03,4739.59
2004-04,4771.84
2004-05,4417.17
2004-06,3978.68
2004-07,4352.69
2004-08,5500.51
2004-09,7254.48
2004-10,6706.37
2004-11,8737.62
2004-12,7782.08
2005-01,7782.08
2005-02,8441.58
2005-03,9331.90
2005-04,8111.83
2005-05,9200.00
2005-06,11211.47
2005-07,12200.72
2005-08,11739.07
2005-09,12992.12
2005-10,14904.66
2005-11,19784.95
2005-12,25201.05
2006-01,23142.46
2006-02,22578.01
2006-03,21316.30
2006-04,22677.62
2006-05,19755.76
2006-06,22843.64
2006-07,23773.32
2006-08,24204.96
2006-09,26130.73
2006-10,23906.13
2006-11,25699.10
2006-12,29629.79
2007-01,29864.15
2007-02,33413.02
2007-03,40711.66
2007-04,49215.58
2007-05,63946.77
2007-06,59326.53
2007-07,65352.93
2007-08,60263.96
2007-09,64750.30
2007-10,110149.16
2007-11,93743.97
2007-12,84705.70
2008-01,61915.83
2008-02,93781.30
2008-03,89075.42
2008-04,70924.21
2008-05,82352.76
2008-06,66554.48
2008-07,67226.74
2008-08,52705.76
2008-09,58420.04
2008-10,36504.12
2008-11,35831.85
2008-12,42653.32
2009-01,49095.39
2009-02,40551.16
2009-03,46111.70
2009-04,56622.45
2009-05,49637.89
2009-06,41568.34
2009-07,47535.73
2009-08,42992.38
2009-09,45704.83
2009-10,44077.36
2009-11,39059.32
2009-12,55320.78
2010-01,56275.76
2010-02,59549.98
2010-03,61801.02
2010-04,56002.91
2010-05,48976.96
2010-06,51569.06
2010-07,52592.26
2010-08,46930.57
2010-09,57912.87
2010-10,60436.77
2010-11,55116.14
2010-12,59074.46
2011-01,54254.86
2011-02,47438.58
2011-03,48333.65
2011-04,41173.11
2011-05,39107.56
2011-06,38901.02
2011-07,46543.51
2011-08,37730.54
2011-09,38694.46
2011-10,41310.81
2011-11,44822.23
2011-12,45339.81
2012-01,47011.32
2012-02,49170.36
2012-03,44434.40
2012-04,37121.53
2012-05,37609.06
2012-06,40046.68
2012-07,42275.37
2012-08,41230.67
2012-09,39001.99
2012-10,32524.87
2012-11,28311.26
2012-12,32010.73
2013-01,32966.81
2013-02,31054.66
2013-03,31762.86
2013-04,29000.88
