date,price
2017-11,447.11
2017-12,756.73
2018-01,1118.31
2018-02,855.20
2018-03,396.46
2018-04,669.92
2018-05,577.65
2018-06,455.18
2018-07,433.87
2018-08,283.00
2018-09,232.85
2018-10,197.38
2018-11,113.17
2018-12,133.37
2019-01,107.06
2019-02,136.75
2019-03,141.51
2019-04,162.17
2019-05,268.11
2019-06,290.70
2019-07,218.65
2019-08,172.47
2019-09,179.87
2019-10,183.97
2019-11,152.54
2019-12,129.61
2020-01,180.16
2020-02,219.85
2020-03,133.59
2020-04,207.60
2020-05,230.98
2020-06,226.32
2020-07,345.55
2020-08,435.08
2020-09,359.94
2020-10,386.59
2020-11,614.84
2020-12,737.80
2021-01,1314.99
2021-02,1416.05
2021-03,1918.36
2021-04,2773.21
2021-05,2714.95
2021-06,2274.55
2021-07,2536.21
2021-08,3433.73
2021-09,3001.68
2021-10,4288.07
2021-11,4631.48
2021-12,3682.63
2022-01,2688.28
2022-02,2919.20
2022-03,3281.64
2022-04,2730.19
2022-05,1942.33
2022-06,1067.30
2022-07,1681.52
2022-08,1553.68
2022-09,1327.98
2022-10,1572.71
2022-11,1295.69
2022-12,1196.77
2023-01,1586.54
2023-02,1605.90
2023-03,1822.02
2023-04,1876.92
2023-05,1874.13
2023-06,1933.19
2023-07,1856.16
2023-08,1645.64
2023-09,1671.16
2023-10,1816.46
2023-11,2052.56
2023-12,2281.47
2024-01,2282.54
2024-02,3341.92
2024-03,3647.86
2024-04,3012.29
2024-05,3760.03
2024-06,3432.89
2024-07,3231.30
2024-08,2513.39
2024-09,2603.06
2024-10,2515.80
2024-11,3705.71
2024-12,3332.53
2025-01,3298.27
2025-02,2237.91
2025-03,1823.48
2025-04,1793.78
2025-05,2529.09
2025-06,2486.46
2025-07,3696.71
2025-08,4390.02
2025-09,4145.96
2025-10,3847.08
2025-11,2992.11
2025-12,2967.04
2026-01,2445.09
2026-02,1965.05
2026-03,2104.71
2026-04,2256.25
2026-05,2019.46
