date,price
2010-01,5.0
2010-02,5.4
2010-03,5.8
2010-04,6.2
2010-05,6.7
2010-06,7.1
2010-07,7.5
2010-08,7.9
2010-09,8.3
2010-10,8.8
2010-11,9.2
2010-12,9.6
2011-01,10.0
2011-02,9.7
2011-03,9.3
2011-04,9.0
2011-05,8.7
2011-06,8.3
2011-07,8.0
2011-08,7.7
2011-09,7.3
2011-10,7.0
2011-11,6.7
2011-12,6.3
2012-01,6.0
2012-02,5.8
2012-03,5.5
2012-04,5.2
2012-05,5.0
2012-06,4.8
2012-07,4.5
2012-08,4.2
2012-09,4.0
2012-10,3.8
2012-11,3.5
2012-12,3.2
2013-01,3.0
2013-02,2.9
2013-03,2.8
2013-04,2.8
2013-05,2.7
2013-06,2.6
2013-07,2.5
2013-08,2.4
2013-09,2.3
2013-10,2.2
2013-11,2.2
2013-12,2.1
2014-01,2.0
2014-02,2.1
2014-03,2.2
2014-04,2.2
2014-05,2.3
2014-06,2.4
2014-07,2.5
2014-08,2.6
2014-09,2.7
2014-10,2.8
2014-11,2.8
2014-12,2.9
2015-01,3.0
2015-02,2.8
2015-03,2.7
2015-04,2.5
2015-05,2.3
2015-06,2.2
2015-07,2.0
2015-08,1.8
2015-09,1.7
2015-10,1.5
2015-11,1.3
2015-12,1.2
2016-01,1.0
2016-02,1.2
2016-03,1.5
2016-04,1.8
2016-05,2.0
2016-06,2.2
2016-07,2.5
2016-08,2.8
2016-09,3.0
2016-10,3.2
2016-11,3.5
2016-12,3.8
2017-01,4.0
2017-02,4.6
2017-03,5.2
2017-04,5.8
2017-05,6.3
2017-06,6.9
2017-07,7.5
2017-08,8.1
2017-09,8.7
2017-10,9.2
2017-11,9.8
2017-12,10.4
2018-01,11.0
2018-02,10.9
2018-03,10.8
2018-04,10.8
2018-05,10.7
2018-06,10.6
2018-07,10.5
2018-08,10.4
2018-09,10.3
2018-10,10.2
2018-11,10.2
2018-12,10.1
2019-01,10.0
2019-02,9.7
2019-03,9.3
2019-04,9.0
2019-05,8.7
2019-06,8.3
2019-07,8.0
2019-08,7.7
2019-09,7.3
2019-10,7.0
2019-11,6.7
2019-12,6.3
2020-01,6.0
2020-02,6.0
2020-03,6.0
2020-04,6.0
2020-05,6.0
2020-06,6.0
2020-07,6.0
2020-08,6.0
2020-09,6.0
2020-10,6.0
2020-11,6.0
2020-12,6.0
2021-01,6.0
2021-02,5.7
2021-03,5.3
2021-04,5.0
2021-05,4.7
2021-06,4.3
2021-07,4.0
2021-08,3.7
2021-09,3.3
2021-10,3.0
2021-11,2.7
2021-12,2.3
2022-01,2.0
2022-02,1.9
2022-03,1.8
2022-04,1.8
2022-05,1.7
2022-06,1.6
2022-07,1.5
2022-08,1.4
2022-09,1.3
2022-10,1.2
2022-11,1.2
2022-12,1.1
2023-01,1.0
2023-02,1.0
2023-03,1.0
2023-04,1.0
2023-05,1.0
2023-06,1.0
2023-07,1.0
2023-08,1.0
2023-09,1.0
2023-10,1.0
2023-11,1.0
2023-12,1.0
2024-01,1.0
2024-02,1.0
2024-03,1.0
2024-04,1.0
2024-05,1.0
2024-06,1.0
2024-07,1.0
2024-08,1.0
2024-09,1.0
2024-10,1.0
2024-11,1.0
2024-12,1.0
2025-01,1.0
2025-02,1.0
2025-03,1.0
2025-04,1.0
2025-05,1.0
2025-06,1.0
2025-07,1.0
2025-08,1.0
2025-09,1.0
2025-10,1.0
2025-11,1.0
2025-12,1.0
2026-01,1.0
2026-02,1.0
2026-03,1.0
2026-04,1.0
2026-05,1.0
2026-06,1.0
