date,price
2010-01,5.0
2010-02,5.1
2010-03,5.2
2010-04,5.2
2010-05,5.3
2010-06,5.4
2010-07,5.5
2010-08,5.6
2010-09,5.7
2010-10,5.8
2010-11,5.8
2010-12,5.9
2011-01,6.0
2011-02,7.0
2011-03,8.0
2011-04,9.0
2011-05,10.0
2011-06,11.0
2011-07,12.0
2011-08,13.0
2011-09,14.0
2011-10,15.0
2011-11,16.0
2011-12,17.0
2012-01,18.0
2012-02,17.4
2012-03,16.8
2012-04,16.2
2012-05,15.7
2012-06,15.1
2012-07,14.5
2012-08,13.9
2012-09,13.3
2012-10,12.8
2012-11,12.2
2012-12,11.6
2013-01,11.0
2013-02,10.7
2013-03,10.3
2013-04,10.0
2013-05,9.7
2013-06,9.3
2013-07,9.0
2013-08,8.7
2013-09,8.3
2013-10,8.0
2013-11,7.7
2013-12,7.3
2014-01,7.0
2014-02,6.9
2014-03,6.8
2014-04,6.8
2014-05,6.7
2014-06,6.6
2014-07,6.5
2014-08,6.4
2014-09,6.3
2014-10,6.2
2014-11,6.2
2014-12,6.1
2015-01,6.0
2015-02,5.7
2015-03,5.3
2015-04,5.0
2015-05,4.7
2015-06,4.3
2015-07,4.0
2015-08,3.7
2015-09,3.3
2015-10,3.0
2015-11,2.7
2015-12,2.3
2016-01,2.0
2016-02,1.9
2016-03,1.8
2016-04,1.8
2016-05,1.7
2016-06,1.6
2016-07,1.5
2016-08,1.4
2016-09,1.3
2016-10,1.2
2016-11,1.2
2016-12,1.1
2017-01,1.0
2017-02,1.1
2017-03,1.2
2017-04,1.2
2017-05,1.3
2017-06,1.4
2017-07,1.5
2017-08,1.6
2017-09,1.7
2017-10,1.8
2017-11,1.8
2017-12,1.9
2018-01,2.0
2018-02,2.1
2018-03,2.2
2018-04,2.2
2018-05,2.3
2018-06,2.4
2018-07,2.5
2018-08,2.6
2018-09,2.7
2018-10,2.8
2018-11,2.8
2018-12,2.9
2019-01,3.0
2019-02,3.0
2019-03,3.0
2019-04,3.0
2019-05,3.0
2019-06,3.0
2019-07,3.0
2019-08,3.0
2019-09,3.0
2019-10,3.0
2019-11,3.0
2019-12,3.0
2020-01,3.0
2020-02,2.8
2020-03,2.7
2020-04,2.5
2020-05,2.3
2020-06,2.2
2020-07,2.0
2020-08,1.8
2020-09,1.7
2020-10,1.5
2020-11,1.3
2020-12,1.2
2021-01,1.0
2021-02,1.0
2021-03,1.0
2021-04,1.0
2021-05,1.0
2021-06,1.0
2021-07,1.0
2021-08,1.0
2021-09,1.0
2021-10,1.0
2021-11,1.0
2021-12,1.0
2022-01,1.0
2022-02,1.3
2022-03,1.7
2022-04,2.0
2022-05,2.3
2022-06,2.7
2022-07,3.0
2022-08,3.3
2022-09,3.7
2022-10,4.0
2022-11,4.3
2022-12,4.7
2023-01,5.0
2023-02,5.0
2023-03,5.0
2023-04,5.0
2023-05,5.0
2023-06,5.0
2023-07,5.0
2023-08,5.0
2023-09,5.0
2023-10,5.0
2023-11,5.0
2023-12,5.0
2024-01,5.0
2024-02,5.0
2024-03,5.0
2024-04,5.0
2024-05,5.0
2024-06,5.0
2024-07,5.0
2024-08,5.0
2024-09,5.0
2024-10,5.0
2024-11,5.0
2024-12,5.0
2025-01,5.0
2025-02,5.0
2025-03,5.0
2025-04,5.0
2025-05,5.0
2025-06,5.0
2025-07,5.0
2025-08,5.0
2025-09,5.0
2025-10,5.0
2025-11,5.0
2025-12,5.0
2026-01,5.0
2026-02,5.0
2026-03,5.0
2026-04,5.0
2026-05,5.0
2026-06,5.0
