date,price
2010-01,6.0
2010-02,5.9
2010-03,5.8
2010-04,5.8
2010-05,5.7
2010-06,5.6
2010-07,5.5
2010-08,5.4
2010-09,5.3
2010-10,5.2
2010-11,5.2
2010-12,5.1
2011-01,5.0
2011-02,5.1
2011-03,5.2
2011-04,5.2
2011-05,5.3
2011-06,5.4
2011-07,5.5
2011-08,5.6
2011-09,5.7
2011-10,5.8
2011-11,5.8
2011-12,5.9
2012-01,6.0
2012-02,6.4
2012-03,6.8
2012-04,7.2
2012-05,7.7
2012-06,8.1
2012-07,8.5
2012-08,8.9
2012-09,9.3
2012-10,9.8
2012-11,10.2
2012-12,10.6
2013-01,11.0
2013-02,11.8
2013-03,12.5
2013-04,13.2
2013-05,14.0
2013-06,14.8
2013-07,15.5
2013-08,16.2
2013-09,17.0
2013-10,17.8
2013-11,18.5
2013-12,19.2
2014-01,20.0
2014-02,19.2
2014-03,18.5
2014-04,17.8
2014-05,17.0
2014-06,16.2
2014-07,15.5
2014-08,14.8
2014-09,14.0
2014-10,13.2
2014-11,12.5
2014-12,11.8
2015-01,11.0
2015-02,11.2
2015-03,11.3
2015-04,11.5
2015-05,11.7
2015-06,11.8
2015-07,12.0
2015-08,12.2
2015-09,12.3
2015-10,12.5
2015-11,12.7
2015-12,12.8
2016-01,13.0
2016-02,13.2
2016-03,13.3
2016-04,13.5
2016-05,13.7
2016-06,13.8
2016-07,14.0
2016-08,14.2
2016-09,14.3
2016-10,14.5
2016-11,14.7
2016-12,14.8
2017-01,15.0
2017-02,14.2
2017-03,13.5
2017-04,12.8
2017-05,12.0
2017-06,11.2
2017-07,10.5
2017-08,9.8
2017-09,9.0
2017-10,8.2
2017-11,7.5
2017-12,6.8
2018-01,6.0
2018-02,5.8
2018-03,5.7
2018-04,5.5
2018-05,5.3
2018-06,5.2
2018-07,5.0
2018-08,4.8
2018-09,4.7
2018-10,4.5
2018-11,4.3
2018-12,4.2
2019-01,4.0
2019-02,4.0
2019-03,4.0
2019-04,4.0
2019-05,4.0
2019-06,4.0
2019-07,4.0
2019-08,4.0
2019-09,4.0
2019-10,4.0
2019-11,4.0
2019-12,4.0
2020-01,4.0
2020-02,3.9
2020-03,3.8
2020-04,3.8
2020-05,3.7
2020-06,3.6
2020-07,3.5
2020-08,3.4
2020-09,3.3
2020-10,3.2
2020-11,3.2
2020-12,3.1
2021-01,3.0
2021-02,3.2
2021-03,3.3
2021-04,3.5
2021-05,3.7
2021-06,3.8
2021-07,4.0
2021-08,4.2
2021-09,4.3
2021-10,4.5
2021-11,4.7
2021-12,4.8
2022-01,5.0
2022-02,4.9
2022-03,4.8
2022-04,4.8
2022-05,4.7
2022-06,4.6
2022-07,4.5
2022-08,4.4
2022-09,4.3
2022-10,4.2
2022-11,4.2
2022-12,4.1
2023-01,4.0
2023-02,4.0
2023-03,4.0
2023-04,4.0
2023-05,4.0
2023-06,4.0
2023-07,4.0
2023-08,4.0
2023-09,4.0
2023-10,4.0
2023-11,4.0
2023-12,4.0
2024-01,4.0
2024-02,4.0
2024-03,4.0
2024-04,4.0
2024-05,4.0
2024-06,4.0
2024-07,4.0
2024-08,4.0
2024-09,4.0
2024-10,4.0
2024-11,4.0
2024-12,4.0
2025-01,4.0
2025-02,4.0
2025-03,4.0
2025-04,4.0
2025-05,4.0
2025-06,4.0
2025-07,4.0
2025-08,4.0
2025-09,4.0
2025-10,4.0
2025-11,4.0
2025-12,4.0
2026-01,4.0
2026-02,4.0
2026-03,4.0
2026-04,4.0
2026-05,4.0
2026-06,4.0
