date,price
2010-01,21.0
2010-02,20.5
2010-03,20.0
2010-04,19.5
2010-05,19.0
2010-06,18.5
2010-07,18.0
2010-08,17.5
2010-09,17.0
2010-10,16.5
2010-11,16.0
2010-12,15.5
2011-01,15.0
2011-02,14.9
2011-03,14.8
2011-04,14.8
2011-05,14.7
2011-06,14.6
2011-07,14.5
2011-08,14.4
2011-09,14.3
2011-10,14.2
2011-11,14.2
2011-12,14.1
2012-01,14.0
2012-02,14.6
2012-03,15.2
2012-04,15.8
2012-05,16.3
2012-06,16.9
2012-07,17.5
2012-08,18.1
2012-09,18.7
2012-10,19.2
2012-11,19.8
2012-12,20.4
2013-01,21.0
2013-02,19.9
2013-03,18.8
2013-04,17.8
2013-05,16.7
2013-06,15.6
2013-07,14.5
2013-08,13.4
2013-09,12.3
2013-10,11.2
2013-11,10.2
2013-12,9.1
2014-01,8.0
2014-02,7.8
2014-03,7.5
2014-04,7.2
2014-05,7.0
2014-06,6.8
2014-07,6.5
2014-08,6.2
2014-09,6.0
2014-10,5.8
2014-11,5.5
2014-12,5.2
2015-01,5.0
2015-02,5.1
2015-03,5.2
2015-04,5.2
2015-05,5.3
2015-06,5.4
2015-07,5.5
2015-08,5.6
2015-09,5.7
2015-10,5.8
2015-11,5.8
2015-12,5.9
2016-01,6.0
2016-02,6.2
2016-03,6.5
2016-04,6.8
2016-05,7.0
2016-06,7.2
2016-07,7.5
2016-08,7.8
2016-09,8.0
2016-10,8.2
2016-11,8.5
2016-12,8.8
2017-01,9.0
2017-02,8.3
2017-03,7.7
2017-04,7.0
2017-05,6.3
2017-06,5.7
2017-07,5.0
2017-08,4.3
2017-09,3.7
2017-10,3.0
2017-11,2.3
2017-12,1.7
2018-01,1.0
2018-02,1.1
2018-03,1.2
2018-04,1.2
2018-05,1.3
2018-06,1.4
2018-07,1.5
2018-08,1.6
2018-09,1.7
2018-10,1.8
2018-11,1.8
2018-12,1.9
2019-01,2.0
2019-02,2.1
2019-03,2.2
2019-04,2.2
2019-05,2.3
2019-06,2.4
2019-07,2.5
2019-08,2.6
2019-09,2.7
2019-10,2.8
2019-11,2.8
2019-12,2.9
2020-01,3.0
2020-02,3.0
2020-03,3.0
2020-04,3.0
2020-05,3.0
2020-06,3.0
2020-07,3.0
2020-08,3.0
2020-09,3.0
2020-10,3.0
2020-11,3.0
2020-12,3.0
2021-01,3.0
2021-02,3.1
2021-03,3.2
2021-04,3.2
2021-05,3.3
2021-06,3.4
2021-07,3.5
2021-08,3.6
2021-09,3.7
2021-10,3.8
2021-11,3.8
2021-12,3.9
2022-01,4.0
2022-02,3.8
2022-03,3.7
2022-04,3.5
2022-05,3.3
2022-06,3.2
2022-07,3.0
2022-08,2.8
2022-09,2.7
2022-10,2.5
2022-11,2.3
2022-12,2.2
2023-01,2.0
2023-02,2.0
2023-03,2.0
2023-04,2.0
2023-05,2.0
2023-06,2.0
2023-07,2.0
2023-08,2.0
2023-09,2.0
2023-10,2.0
2023-11,2.0
2023-12,2.0
2024-01,2.0
2024-02,2.1
2024-03,2.2
2024-04,2.2
2024-05,2.3
2024-06,2.4
2024-07,2.5
2024-08,2.6
2024-09,2.7
2024-10,2.8
2024-11,2.8
2024-12,2.9
2025-01,3.0
2025-02,3.0
2025-03,3.0
2025-04,3.0
2025-05,3.0
2025-06,3.0
2025-07,3.0
2025-08,3.0
2025-09,3.0
2025-10,3.0
2025-11,3.0
2025-12,3.0
2026-01,3.0
2026-02,3.0
2026-03,3.0
2026-04,3.0
2026-05,3.0
2026-06,3.0
