date,price
2010-01,4.0
2010-02,3.8
2010-03,3.7
2010-04,3.5
2010-05,3.3
2010-06,3.2
2010-07,3.0
2010-08,2.8
2010-09,2.7
2010-10,2.5
2010-11,2.3
2010-12,2.2
2011-01,2.0
2011-02,2.0
2011-03,2.0
2011-04,2.0
2011-05,2.0
2011-06,2.0
2011-07,2.0
2011-08,2.0
2011-09,2.0
2011-10,2.0
2011-11,2.0
2011-12,2.0
2012-01,2.0
2012-02,2.0
2012-03,2.0
2012-04,2.0
2012-05,2.0
2012-06,2.0
2012-07,2.0
2012-08,2.0
2012-09,2.0
2012-10,2.0
2012-11,2.0
2012-12,2.0
2013-01,2.0
2013-02,1.9
2013-03,1.8
2013-04,1.8
2013-05,1.7
2013-06,1.6
2013-07,1.5
2013-08,1.4
2013-09,1.3
2013-10,1.2
2013-11,1.2
2013-12,1.1
2014-01,1.0
2014-02,1.2
2014-03,1.5
2014-04,1.8
2014-05,2.0
2014-06,2.2
2014-07,2.5
2014-08,2.8
2014-09,3.0
2014-10,3.2
2014-11,3.5
2014-12,3.8
2015-01,4.0
2015-02,3.8
2015-03,3.7
2015-04,3.5
2015-05,3.3
2015-06,3.2
2015-07,3.0
2015-08,2.8
2015-09,2.7
2015-10,2.5
2015-11,2.3
2015-12,2.2
2016-01,2.0
2016-02,1.9
2016-03,1.8
2016-04,1.8
2016-05,1.7
2016-06,1.6
2016-07,1.5
2016-08,1.4
2016-09,1.3
2016-10,1.2
2016-11,1.2
2016-12,1.1
2017-01,1.0
2017-02,2.2
2017-03,3.3
2017-04,4.5
2017-05,5.7
2017-06,6.8
2017-07,8.0
2017-08,9.2
2017-09,10.3
2017-10,11.5
2017-11,12.7
2017-12,13.8
2018-01,15.0
2018-02,15.1
2018-03,15.2
2018-04,15.2
2018-05,15.3
2018-06,15.4
2018-07,15.5
2018-08,15.6
2018-09,15.7
2018-10,15.8
2018-11,15.8
2018-12,15.9
2019-01,16.0
2019-02,15.8
2019-03,15.5
2019-04,15.2
2019-05,15.0
2019-06,14.8
2019-07,14.5
2019-08,14.2
2019-09,14.0
2019-10,13.8
2019-11,13.5
2019-12,13.2
2020-01,13.0
2020-02,12.8
2020-03,12.7
2020-04,12.5
2020-05,12.3
2020-06,12.2
2020-07,12.0
2020-08,11.8
2020-09,11.7
2020-10,11.5
2020-11,11.3
2020-12,11.2
2021-01,11.0
2021-02,11.2
2021-03,11.5
2021-04,11.8
2021-05,12.0
2021-06,12.2
2021-07,12.5
2021-08,12.8
2021-09,13.0
2021-10,13.2
2021-11,13.5
2021-12,13.8
2022-01,14.0
2022-02,14.2
2022-03,14.3
2022-04,14.5
2022-05,14.7
2022-06,14.8
2022-07,15.0
2022-08,15.2
2022-09,15.3
2022-10,15.5
2022-11,15.7
2022-12,15.8
2023-01,16.0
2023-02,16.0
2023-03,16.0
2023-04,16.0
2023-05,16.0
2023-06,16.0
2023-07,16.0
2023-08,16.0
2023-09,16.0
2023-10,16.0
2023-11,16.0
2023-12,16.0
2024-01,16.0
2024-02,15.6
2024-03,15.2
2024-04,14.8
2024-05,14.3
2024-06,13.9
2024-07,13.5
2024-08,13.1
2024-09,12.7
2024-10,12.2
2024-11,11.8
2024-12,11.4
2025-01,11.0
2025-02,11.0
2025-03,11.0
2025-04,11.0
2025-05,11.0
2025-06,11.0
2025-07,11.0
2025-08,11.0
2025-09,11.0
2025-10,11.0
2025-11,11.0
2025-12,11.0
2026-01,11.0
2026-02,11.0
2026-03,11.0
2026-04,11.0
2026-05,11.0
2026-06,11.0
