date,price
2010-01,5.0
2010-02,5.1
2010-03,5.2
2010-04,5.2
2010-05,5.3
2010-06,5.4
2010-07,5.5
2010-08,5.6
2010-09,5.7
2010-10,5.8
2010-11,5.8
2010-12,5.9
2011-01,6.0
2011-02,6.1
2011-03,6.2
2011-04,6.2
2011-05,6.3
2011-06,6.4
2011-07,6.5
2011-08,6.6
2011-09,6.7
2011-10,6.8
2011-11,6.8
2011-12,6.9
2012-01,7.0
2012-02,7.6
2012-03,8.2
2012-04,8.8
2012-05,9.3
2012-06,9.9
2012-07,10.5
2012-08,11.1
2012-09,11.7
2012-10,12.2
2012-11,12.8
2012-12,13.4
2013-01,14.0
2013-02,13.8
2013-03,13.5
2013-04,13.2
2013-05,13.0
2013-06,12.8
2013-07,12.5
2013-08,12.2
2013-09,12.0
2013-10,11.8
2013-11,11.5
2013-12,11.2
2014-01,11.0
2014-02,10.8
2014-03,10.5
2014-04,10.2
2014-05,10.0
2014-06,9.8
2014-07,9.5
2014-08,9.2
2014-09,9.0
2014-10,8.8
2014-11,8.5
2014-12,8.2
2015-01,8.0
2015-02,7.8
2015-03,7.7
2015-04,7.5
2015-05,7.3
2015-06,7.2
2015-07,7.0
2015-08,6.8
2015-09,6.7
2015-10,6.5
2015-11,6.3
2015-12,6.2
2016-01,6.0
2016-02,5.8
2016-03,5.5
2016-04,5.2
2016-05,5.0
2016-06,4.8
2016-07,4.5
2016-08,4.2
2016-09,4.0
2016-10,3.8
2016-11,3.5
2016-12,3.2
2017-01,3.0
2017-02,3.3
2017-03,3.7
2017-04,4.0
2017-05,4.3
2017-06,4.7
2017-07,5.0
2017-08,5.3
2017-09,5.7
2017-10,6.0
2017-11,6.3
2017-12,6.7
2018-01,7.0
2018-02,6.8
2018-03,6.7
2018-04,6.5
2018-05,6.3
2018-06,6.2
2018-07,6.0
2018-08,5.8
2018-09,5.7
2018-10,5.5
2018-11,5.3
2018-12,5.2
2019-01,5.0
2019-02,5.0
2019-03,5.0
2019-04,5.0
2019-05,5.0
2019-06,5.0
2019-07,5.0
2019-08,5.0
2019-09,5.0
2019-10,5.0
2019-11,5.0
2019-12,5.0
2020-01,5.0
2020-02,5.2
2020-03,5.5
2020-04,5.8
2020-05,6.0
2020-06,6.2
2020-07,6.5
2020-08,6.8
2020-09,7.0
2020-10,7.2
2020-11,7.5
2020-12,7.8
2021-01,8.0
2021-02,8.1
2021-03,8.2
2021-04,8.2
2021-05,8.3
2021-06,8.4
2021-07,8.5
2021-08,8.6
2021-09,8.7
2021-10,8.8
2021-11,8.8
2021-12,8.9
2022-01,9.0
2022-02,8.8
2022-03,8.5
2022-04,8.2
2022-05,8.0
2022-06,7.8
2022-07,7.5
2022-08,7.2
2022-09,7.0
2022-10,6.8
2022-11,6.5
2022-12,6.2
2023-01,6.0
2023-02,6.0
2023-03,6.0
2023-04,6.0
2023-05,6.0
2023-06,6.0
2023-07,6.0
2023-08,6.0
2023-09,6.0
2023-10,6.0
2023-11,6.0
2023-12,6.0
2024-01,6.0
2024-02,5.9
2024-03,5.8
2024-04,5.8
2024-05,5.7
2024-06,5.6
2024-07,5.5
2024-08,5.4
2024-09,5.3
2024-10,5.2
2024-11,5.2
2024-12,5.1
2025-01,5.0
2025-02,5.0
2025-03,5.0
2025-04,5.0
2025-05,5.0
2025-06,5.0
2025-07,5.0
2025-08,5.0
2025-09,5.0
2025-10,5.0
2025-11,5.0
2025-12,5.0
2026-01,5.0
2026-02,5.0
2026-03,5.0
2026-04,5.0
2026-05,5.0
2026-06,5.0
