date,price
2007-04,6657.28
2007-05,6622.72
2007-06,5664.00
2007-07,5038.08
2007-08,4345.60
2007-09,4896.00
2007-10,5500.16
2007-11,4620.80
2007-12,4640.00
2008-01,5027.84
2008-02,5834.24
2008-03,6208.00
2008-04,6689.28
2008-05,7120.64
2008-06,8060.16
2008-07,5452.80
2008-08,4705.28
2008-09,4264.96
2008-10,3699.20
2008-11,3449.60
2008-12,2965.76
2009-01,2320.64
2009-02,2216.96
2009-03,1945.60
2009-04,1680.64
2009-05,1868.80
2009-06,1775.36
2009-07,1647.36
2009-08,1372.16
2009-09,1502.72
2009-10,1314.56
2009-11,1171.20
2009-12,1290.24
2010-01,1191.68
2010-02,1113.60
2010-03,884.48
2010-04,878.08
2010-05,951.04
2010-06,992.00
2010-07,1057.28
2010-08,816.64
2010-09,789.76
2010-10,744.96
2010-11,739.84
2010-12,766.72
2011-01,766.72
2011-02,689.92
2011-03,736.00
2011-04,771.84
2011-05,754.56
2011-06,705.28
2011-07,672.00
2011-08,654.08
2011-09,576.64
2011-10,576.64
2011-11,503.68
2011-12,413.44
2012-01,336.00
2012-02,329.12
2012-03,254.72
2012-04,262.56
2012-05,268.64
2012-06,308.64
2012-07,352.64
2012-08,301.12
2012-09,341.44
2012-10,347.84
2012-11,326.24
2012-12,302.40
2013-01,300.16
2013-02,306.88
2013-03,350.08
2013-04,375.52
2013-05,340.96
2013-06,303.20
2013-07,291.36
2013-08,303.20
2013-09,292.48
2013-10,284.32
2013-11,306.40
2013-12,331.04
2014-01,386.88
2014-02,408.16
2014-03,390.72
2014-04,424.80
2014-05,403.20
2014-06,393.60
2014-07,337.60
2014-08,356.16
2014-09,353.76
2014-10,324.48
2014-11,340.16
2014-12,236.32
2015-01,218.72
2015-02,219.84
2015-03,211.84
2015-04,215.36
2015-05,205.92
2015-06,216.96
2015-07,208.64
2015-08,203.20
2015-09,185.76
2015-10,156.96
2015-11,139.52
2015-12,138.72
2016-01,135.84
2016-02,96.32
2016-03,106.56
2016-04,110.88
2016-05,110.24
2016-06,138.24
2016-07,136.80
2016-08,135.20
2016-09,133.76
2016-10,129.28
2016-11,134.88
2016-12,149.44
2017-01,125.76
2017-02,107.04
2017-03,121.12
2017-04,121.12
2017-05,110.72
2017-06,108.48
2017-07,101.12
2017-08,107.36
2017-09,105.12
2017-10,95.68
2017-11,96.80
2017-12,93.28
2018-01,100.32
2018-02,89.04
2018-03,90.20
2018-04,90.24
2018-05,95.56
2018-06,94.80
2018-07,91.24
2018-08,95.80
2018-09,99.32
2018-10,106.80
2018-11,149.28
2018-12,98.84
2019-01,101.12
2019-02,98.92
2019-03,93.92
2019-04,89.32
2019-05,84.20
2019-06,79.56
2019-07,77.76
2019-08,79.08
2019-09,79.72
2019-10,83.24
2019-11,71.32
2019-12,67.44
2020-01,57.48
2020-02,52.40
2020-03,50.20
2020-04,53.64
2020-05,45.28
2020-06,41.04
2020-07,41.04
2020-08,56.56
2020-09,45.64
2020-10,50.96
2020-11,42.40
2020-12,36.80
2021-01,37.64
2021-02,41.28
2021-03,38.32
2021-04,42.04
2021-05,42.08
2021-06,52.32
2021-07,55.04
2021-08,61.28
2021-09,80.64
2021-10,73.84
2021-11,60.32
2021-12,49.96
2022-01,68.04
2022-02,61.84
2022-03,78.88
2022-04,100.00
2022-05,111.64
2022-06,76.04
2022-07,114.48
2022-08,126.60
2022-09,93.52
2022-10,81.52
2022-11,84.88
2022-12,56.40
2023-01,37.28
2023-02,36.48
2023-03,27.76
2023-04,28.04
2023-05,24.80
2023-06,29.68
2023-07,28.44
2023-08,28.44
2023-09,27.32
2023-10,30.00
2023-11,22.08
2023-12,20.28
2024-01,19.63
2024-02,16.54
2024-03,14.57
2024-04,14.44
2024-05,17.59
2024-06,17.43
2024-07,13.54
2024-08,13.37
2024-09,16.33
2024-10,12.71
2024-11,14.43
2024-12,16.81
2025-01,16.19
2025-02,20.34
2025-03,21.61
2025-04,16.74
2025-05,15.71
2025-06,15.28
2025-07,13.59
2025-08,12.83
2025-09,13.07
2025-10,13.25
2025-11,14.73
2025-12,12.26
2026-01,16.90
2026-02,11.52
2026-03,11.73
2026-04,10.60
2026-05,11.93
