date,price
2004-11,45.12
2004-12,43.80
2005-01,42.22
2005-02,43.53
2005-03,42.82
2005-04,43.35
2005-05,41.65
2005-06,43.44
2005-07,42.82
2005-08,43.40
2005-09,46.70
2005-10,46.40
2005-11,49.10
2005-12,51.58
2006-01,56.70
2006-02,56.07
2006-03,58.10
2006-04,65.09
2006-05,64.23
2006-06,61.23
2006-07,63.16
2006-08,62.29
2006-09,59.47
2006-10,60.24
2006-11,64.39
2006-12,63.21
2007-01,64.83
2007-02,66.48
2007-03,65.74
2007-04,67.09
2007-05,65.54
2007-06,64.27
2007-07,65.79
2007-08,66.52
2007-09,73.51
2007-10,78.62
2007-11,77.32
2007-12,82.46
2008-01,91.40
2008-02,96.18
2008-03,90.41
2008-04,86.65
2008-05,87.45
2008-06,91.40
2008-07,90.08
2008-08,81.71
2008-09,85.07
2008-10,71.34
2008-11,80.31
2008-12,86.52
2009-01,91.31
2009-02,92.63
2009-03,90.28
2009-04,87.27
2009-05,96.20
2009-06,91.18
2009-07,93.35
2009-08,93.40
2009-09,98.85
2009-10,102.53
2009-11,115.64
2009-12,107.31
2010-01,105.96
2010-02,109.43
2010-03,108.95
2010-04,115.36
2010-05,118.88
2010-06,121.68
2010-07,115.49
2010-08,122.08
2010-09,127.91
2010-10,132.62
2010-11,135.42
2010-12,138.72
2011-01,129.87
2011-02,137.66
2011-03,139.86
2011-04,152.37
2011-05,149.64
2011-06,146.00
2011-07,158.29
2011-08,177.72
2011-09,158.06
2011-10,167.34
2011-11,170.13
2011-12,151.99
2012-01,169.31
2012-02,164.29
2012-03,162.12
2012-04,161.88
2012-05,151.62
2012-06,155.19
2012-07,156.49
2012-08,164.22
2012-09,171.89
2012-10,166.83
2012-11,166.05
2012-12,162.02
2013-01,161.20
2013-02,153.00
2013-03,154.45
2013-04,142.77
2013-05,133.92
2013-06,119.11
2013-07,127.96
2013-08,134.62
2013-09,128.18
2013-10,127.74
2013-11,120.70
2013-12,116.12
2014-01,120.09
2014-02,127.62
2014-03,123.61
2014-04,124.22
2014-05,120.43
2014-06,128.04
2014-07,123.39
2014-08,123.86
2014-09,116.21
2014-10,112.66
2014-11,112.11
2014-12,113.58
2015-01,123.45
2015-02,116.16
2015-03,113.66
2015-04,113.47
2015-05,114.10
2015-06,112.37
2015-07,104.93
2015-08,108.82
2015-09,106.86
2015-10,109.30
2015-11,101.92
2015-12,101.46
2016-01,106.95
2016-02,118.64
2016-03,117.64
2016-04,123.65
2016-05,116.06
2016-06,126.47
2016-07,128.98
2016-08,124.78
2016-09,125.64
2016-10,121.94
2016-11,111.75
2016-12,109.61
2017-01,115.55
2017-02,119.23
2017-03,118.72
2017-04,120.77
2017-05,120.62
2017-06,118.02
2017-07,120.75
2017-08,125.82
2017-09,121.58
2017-10,120.67
2017-11,121.10
2017-12,123.65
2018-01,127.65
2018-02,125.00
2018-03,125.79
2018-04,124.59
2018-05,123.10
2018-06,118.65
2018-07,115.99
2018-08,113.51
2018-09,112.76
2018-10,115.15
2018-11,115.54
2018-12,121.25
2019-01,124.75
2019-02,123.99
2019-03,122.01
2019-04,121.20
2019-05,123.33
2019-06,133.20
2019-07,133.21
2019-08,143.75
2019-09,138.87
2019-10,142.43
2019-11,137.86
2019-12,142.90
2020-01,149.33
2020-02,148.38
2020-03,148.05
2020-04,158.80
2020-05,162.91
2020-06,167.37
2020-07,185.43
2020-08,184.83
2020-09,177.12
2020-10,176.20
2020-11,166.67
2020-12,178.36
2021-01,172.61
2021-02,161.81
2021-03,159.96
2021-04,165.66
2021-05,178.38
2021-06,165.63
2021-07,169.82
2021-08,169.69
2021-09,164.22
2021-10,166.65
2021-11,165.50
2021-12,170.96
2022-01,168.09
2022-02,178.38
2022-03,180.65
2022-04,176.91
2022-05,171.14
2022-06,168.46
2022-07,164.10
2022-08,159.27
2022-09,154.67
2022-10,151.91
2022-11,164.81
2022-12,169.64
2023-01,179.41
2023-02,169.78
2023-03,183.22
2023-04,184.80
2023-05,182.32
2023-06,178.27
2023-07,182.35
2023-08,180.02
2023-09,171.45
2023-10,184.09
2023-11,188.75
2023-12,191.17
2024-01,188.45
2024-02,189.31
2024-03,205.72
2024-04,211.87
2024-05,215.30
2024-06,215.01
2024-07,226.55
2024-08,231.29
2024-09,243.06
2024-10,253.51
2024-11,245.59
2024-12,242.13
2025-01,258.56
2025-02,263.27
2025-03,288.14
2025-04,303.77
2025-05,303.60
2025-06,304.83
2025-07,302.96
2025-08,318.07
2025-09,355.47
2025-10,368.12
2025-11,387.88
2025-12,396.31
2026-01,444.95
2026-02,483.75
2026-03,430.29
2026-04,423.66
2026-05,417.12
