date,price
2004-08,2.54
2004-09,3.22
2004-10,4.73
2004-11,4.52
2004-12,4.79
2005-01,4.86
2005-02,4.67
2005-03,4.48
2005-04,5.46
2005-05,6.88
2005-06,7.30
2005-07,7.14
2005-08,7.10
2005-09,7.85
2005-10,9.24
2005-11,10.05
2005-12,10.30
2006-01,10.74
2006-02,9.00
2006-03,9.68
2006-04,10.37
2006-05,9.23
2006-06,10.41
2006-07,9.60
2006-08,9.40
2006-09,9.98
2006-10,11.82
2006-11,12.03
2006-12,11.43
2007-01,12.45
2007-02,11.16
2007-03,11.37
2007-04,11.70
2007-05,12.36
2007-06,12.97
2007-07,12.66
2007-08,12.79
2007-09,14.08
2007-10,17.55
2007-11,17.20
2007-12,17.16
2008-01,14.01
2008-02,11.69
2008-03,10.93
2008-04,14.25
2008-05,14.54
2008-06,13.07
2008-07,11.76
2008-08,11.50
2008-09,9.94
2008-10,8.92
2008-11,7.27
2008-12,7.64
2009-01,8.40
2009-02,8.39
2009-03,8.64
2009-04,9.83
2009-05,10.36
2009-06,10.46
2009-07,11.00
2009-08,11.46
2009-09,12.31
2009-10,13.31
2009-11,14.47
2009-12,15.39
2010-01,13.15
2010-02,13.08
2010-03,14.08
2010-04,13.05
2010-05,12.05
2010-06,11.04
2010-07,12.03
2010-08,11.17
2010-09,13.05
2010-10,15.23
2010-11,13.79
2010-12,14.74
2011-01,14.90
2011-02,15.22
2011-03,14.56
2011-04,13.50
2011-05,13.13
2011-06,12.57
2011-07,14.98
2011-08,13.43
2011-09,12.78
2011-10,14.71
2011-11,14.88
2011-12,16.03
2012-01,14.40
2012-02,15.34
2012-03,15.92
2012-04,15.01
2012-05,14.42
2012-06,14.40
2012-07,15.71
2012-08,17.00
2012-09,18.73
2012-10,16.88
2012-11,17.33
2012-12,17.56
2013-01,18.76
2013-02,19.89
2013-03,19.71
2013-04,20.47
2013-05,21.62
2013-06,21.85
2013-07,22.03
2013-08,21.02
2013-09,21.74
2013-10,25.58
2013-11,26.30
2013-12,27.82
2014-01,29.31
2014-02,30.17
2014-03,27.66
2014-04,26.52
2014-05,28.35
2014-06,28.99
2014-07,28.74
2014-08,28.88
2014-09,29.18
2014-10,28.16
2014-11,27.23
2014-12,26.32
2015-01,26.66
2015-02,27.90
2015-03,27.51
2015-04,27.21
2015-05,27.04
2015-06,26.78
2015-07,32.61
2015-08,32.13
2015-09,31.66
2015-10,36.57
2015-11,37.83
2015-12,38.58
2016-01,37.76
2016-02,35.57
2016-03,37.83
2016-04,35.10
2016-05,37.14
2016-06,34.89
2016-07,39.24
2016-08,39.17
2016-09,39.87
2016-10,40.16
2016-11,38.48
2016-12,39.30
2017-01,40.67
2017-02,41.90
2017-03,42.04
2017-04,45.85
2017-05,48.95
2017-06,46.10
2017-07,46.89
2017-08,47.37
2017-09,48.29
2017-10,51.23
2017-11,51.38
2017-12,52.24
2018-01,58.63
2018-02,54.74
2018-03,51.43
2018-04,50.51
2018-05,54.55
2018-06,56.00
2018-07,60.86
2018-08,61.09
2018-09,59.86
2018-10,54.08
2018-11,55.03
2018-12,51.82
2019-01,55.83
2019-02,55.87
2019-03,58.36
2019-04,59.46
2019-05,54.87
2019-06,53.70
2019-07,60.41
2019-08,59.04
2019-09,60.56
2019-10,62.42
2019-11,64.67
2019-12,66.42
2020-01,71.05
2020-02,66.41
2020-03,57.62
2020-04,66.78
2020-05,71.09
2020-06,70.32
2020-07,73.79
2020-08,80.81
2020-09,72.68
2020-10,80.14
2020-11,87.00
2020-12,86.91
2021-01,90.62
2021-02,100.27
2021-03,102.28
2021-04,116.71
2021-05,116.88
2021-06,121.09
2021-07,133.62
2021-08,143.51
2021-09,132.58
2021-10,146.83
2021-11,140.73
2021-12,143.66
2022-01,134.19
2022-02,133.95
2022-03,137.93
2022-04,113.17
2022-05,112.83
2022-06,108.07
2022-07,115.37
2022-08,107.33
2022-09,94.87
2022-10,93.74
2022-11,100.16
2022-12,87.51
2023-01,98.03
2023-02,89.32
2023-03,102.88
2023-04,106.46
2023-05,121.86
2023-06,118.72
2023-07,131.63
2023-08,135.05
2023-09,129.79
2023-10,123.06
2023-11,131.44
2023-12,138.54
2024-01,138.95
2024-02,137.33
2024-03,149.69
2024-04,161.45
2024-05,171.09
2024-06,180.86
2024-07,170.33
2024-08,162.23
2024-09,164.90
2024-10,170.13
2024-11,167.98
2024-12,188.43
2025-01,203.08
2025-02,169.50
2025-03,154.11
2025-04,158.25
2025-05,171.15
2025-06,175.83
2025-07,191.47
2025-08,212.43
2025-09,242.77
2025-10,280.81
2025-11,319.75
2025-12,312.78
2026-01,337.76
2026-02,311.54
2026-03,287.56
2026-04,384.80
2026-05,380.34
