date,price
2000-01,11239.15
2000-02,10562.10
2000-03,9659.35
2000-04,6237.95
2000-05,5687.28
2000-06,6662.24
2000-07,5678.25
2000-08,5867.83
2000-09,4513.72
2000-10,3069.33
2000-11,3502.64
2000-12,3493.62
2001-01,4694.26
2001-02,4766.48
2001-03,4423.44
2001-04,4333.17
2001-05,4522.74
2001-06,4694.26
2001-07,3958.53
2001-08,3466.53
2001-09,2559.28
2001-10,3006.14
2001-11,3547.78
2001-12,3746.38
2002-01,5073.42
2002-02,6635.16
2002-03,7384.44
2002-04,5506.73
2002-05,4658.15
2002-06,4450.52
2002-07,4576.91
2002-08,4892.87
2002-09,4369.28
2002-10,4473.09
2002-11,5001.20
2002-12,5145.64
2003-01,5560.90
2003-02,5154.66
2003-03,5037.31
2003-04,5678.25
2003-05,5867.83
2003-06,6860.85
2003-07,8151.77
2003-08,9569.08
2003-09,7799.70
2003-10,8097.61
2003-11,11194.01
2003-12,12818.95
2004-01,11825.93
2004-02,10246.13
2004-03,10426.68
2004-04,9569.08
2004-05,9018.41
2004-06,8133.72
2004-07,7763.59
2004-08,8485.78
2004-09,7989.28
2004-10,6508.78
2004-11,6905.98
2004-12,7403.39
2005-01,7900.64
2005-02,8931.96
2005-03,8508.38
2005-04,7375.77
2005-05,8536.01
2005-06,9208.21
2005-07,10635.47
2005-08,12108.79
2005-09,12477.12
2005-10,13950.43
2005-11,16344.56
2005-12,16859.16
2006-01,21542.26
2006-02,25195.08
2006-03,25241.91
2006-04,29503.53
2006-05,27302.47
2006-06,24398.96
2006-07,29737.69
2006-08,31564.10
2006-09,36153.54
2006-10,34842.27
2006-11,33905.65
2006-12,32166.82
2007-01,26813.58
2007-02,32972.18
2007-03,33967.03
2007-04,35246.12
2007-05,50121.49
2007-06,46142.09
2007-07,54479.89
2007-08,64238.89
2007-09,66039.09
2007-10,51732.20
2007-11,43583.90
2007-12,40399.70
2008-01,43754.36
2008-02,46917.33
2008-03,51757.62
2008-04,56837.54
2008-05,58371.09
2008-06,44425.29
2008-07,34888.48
2008-08,30096.10
2008-09,24824.49
2008-10,24920.34
2008-11,28418.77
2008-12,27709.97
2009-01,27515.52
2009-02,29605.91
2009-03,43947.04
2009-04,57850.64
2009-05,74184.93
2009-06,70004.16
2009-07,68448.49
2009-08,75643.38
2009-09,90810.93
2009-10,89352.52
2009-11,91686.00
2009-12,88962.05
2010-01,74461.62
2010-02,73089.97
2010-03,83181.46
2010-04,87100.50
2010-05,99935.34
2010-06,103854.36
2010-07,107773.40
2010-08,108263.28
2010-09,110712.67
2010-10,102874.61
2010-11,106303.77
2010-12,102192.06
2011-01,92515.91
2011-02,78199.14
2011-03,78791.55
2011-04,86986.67
2011-05,78989.04
2011-06,91726.02
2011-07,76323.16
2011-08,57662.00
2011-09,54304.95
2011-10,59537.98
2011-11,53712.54
2011-12,53019.44
2012-01,56407.90
2012-02,63882.45
2012-03,67769.22
2012-04,68965.14
2012-05,74247.16
2012-06,76838.34
2012-07,72752.24
2012-08,70958.35
2012-09,64081.78
2012-10,56906.21
2012-11,57803.15
2012-12,59992.38
2013-01,57882.09
2013-02,65519.32
2013-03,66122.26
2013-04,68835.47
2013-05,68132.05
2013-06,65519.32
2013-07,70744.78
2013-08,66725.20
2013-09,61298.75
2013-10,58183.57
2013-11,56977.69
2013-12,55170.53
2014-01,53750.70
2014-02,53446.46
2014-03,58720.11
2014-04,58720.11
2014-05,58010.19
2014-06,53750.70
2014-07,49237.67
2014-08,43254.10
2014-09,35800.00
2014-10,33264.59
2014-11,28548.72
2014-12,24187.82
2015-01,23275.07
2015-02,25252.69
2015-03,24035.69
2015-04,28092.35
2015-05,27230.31
2015-06,29715.01
2015-07,38639.66
2015-08,31743.34
