date,price
2021-09,113459.16
2021-10,114932.66
2021-11,104618.19
2021-12,93517.86
2022-01,97545.41
2022-02,107565.18
2022-03,117388.48
2022-04,137526.25
2022-05,116897.31
2022-06,140473.25
2022-07,122791.30
2022-08,140964.42
2022-09,112967.99
2022-10,107074.01
2022-11,116406.15
2022-12,113950.32
2023-01,108645.74
2023-02,104519.96
2023-03,98233.04
2023-04,107663.41
2023-05,114048.56
2023-06,129372.91
2023-07,137231.55
2023-08,128488.81
2023-09,119058.45
2023-10,100295.93
2023-11,122987.77
2023-12,126720.62
2024-01,112083.91
2024-02,115816.76
2024-03,115914.99
2024-04,135266.89
2024-05,126425.92
2024-06,152948.84
2024-07,207271.72
2024-08,190375.64
2024-09,181338.19
2024-10,179373.53
2024-11,216112.69
2024-12,282419.97
2025-01,305504.75
2025-02,292851.62
2025-03,276032.47
2025-04,397724.19
2025-05,401186.94
2025-06,425621.72
2025-07,487205.25
2025-08,516507.09
2025-09,511540.66
2025-10,595969.69
2025-11,531406.31
2025-12,505580.97
2026-01,571137.62
2026-02,603000.00
2026-03,465000.00
2026-04,685000.00
2026-05,696000.00
