date,price
2000-01,8886.41
2000-02,6262.06
2000-03,6963.62
2000-04,5430.58
2000-05,6288.04
2000-06,7431.32
2000-07,7769.11
2000-08,8730.50
2000-09,7535.26
2000-10,6755.75
2000-11,6755.75
2000-12,6288.04
2001-01,8393.17
2001-02,8748.58
2001-03,9404.73
2001-04,11263.80
2001-05,13806.35
2001-06,15474.05
2001-07,12056.64
2001-08,11646.55
2001-09,9350.05
2001-10,11373.16
2001-11,13888.37
2001-12,15168.20
2002-01,16577.88
2002-02,20524.99
2002-03,23626.29
2002-04,27065.92
2002-05,22695.90
2002-06,20384.02
2002-07,19932.92
2002-08,19171.70
2002-09,15732.07
2002-10,17451.88
2002-11,19791.96
2002-12,16093.06
2003-01,14324.28
2003-02,14556.24
2003-03,13918.32
2003-04,16643.99
2003-05,16701.99
2003-06,18325.79
2003-07,20413.54
2003-08,22733.26
2003-09,19195.69
2003-10,22878.24
2003-11,26444.81
2003-12,29914.93
2004-01,29441.03
2004-02,29618.75
2004-03,31040.45
2004-04,26508.78
2004-05,25768.30
2004-06,26331.07
2004-07,25709.07
2004-08,29559.51
2004-09,31455.10
2004-10,32165.96
2004-11,30566.54
2004-12,33620.34
2005-01,35255.93
2005-02,35074.19
2005-03,33317.46
2005-04,32651.10
2005-05,34347.27
2005-06,34831.88
2005-07,43070.39
2005-08,42828.08
2005-09,49430.97
2005-10,46402.12
2005-11,52035.80
2005-12,59765.28
2006-01,53567.84
2006-02,50929.33
2006-03,50315.73
2006-04,50867.96
2006-05,47370.42
2006-06,49333.96
2006-07,45100.08
2006-08,49702.13
2006-09,49702.13
2006-10,47002.26
2006-11,43197.89
2006-12,41970.69
2007-01,41783.87
2007-02,43278.38
2007-03,41161.17
2007-04,36926.73
2007-05,40912.07
2007-06,45457.86
2007-07,50564.07
2007-08,43340.65
2007-09,46018.30
2007-10,44212.45
2007-11,43153.83
2007-12,45208.78
2008-01,46345.32
2008-02,42178.02
2008-03,49818.04
2008-04,53417.07
2008-05,53038.23
2008-06,44829.94
2008-07,45145.62
2008-08,45271.92
2008-09,46408.44
2008-10,36811.06
2008-11,26203.41
2008-12,25511.24
2009-01,30710.37
2009-02,31453.11
2009-03,35844.91
2009-04,44241.02
2009-05,44757.70
2009-06,47857.80
2009-07,56899.75
2009-08,68460.56
2009-09,72012.75
2009-10,70721.03
2009-11,63939.57
2009-12,78904.53
2010-01,73687.71
2010-02,74991.91
2010-03,75317.95
2010-04,89338.19
2010-05,91294.49
2010-06,94228.96
2010-07,97163.43
2010-08,92272.66
2010-09,99771.84
2010-10,110857.61
2010-11,112487.86
2010-12,114126.66
2011-01,117744.50
2011-02,117086.70
2011-03,133531.47
2011-04,162145.39
2011-05,166092.11
2011-06,155896.38
2011-07,154580.73
2011-08,133531.47
2011-09,138793.78
2011-10,149318.48
2011-11,140109.41
2011-12,141270.05
2012-01,146575.98
2012-02,143259.77
2012-03,154534.86
2012-04,178079.86
2012-05,161830.48
2012-06,154203.22
2012-07,157187.81
2012-08,159509.16
2012-09,167136.42
2012-10,148897.33
2012-11,149560.56
2012-12,146163.20
2013-01,137132.53
2013-02,145828.73
2013-03,149842.39
2013-04,133453.39
2013-05,142149.59
2013-06,150845.80
2013-07,155528.34
2013-08,166565.86
2013-09,167903.72
2013-10,169241.59
2013-11,168572.67
2013-12,159584.11
2014-01,158234.58
2014-02,165319.70
2014-03,169368.33
2014-04,155198.08
2014-05,151486.84
2014-06,154860.67
2014-07,165657.09
2014-08,157222.41
2014-09,128544.47
2014-10,114711.63
2014-11,120784.60
2014-12,116031.67
2015-01,116374.94
2015-02,110195.72
2015-03,115688.39
2015-04,116031.67
2015-05,108479.30
2015-06,94071.43
2015-07,103063.56
2015-08,103063.56
2015-09,113439.06
2015-10,107905.45
2015-11,102025.99
2015-12,105152.66
2016-01,93861.10
2016-02,104094.08
2016-03,107622.70
2016-04,101271.17
2016-05,98448.31
2016-06,96318.33
2016-07,93830.41
2016-08,94541.25
2016-09,96318.33
2016-10,99517.11
2016-11,94541.25
2016-12,105982.46
2017-01,101264.06
2017-02,108523.11
2017-03,114330.40
2017-04,104530.66
2017-05,118322.88
2017-06,116510.40
2017-07,105918.52
2017-08,102631.43
2017-09,109936.15
2017-10,117606.11
2017-11,120162.76
2017-12,116217.73
2018-01,120687.65
2018-02,120315.16
2018-03,106905.41
2018-04,119197.66
2018-05,103552.98
2018-06,94234.77
2018-07,97238.27
2018-08,93859.34
2018-09,97238.27
2018-10,79968.14
2018-11,80343.58
2018-12,91260.14
2019-01,99731.57
2019-02,97421.17
2019-03,92030.29
2019-04,106662.70
2019-05,103582.20
2019-06,108585.29
2019-07,98114.58
2019-08,99665.77
2019-09,103931.62
2019-10,94624.33
2019-11,93848.71
2019-12,95807.22
2020-01,99385.05
2020-02,91434.27
2020-03,70523.63
2020-04,74419.55
2020-05,77917.90
2020-06,77679.37
2020-07,100577.70
2020-08,140331.70
2020-09,141921.89
2020-10,130790.74
2020-11,144307.11
2020-12,155111.06
