date,price
2000-05,89.89
2000-06,91.67
2000-07,90.06
2000-08,95.94
2000-09,90.72
2000-10,90.36
2000-11,83.52
2000-12,83.19
2001-01,86.70
2001-02,78.57
2001-03,74.06
2001-04,79.44
2001-05,79.78
2001-06,78.07
2001-07,77.18
2001-08,72.68
2001-09,66.43
2001-10,67.61
2001-11,72.86
2001-12,73.24
2002-01,72.48
2002-02,71.14
2002-03,73.53
2002-04,69.33
2002-05,68.77
2002-06,63.83
2002-07,58.87
2002-08,59.15
2002-09,53.02
2002-10,57.43
2002-11,60.72
2002-12,57.47
2003-01,56.06
2003-02,55.28
2003-03,55.39
2003-04,60.10
2003-05,63.35
2003-06,64.10
2003-07,65.20
2003-08,66.43
2003-09,65.76
2003-10,69.32
2003-11,70.16
2003-12,73.83
2004-01,75.42
2004-02,76.37
2004-03,75.43
2004-04,74.02
2004-05,75.25
2004-06,76.59
2004-07,74.19
2004-08,74.34
2004-09,75.05
2004-10,75.99
2004-11,79.36
2004-12,81.79
2005-01,79.96
2005-02,81.63
2005-03,80.15
2005-04,78.71
2005-05,81.18
2005-06,81.28
2005-07,84.42
2005-08,83.60
2005-09,84.29
2005-10,82.48
2005-11,85.91
2005-12,85.78
2006-01,87.90
2006-02,88.37
2006-03,89.75
2006-04,90.91
2006-05,88.25
2006-06,88.48
2006-07,88.83
2006-08,90.78
2006-09,93.21
2006-10,96.20
2006-11,98.09
2006-12,99.45
2007-01,100.87
2007-02,98.96
2007-03,100.14
2007-04,104.46
2007-05,108.02
2007-06,106.35
2007-07,102.96
2007-08,104.31
2007-09,108.58
2007-10,110.11
2007-11,105.58
2007-12,104.71
2008-01,98.15
2008-02,95.44
2008-03,94.84
2008-04,99.42
2008-05,100.69
2008-06,92.25
2008-07,91.56
2008-08,92.92
2008-09,84.67
2008-10,70.59
2008-11,65.32
2008-12,65.96
2009-01,60.60
2009-02,54.20
2009-03,58.55
2009-04,64.49
2009-05,68.25
2009-06,68.28
2009-07,73.32
2009-08,76.00
2009-09,78.76
2009-10,77.24
2009-11,81.95
2009-12,83.51
2010-01,80.41
2010-02,82.94
2010-03,88.01
2010-04,89.44
2010-05,82.28
2010-06,77.95
2010-07,83.40
2010-08,79.71
2010-09,86.74
2010-10,90.07
2010-11,90.01
2010-12,96.12
2011-01,98.32
2011-02,101.73
2011-03,101.72
2011-04,104.73
2011-05,103.48
2011-06,101.75
2011-07,99.74
2011-08,94.23
2011-09,87.84
2011-10,97.20
2011-11,96.89
2011-12,97.92
2012-01,102.44
2012-02,106.75
2012-03,110.27
2012-04,109.55
2012-05,102.96
2012-06,107.30
2012-07,108.63
2012-08,111.32
2012-09,113.92
2012-10,111.61
2012-11,112.58
2012-12,113.65
2013-01,119.46
2013-02,121.08
2013-03,125.53
2013-04,127.99
2013-05,131.07
2013-06,128.99
2013-07,135.94
2013-08,131.81
2013-09,136.08
2013-10,142.36
2013-11,146.60
2013-12,150.36
2014-01,145.11
2014-02,151.73
2014-03,153.06
2014-04,154.19
2014-05,157.72
2014-06,161.01
2014-07,158.76
2014-08,165.06
2014-09,162.80
2014-10,166.68
2014-11,171.27
2014-12,170.76
2015-01,165.81
2015-02,175.17
2015-03,172.37
2015-04,174.05
2015-05,176.31
2015-06,172.82
2015-07,176.60
2015-08,165.75
2015-09,161.61
2015-10,175.32
2015-11,176.00
2015-12,172.95
2016-01,164.30
2016-02,164.21
2016-03,174.46
2016-04,175.14
2016-05,178.10
2016-06,178.56
2016-07,185.23
2016-08,185.47
2016-09,185.48
2016-10,182.18
2016-11,188.87
2016-12,192.91
2017-01,196.29
2017-02,204.09
2017-03,204.33
2017-04,206.31
2017-05,209.18
2017-06,210.58
2017-07,214.95
2017-08,215.54
2017-09,219.94
2017-10,225.05
2017-11,232.07
2017-12,234.88
2018-01,248.25
2018-02,238.80
2018-03,232.89
2018-04,233.71
2018-05,239.35
2018-06,240.75
2018-07,249.77
2018-08,257.85
2018-09,259.23
2018-10,241.54
2018-11,246.18
2018-12,224.34
2019-01,242.11
2019-02,249.93
2019-03,254.72
2019-04,264.91
2019-05,248.22
2019-06,265.46
2019-07,269.50
2019-08,265.03
2019-09,270.19
2019-10,276.03
2019-11,286.06
2019-12,294.44
2020-01,294.44
2020-02,269.55
2020-03,236.85
2020-04,266.88
2020-05,279.73
2020-06,285.05
2020-07,301.73
2020-08,322.86
2020-09,310.72
2020-10,302.92
2020-11,335.93
2020-12,348.61
2021-01,345.02
2021-02,354.54
2021-03,370.69
2021-04,390.31
2021-05,392.89
2021-06,401.76
2021-07,411.56
2021-08,423.99
2021-09,404.14
2021-10,432.44
2021-11,429.29
2021-12,448.87
2022-01,425.14
2022-02,412.86
2022-03,428.36
2022-04,390.47
2022-05,391.71
2022-06,359.10
2022-07,392.37
2022-08,376.17
2022-09,341.43
2022-10,369.18
2022-11,389.67
2022-12,367.35
2023-01,390.39
2023-02,380.50
2023-03,394.68
2023-04,401.00
2023-05,402.70
2023-06,429.27
2023-07,443.21
2023-08,435.99
2023-09,415.48
2023-10,406.30
2023-11,443.53
2023-12,463.98
2024-01,471.34
2024-02,495.86
2024-03,512.33
2024-04,491.59
2024-05,516.46
2024-06,534.89
2024-07,540.84
2024-08,553.97
2024-09,566.00
2024-10,560.53
2024-11,593.72
2024-12,579.67
2025-01,595.41
2025-02,587.90
2025-03,555.02
2025-04,551.13
2025-05,584.90
2025-06,615.21
2025-07,629.08
2025-08,642.38
2025-09,665.17
2025-10,681.00
2025-11,682.64
2025-12,683.12
2026-01,693.18
2026-02,687.55
2026-03,653.21
2026-04,722.07
2026-05,760.05
2026-06,740.91
