date,price
2000-05,34.00
2000-06,36.95
2000-07,35.93
2000-08,38.43
2000-09,37.17
2000-10,35.51
2000-11,31.97
2000-12,34.50
2001-01,36.36
2001-02,33.93
2001-03,32.35
2001-04,35.02
2001-05,35.78
2001-06,36.89
2001-07,34.84
2001-08,33.99
2001-09,29.04
2001-10,30.92
2001-11,33.29
2001-12,35.11
2002-01,35.06
2002-02,33.97
2002-03,36.52
2002-04,36.96
2002-05,35.21
2002-06,33.16
2002-07,28.74
2002-08,28.55
2002-09,26.26
2002-10,27.35
2002-11,29.66
2002-12,27.96
2003-01,27.38
2003-02,26.56
2003-03,26.62
2003-04,29.35
2003-05,32.54
2003-06,32.92
2003-07,35.06
2003-08,36.74
2003-09,36.02
2003-10,39.16
2003-11,40.62
2003-12,41.36
2004-01,43.15
2004-02,43.56
2004-03,43.98
2004-04,41.55
2004-05,42.44
2004-06,44.24
2004-07,41.24
2004-08,40.62
2004-09,42.79
2004-10,43.67
2004-11,47.68
2004-12,48.82
2005-01,46.84
2005-02,47.61
2005-03,46.26
2005-04,43.64
2005-05,46.46
2005-06,48.36
2005-07,51.54
2005-08,50.51
2005-09,50.55
2005-10,48.57
2005-11,51.36
2005-12,51.00
2006-01,55.31
2006-02,55.48
2006-03,58.20
2006-04,58.38
2006-05,55.06
2006-06,55.04
2006-07,53.47
2006-08,55.07
2006-09,55.42
2006-10,58.68
2006-11,60.10
2006-12,60.32
2007-01,61.34
2007-02,60.94
2007-03,61.54
2007-04,62.54
2007-05,65.27
2007-06,64.33
2007-07,59.83
2007-08,61.10
2007-09,62.26
2007-10,64.04
2007-11,59.63
2007-12,59.24
2008-01,55.37
2008-02,53.75
2008-03,53.39
2008-04,55.82
2008-05,58.38
2008-06,53.98
2008-07,55.97
2008-08,57.97
2008-09,53.47
2008-10,42.27
2008-11,37.23
2008-12,39.02
2009-01,35.24
2009-02,31.02
2009-03,33.43
2009-04,38.57
2009-05,39.88
2009-06,40.61
2009-07,44.33
2009-08,45.63
2009-09,48.17
2009-10,45.04
2009-11,46.45
2009-12,50.13
2010-01,48.26
2010-02,50.42
2010-03,54.57
2010-04,57.67
2010-05,53.32
2010-06,49.19
2010-07,52.50
2010-08,48.60
2010-09,54.64
2010-10,56.91
2010-11,58.89
2010-12,63.62
2011-01,63.39
2011-02,66.90
2011-03,68.59
2011-04,70.40
2011-05,69.14
2011-06,67.47
2011-07,65.17
2011-08,59.38
2011-09,52.76
2011-10,60.73
2011-11,60.50
2011-12,60.81
2012-01,65.15
2012-02,66.83
2012-03,68.49
2012-04,67.38
2012-05,62.95
2012-06,66.13
2012-07,65.12
2012-08,67.42
2012-09,69.62
2012-10,68.11
2012-11,68.49
2012-12,70.97
2013-01,75.39
2013-02,76.15
2013-03,79.70
2013-04,79.42
2013-05,82.54
2013-06,81.87
2013-07,87.87
2013-08,85.09
2013-09,90.61
2013-10,92.80
2013-11,96.48
2013-12,98.43
2014-01,95.70
2014-02,100.27
2014-03,99.52
2014-04,95.79
2014-05,96.54
2014-06,101.63
2014-07,95.48
2014-08,100.09
2014-09,94.16
2014-10,100.36
2014-11,100.48
2014-12,103.38
2015-01,100.00
2015-02,105.94
2015-03,107.82
2015-04,105.05
2015-05,107.40
2015-06,108.24
2015-07,107.05
2015-08,100.29
2015-09,95.34
2015-10,100.70
2015-11,103.98
2015-12,98.75
2016-01,90.28
2016-02,90.08
2016-03,97.30
2016-04,98.93
2016-05,101.14
2016-06,101.13
2016-07,107.07
2016-08,108.98
2016-09,110.15
2016-10,105.08
2016-11,116.71
2016-12,120.07
2017-01,120.41
2017-02,122.74
2017-03,122.77
2017-04,124.18
2017-05,121.73
2017-06,125.84
2017-07,126.91
2017-08,125.32
2017-09,133.22
2017-10,134.19
2017-11,138.14
2017-12,137.58
2018-01,141.10
2018-02,135.68
2018-03,137.33
2018-04,138.68
2018-05,147.23
2018-06,148.13
2018-07,150.58
2018-08,157.07
2018-09,153.41
2018-10,136.56
2018-11,138.91
2018-12,122.28
2019-01,136.13
2019-02,143.18
2019-03,140.18
2019-04,144.94
2019-05,133.56
2019-06,142.89
2019-07,143.86
2019-08,136.77
2019-09,139.56
2019-10,143.35
2019-11,149.17
2019-12,153.33
2020-01,148.57
2020-02,135.43
2020-03,106.34
2020-04,121.07
2020-05,129.05
2020-06,133.48
2020-07,137.38
2020-08,144.90
2020-09,140.17
2020-10,143.26
2020-11,169.40
2020-12,184.04
2021-01,192.96
2021-02,204.93
2021-03,207.79
2021-04,211.50
2021-05,212.08
2021-06,216.04
2021-07,208.21
2021-08,212.79
2021-09,206.66
2021-10,215.45
2021-11,206.12
2021-12,210.80
2022-01,190.70
2022-02,192.67
2022-03,194.90
2022-04,175.61
2022-05,175.95
2022-06,161.23
2022-07,178.26
2022-08,174.69
2022-09,157.81
2022-10,175.43
2022-11,179.30
2022-12,167.62
2023-01,184.07
2023-02,180.90
2023-03,172.13
2023-04,169.05
2023-05,167.67
2023-06,181.19
2023-07,192.26
2023-08,182.49
2023-09,171.81
2023-10,159.93
2023-11,174.64
2023-12,195.82
2024-01,188.18
2024-02,198.77
2024-03,205.70
2024-04,191.61
2024-05,201.27
2024-06,199.01
2024-07,219.57
2024-08,215.87
2024-09,217.40
2024-10,214.32
2024-11,238.05
2024-12,218.11
2025-01,223.56
2025-02,211.89
2025-03,197.36
2025-04,192.78
2025-05,202.88
2025-06,214.08
2025-07,217.65
2025-08,233.31
2025-09,240.72
2025-10,244.97
2025-11,247.48
2025-12,245.72
2026-01,259.19
2026-02,260.95
2026-03,248.00
2026-04,277.97
2026-05,290.43
2026-06,281.65
