date,price
2020-05,30.72
2020-06,30.57
2020-07,32.25
2020-08,33.02
2020-09,32.77
2020-10,32.30
2020-11,34.65
2020-12,35.55
2021-01,34.98
2021-02,35.22
2021-03,37.46
2021-04,38.43
2021-05,39.10
2021-06,39.73
2021-07,40.75
2021-08,41.45
2021-09,39.73
2021-10,41.55
2021-11,40.85
2021-12,43.20
2022-01,41.69
2022-02,41.18
2022-03,42.57
2022-04,41.01
2022-05,40.98
2022-06,39.48
2022-07,41.35
2022-08,40.13
2022-09,37.59
2022-10,40.42
2022-11,42.53
2022-12,41.69
2023-01,42.44
2023-02,41.49
2023-03,42.44
2023-04,43.41
2023-05,42.66
2023-06,43.99
2023-07,44.72
2023-08,44.72
2023-09,43.35
2023-10,42.88
2023-11,44.89
2023-12,45.79
2024-01,46.60
2024-02,47.70
2024-03,48.70
2024-04,47.36
2024-05,48.41
2024-06,48.59
2024-07,49.56
2024-08,50.98
2024-09,51.92
2024-10,51.55
2024-11,53.77
2024-12,51.54
2025-01,52.83
2025-02,53.52
2025-03,51.76
2025-04,50.72
2025-05,51.63
2025-06,52.84
2025-07,52.87
2025-08,53.83
2025-09,54.14
2025-10,54.27
2025-11,55.59
2025-12,55.71
2026-01,57.00
2026-02,58.63
2026-03,55.82
2026-04,57.14
2026-05,56.04
