date,price
2022-05,31.59
2022-06,29.62
2022-07,32.05
2022-08,30.40
2022-09,27.71
2022-10,28.96
2022-11,30.44
2022-12,28.59
2023-01,30.38
2023-02,30.15
2023-03,32.25
2023-04,33.07
2023-05,34.50
2023-06,35.59
2023-07,36.64
2023-08,36.60
2023-09,35.38
2023-10,35.11
2023-11,37.82
2023-12,38.96
2024-01,40.13
2024-02,41.86
2024-03,42.91
2024-04,41.50
2024-05,43.57
2024-06,45.00
2024-07,43.89
2024-08,44.54
2024-09,45.71
2024-10,45.88
2024-11,48.42
2024-12,48.64
2025-01,49.58
2025-02,48.67
2025-03,45.41
2025-04,45.50
2025-05,47.20
2025-06,49.37
2025-07,50.46
2025-08,51.40
2025-09,53.53
2025-10,55.43
2025-11,55.60
2025-12,56.02
2026-01,57.28
2026-02,56.38
2026-03,54.41
2026-04,58.68
2026-05,61.15
