date,price
1975-01,1.910
1975-02,1.905
1975-03,1.900
1975-04,1.895
1975-05,1.890
1975-06,1.885
1975-07,1.880
1975-08,1.875
1975-09,1.870
1975-10,1.865
1975-11,1.860
1975-12,1.855
1976-01,1.850
1976-02,1.846
1976-03,1.842
1976-04,1.838
1976-05,1.833
1976-06,1.829
1976-07,1.825
1976-08,1.821
1976-09,1.817
1976-10,1.812
1976-11,1.808
1976-12,1.804
1977-01,1.800
1977-02,1.799
1977-03,1.798
1977-04,1.798
1977-05,1.797
1977-06,1.796
1977-07,1.795
1977-08,1.794
1977-09,1.793
1977-10,1.792
1977-11,1.792
1977-12,1.791
1978-01,1.790
1978-02,1.788
1978-03,1.787
1978-04,1.785
1978-05,1.783
1978-06,1.782
1978-07,1.780
1978-08,1.778
1978-09,1.777
1978-10,1.775
1978-11,1.773
1978-12,1.772
1979-01,1.770
1979-02,1.768
1979-03,1.767
1979-04,1.765
1979-05,1.763
1979-06,1.762
1979-07,1.760
1979-08,1.758
1979-09,1.757
1979-10,1.755
1979-11,1.753
1979-12,1.752
1980-01,1.750
1980-02,1.749
1980-03,1.748
1980-04,1.748
1980-05,1.747
1980-06,1.746
1980-07,1.745
1980-08,1.744
1980-09,1.743
1980-10,1.742
1980-11,1.742
1980-12,1.741
1981-01,1.740
1981-02,1.742
1981-03,1.745
1981-04,1.748
1981-05,1.750
1981-06,1.752
1981-07,1.755
1981-08,1.758
1981-09,1.760
1981-10,1.762
1981-11,1.765
1981-12,1.768
1982-01,1.770
1982-02,1.772
1982-03,1.775
1982-04,1.778
1982-05,1.780
1982-06,1.782
1982-07,1.785
1982-08,1.788
1982-09,1.790
1982-10,1.792
1982-11,1.795
1982-12,1.798
1983-01,1.800
1983-02,1.801
1983-03,1.802
1983-04,1.802
1983-05,1.803
1983-06,1.804
1983-07,1.805
1983-08,1.806
1983-09,1.807
1983-10,1.808
1983-11,1.808
1983-12,1.809
1984-01,1.810
1984-02,1.806
1984-03,1.802
1984-04,1.798
1984-05,1.793
1984-06,1.789
1984-07,1.785
1984-08,1.781
1984-09,1.777
1984-10,1.772
1984-11,1.768
1984-12,1.764
1985-01,1.760
1985-02,1.757
1985-03,1.753
1985-04,1.750
1985-05,1.747
1985-06,1.743
1985-07,1.740
1985-08,1.737
1985-09,1.733
1985-10,1.730
1985-11,1.727
1985-12,1.723
1986-01,1.720
1986-02,1.718
1986-03,1.715
1986-04,1.712
1986-05,1.710
1986-06,1.708
1986-07,1.705
1986-08,1.702
1986-09,1.700
1986-10,1.698
1986-11,1.695
1986-12,1.692
1987-01,1.690
1987-02,1.688
1987-03,1.685
1987-04,1.682
1987-05,1.680
1987-06,1.677
1987-07,1.675
1987-08,1.672
1987-09,1.670
1987-10,1.667
1987-11,1.665
1987-12,1.662
1988-01,1.660
1988-02,1.652
1988-03,1.645
1988-04,1.637
1988-05,1.630
1988-06,1.623
1988-07,1.615
1988-08,1.607
1988-09,1.600
1988-10,1.593
1988-11,1.585
1988-12,1.578
1989-01,1.570
1989-02,1.568
1989-03,1.565
1989-04,1.562
1989-05,1.560
1989-06,1.558
1989-07,1.555
1989-08,1.552
1989-09,1.550
1989-10,1.548
1989-11,1.545
1989-12,1.542
1990-01,1.540
1990-02,1.539
1990-03,1.538
1990-04,1.538
1990-05,1.537
1990-06,1.536
1990-07,1.535
1990-08,1.534
1990-09,1.533
1990-10,1.532
1990-11,1.532
1990-12,1.531
1991-01,1.530
1991-02,1.528
1991-03,1.525
1991-04,1.522
1991-05,1.520
1991-06,1.518
1991-07,1.515
1991-08,1.512
1991-09,1.510
1991-10,1.508
1991-11,1.505
1991-12,1.502
1992-01,1.500
1992-02,1.497
1992-03,1.493
1992-04,1.490
1992-05,1.487
1992-06,1.483
1992-07,1.480
1992-08,1.477
1992-09,1.473
1992-10,1.470
1992-11,1.467
1992-12,1.463
1993-01,1.460
1993-02,1.463
1993-03,1.467
1993-04,1.470
1993-05,1.473
1993-06,1.477
1993-07,1.480
1993-08,1.483
1993-09,1.487
