date,price
2000-01,25.38
2000-02,25.05
2000-03,27.42
2000-04,22.81
2000-05,23.62
2000-06,21.85
2000-07,23.79
2000-08,26.69
2000-09,22.06
2000-10,21.88
2000-11,17.73
2000-12,21.85
2001-01,26.64
2001-02,22.60
2001-03,21.75
2001-04,23.43
2001-05,24.01
2001-06,21.72
2001-07,21.31
2001-08,19.39
2001-09,16.80
2001-10,17.57
2001-11,18.74
2001-12,18.06
2002-01,17.08
2002-02,14.67
2002-03,17.88
2002-04,17.78
2002-05,18.21
2002-06,17.18
2002-07,12.78
2002-08,13.52
2002-09,9.72
2002-10,10.81
2002-11,13.11
2002-12,12.50
2003-01,12.33
2003-02,11.99
2003-03,12.53
2003-04,15.73
2003-05,17.61
2003-06,18.32
2003-07,18.98
2003-08,18.53
2003-09,18.59
2003-10,19.62
2003-11,19.35
2003-12,20.08
2004-01,21.46
2004-02,22.63
2004-03,23.15
2004-04,20.91
2004-05,20.49
2004-06,21.56
2004-07,20.95
2004-08,22.21
2004-09,22.29
2004-10,21.84
2004-11,21.31
2004-12,22.08
2005-01,21.31
2005-02,20.86
2005-03,19.75
2005-04,20.46
2005-05,20.61
2005-06,20.36
2005-07,20.46
2005-08,19.73
2005-09,19.75
2005-10,21.53
2005-11,22.49
2005-12,23.34
2006-01,23.57
2006-02,24.40
2006-03,24.70
2006-04,27.13
2006-05,25.50
2006-06,25.11
2006-07,27.50
2006-08,27.52
2006-09,28.31
2006-10,28.80
2006-11,28.10
2006-12,29.32
2007-01,31.14
2007-02,30.20
2007-03,29.58
2007-04,32.08
2007-05,31.91
2007-06,29.83
2007-07,27.31
2007-08,27.63
2007-09,28.43
2007-10,29.40
2007-11,28.54
2007-12,27.31
2008-01,29.91
2008-02,25.65
2008-03,27.11
2008-04,30.32
2008-05,27.36
2008-06,21.83
2008-07,26.14
2008-08,24.76
2008-09,30.05
2008-10,26.74
2008-11,20.53
2008-12,20.44
2009-01,16.74
2009-02,15.00
2009-03,17.44
2009-04,21.69
2009-05,24.26
2009-06,22.42
2009-07,25.45
2009-08,28.61
2009-09,28.85
2009-10,27.53
2009-11,28.01
2009-12,27.47
2010-01,25.70
2010-02,27.70
2010-03,29.53
2010-04,28.13
2010-05,26.15
2010-06,24.19
2010-07,26.65
2010-08,24.06
2010-09,25.18
2010-10,24.93
2010-11,24.78
