date,price
2000-02,34534.55
2000-03,19237.99
2000-04,9853.61
2000-05,15127.64
2000-06,19894.90
2000-07,13400.91
2000-08,12987.99
2000-09,10923.43
2000-10,5696.32
2000-11,4710.96
2000-12,2759.01
2001-01,6343.85
2001-02,5471.10
2001-03,4335.59
2001-04,6991.37
2001-05,7826.58
2001-06,6625.38
2001-07,5940.32
2001-08,6099.85
2001-09,5123.88
2001-10,5564.94
2001-11,5799.55
2001-12,6184.31
2002-01,5996.62
2002-02,6935.06
2002-03,8567.95
2002-04,5959.09
2002-05,6944.45
2002-06,5255.26
2002-07,5367.87
2002-08,5959.09
2002-09,4673.42
2002-10,5508.64
2002-11,6737.99
2002-12,5912.17
2003-01,7075.83
2003-02,7225.98
2003-03,7301.05
2003-04,9290.54
2003-05,12068.32
2003-06,12049.56
2003-07,12443.70
2003-08,12293.55
2003-09,10379.13
2003-10,10379.13
2003-11,10360.36
2003-12,10003.76
2004-01,9722.23
2004-02,8258.26
2004-03,8173.80
2004-04,9478.23
2004-05,9872.38
2004-06,10022.53
2004-07,6156.16
2004-08,6099.85
2004-09,5686.94
2004-10,4626.50
2004-11,4513.89
2004-12,4354.36
2005-01,4842.34
2005-02,4429.43
2005-03,4063.44
2005-04,3490.99
2005-05,3866.37
2005-06,4532.66
2005-07,5170.80
2005-08,4870.50
2005-09,5884.01
2005-10,5067.57
2005-11,6447.07
2005-12,8051.81
2006-01,7610.74
2006-02,7695.20
2006-03,7779.66
2006-04,8887.01
2006-05,9084.09
2006-06,7676.43
2006-07,9121.63
2006-08,9365.62
2006-09,9037.16
2006-10,10472.98
2006-11,11280.03
2006-12,10829.59
2007-01,10304.06
2007-02,12256.01
2007-03,11824.33
2007-04,13044.30
2007-05,13682.44
2007-06,14433.19
2007-07,13175.68
2007-08,12518.77
2007-09,12950.46
2007-10,15240.25
2007-11,16234.99
2007-12,14602.11
2008-01,12012.02
2008-02,15784.54
2008-03,13907.66
2008-04,11542.80
2008-05,11561.57
2008-06,12912.92
2008-07,12631.39
2008-08,10904.66
2008-09,7554.43
2008-10,5546.17
2008-11,5255.26
2008-12,5968.47
2009-01,5161.41
2009-02,4786.04
2009-03,5377.25
2009-04,6606.61
2009-05,6935.06
2009-06,8483.49
2009-07,9384.39
2009-08,8389.64
2009-09,10172.68
2009-10,10341.59
2009-11,11768.02
2009-12,13194.45
2010-01,13250.75
2010-02,13194.45
2010-03,12650.16
2010-04,12500.00
2010-05,14752.26
2010-06,15878.38
2010-07,15953.46
2010-08,13194.45
