date,price
2001-12,28555.15
2002-01,33429.02
2002-02,31651.50
2002-03,33199.66
2002-04,33371.69
2002-05,33773.05
2002-06,34575.81
2002-07,34059.75
2002-08,32224.89
2002-09,27551.71
2002-10,25229.45
2002-11,25229.45
2002-12,24082.66
2003-01,22935.87
2003-02,22935.87
2003-03,22935.87
2003-04,22935.87
2003-05,18721.40
2003-06,20326.90
2003-07,24111.33
2003-08,22276.46
2003-09,24484.03
2003-10,22763.85
2003-11,22763.85
2003-12,25602.16
2004-01,28268.46
2004-02,28268.46
2004-03,28153.77
2004-04,27408.36
2004-05,22821.19
2004-06,22821.19
2004-07,22821.19
2004-08,22821.19
2004-09,20928.98
2004-10,20928.98
2004-11,20928.98
2004-12,23222.57
2005-01,23222.57
2005-02,25659.49
2005-03,26605.61
2005-04,26490.92
2005-05,24656.06
2005-06,25860.18
2005-07,25860.18
2005-08,31708.84
2005-09,34289.12
2005-10,35263.90
2005-11,35263.90
2005-12,35263.90
2006-01,44380.89
2006-02,44380.89
2006-03,42775.39
2006-04,42775.39
2006-05,44438.24
2006-06,43922.17
2006-07,43176.76
2006-08,44667.60
2006-09,44667.60
2006-10,42316.66
2006-11,42316.66
2006-12,42660.70
2007-01,42947.40
2007-02,50229.54
2007-03,48624.03
2007-04,48624.03
2007-05,47649.26
2007-06,51261.67
2007-07,49828.17
2007-08,43406.13
2007-09,42259.33
2007-10,46789.16
2007-11,46789.16
2007-12,41628.59
2008-01,39564.37
2008-02,35550.59
2008-03,35550.59
2008-04,35321.23
2008-05,37385.46
2008-06,36697.38
2008-07,36697.38
2008-08,34289.12
2008-09,31250.12
2008-10,17574.61
2008-11,17316.58
2008-12,19323.46
2009-01,21244.34
2009-02,16857.86
2009-03,18893.42
2009-04,22792.51
2009-05,22935.87
2009-06,24541.37
2009-07,31119.92
2009-08,30182.21
2009-09,35456.78
2009-10,34460.46
2009-11,33991.61
2009-12,34987.92
2010-01,29654.75
2010-02,28570.54
2010-03,31999.01
2010-04,31940.39
2010-05,28892.88
2010-06,27837.96
2010-07,30182.21
2010-08,28482.63
2010-09,28717.05
2010-10,29303.11
2010-11,31705.97
2010-12,35235.52
2011-01,33767.39
2011-02,32416.68
2011-03,33767.39
2011-04,33767.39
2011-05,30243.83
2011-06,29656.56
2011-07,30831.09
2011-08,25898.11
2011-09,23695.89
2011-10,25487.03
2011-11,22169.02
2011-12,21739.97
2012-01,25513.03
2012-02,24674.58
2012-03,24764.41
2012-04,23057.55
2012-05,22099.31
2012-06,22099.31
2012-07,21650.14
2012-08,22009.48
2012-09,23776.22
2012-10,22219.09
2012-11,21350.69
2012-12,23064.30
2013-01,23672.87
2013-02,24038.00
2013-03,22820.88
2013-04,21908.05
2013-05,22486.18
2013-06,20812.64
2013-07,21664.62
2013-08,21725.49
2013-09,22881.74
2013-10,25559.39
2013-11,24159.71
2013-12,26027.01
2014-01,22916.08
2014-02,24579.35
2014-03,22946.89
2014-04,21684.04
2014-05,21406.83
2014-06,21684.04
2014-07,24764.16
2014-08,25595.79
2014-09,23747.72
2014-10,25873.01
2014-11,23963.33
2014-12,22726.13
2015-01,23134.76
2015-02,24517.82
2015-03,24706.41
2015-04,25743.71
2015-05,25303.64
2015-06,23197.63
2015-07,23134.76
2015-08,22506.09
2015-09,22160.33
2015-10,22726.13
2015-11,22160.33
2015-12,21460.54
2016-01,19777.36
2016-02,19227.08
2016-03,20618.94
2016-04,22528.71
2016-05,22075.54
2016-06,21104.48
2016-07,22787.66
2016-08,25182.95
2016-09,24503.21
2016-10,27384.03
2016-11,27254.56
2016-12,28529.42
2017-01,31329.03
2017-02,31262.38
2017-03,32662.18
2017-04,33395.42
2017-05,35728.44
2017-06,38461.39
2017-07,39594.57
2017-08,36928.27
2017-09,37394.87
2017-10,38928.00
2017-11,39927.86
2017-12,43572.12
2018-01,46252.43
2018-02,43984.48
2018-03,41716.55
2018-04,42060.16
2018-05,35599.95
2018-06,36287.20
2018-07,36837.00
2018-08,35531.22
2018-09,37249.36
2018-10,32576.01
2018-11,32438.57
2018-12,33294.85
2019-01,34404.68
2019-02,31755.41
2019-03,29965.36
2019-04,33080.03
2019-05,31361.60
2019-06,32829.43
2019-07,31075.18
2019-08,28425.92
2019-09,30573.98
2019-10,30036.96
2019-11,32972.63
2019-12,35716.09
2020-01,32942.75
2020-02,29157.52
2020-03,25896.98
2020-04,26046.89
2020-05,25484.72
2020-06,25447.24
2020-07,26421.67
2020-08,27620.94
2020-09,28145.62
2020-10,30056.99
2020-11,33992.12
2020-12,33844.19
2021-01,31426.75
2021-02,34156.12
2021-03,43825.88
2021-04,42656.15
2021-05,45853.41
2021-06,44092.09
2021-07,40536.27
2021-08,41800.57
2021-09,43697.00
2021-10,44724.23
2021-11,41721.54
2021-12,45202.79
2022-01,48901.21
2022-02,48408.09
2022-03,50799.71
2022-04,48479.34
2022-05,50053.88
2022-06,40310.22
2022-07,40561.38
2022-08,41398.55
2022-09,37001.93
2022-10,40685.18
2022-11,44453.12
2022-12,42255.95
2023-01,48790.37
2023-02,44695.46
2023-03,41960.74
2023-04,43589.86
2023-05,42268.95
2023-06,42498.95
2023-07,45391.55
2023-08,48150.64
2023-09,49659.91
2023-10,46247.47
2023-11,47055.68
2023-12,48582.29
2024-01,50827.32
2024-02,58456.90
2024-03,64715.70
2024-04,70395.79
2024-05,73934.20
2024-06,73836.40
2024-07,82677.94
2024-08,80796.77
2024-09,76846.19
2024-10,85775.16
2024-11,91379.52
2024-12,78745.97
2025-01,87105.01
2025-02,75117.51
2025-03,75789.05
2025-04,86533.84
2025-05,101035.82
2025-06,107429.26
2025-07,107429.26
2025-08,105659.02
2025-09,112787.59
2025-10,113861.77
2025-11,122716.46
2025-12,122618.13
2026-01,132942.83
2026-02,157856.28
2026-03,140879.28
2026-04,159345.48
2026-05,150600.00
