date,price
2000-01,3970.30
2000-02,2640.96
2000-03,2954.09
2000-04,2977.72
2000-05,3651.26
2000-06,3781.24
2000-07,4253.89
2000-08,3988.02
2000-09,3603.99
2000-10,3603.99
2000-11,4431.13
2000-12,4194.81
2001-01,4431.13
2001-02,4667.46
2001-03,4312.97
2001-04,4430.19
2001-05,5750.18
2001-06,6175.07
2001-07,4906.06
2001-08,4826.75
2001-09,3931.65
2001-10,4753.10
2001-11,5251.64
2001-12,5019.37
2002-01,5410.27
2002-02,6486.65
2002-03,7959.61
2002-04,7563.04
2002-05,6684.94
2002-06,6231.72
2002-07,5976.78
2002-08,5665.20
2002-09,4435.85
2002-10,4979.71
2002-11,5155.33
2002-12,5118.67
2003-01,4537.01
2003-02,4391.59
2003-03,4124.02
2003-04,4915.09
2003-05,5165.21
2003-06,5118.67
2003-07,5252.46
2003-08,5310.62
2003-09,4653.34
2003-10,4827.84
2003-11,6107.51
2003-12,6560.98
2004-01,6591.07
2004-02,6560.98
2004-03,7102.71
2004-04,6560.98
2004-05,5736.34
2004-06,5941.00
2004-07,5477.51
2004-08,6079.44
2004-09,6380.40
2004-10,6320.21
2004-11,6013.23
2004-12,6777.61
2005-01,7834.67
2005-02,8829.55
2005-03,8705.19
2005-04,7679.22
2005-05,8985.00
2005-06,8549.74
2005-07,9762.25
2005-08,9513.53
2005-09,12125.09
2005-10,11627.65
2005-11,15358.45
2005-12,16699.52
2006-01,14125.53
2006-02,13152.44
2006-03,12493.25
2006-04,12179.34
2006-05,10390.11
2006-06,10233.16
2006-07,8914.78
2006-08,9636.75
2006-09,9668.14
2006-10,8946.17
2006-11,8820.61
2006-12,8443.93
2007-01,7282.50
2007-02,7627.79
2007-03,7973.08
2007-04,6968.60
2007-05,7502.23
2007-06,9040.34
2007-07,8820.61
2007-08,7973.08
2007-09,7816.13
2007-10,6497.74
2007-11,6372.18
2007-12,6340.79
2008-01,6497.74
2008-02,6114.79
2008-03,7156.94
2008-04,8381.15
2008-05,7659.18
2008-06,6937.21
2008-07,7910.30
2008-08,8224.20
2008-09,9197.29
2008-10,6529.13
2008-11,4426.00
2008-12,4112.10
2009-01,4959.63
2009-02,4212.55
