date,price
2000-01,13.78
2000-02,11.66
2000-03,11.30
2000-04,11.38
2000-05,12.85
2000-06,13.87
2000-07,14.81
2000-08,12.71
2000-09,13.36
2000-10,14.63
2000-11,15.22
2000-12,14.81
2001-01,14.09
2001-02,12.89
2001-03,11.01
2001-04,11.26
2001-05,11.56
2001-06,11.02
2001-07,10.92
2001-08,11.92
2001-09,11.60
2001-10,11.85
2001-11,11.67
2001-12,11.71
2002-01,10.87
2002-02,11.77
2002-03,13.04
2002-04,13.85
2002-05,13.86
2002-06,14.02
2002-07,12.50
2002-08,12.77
2002-09,12.06
2002-10,11.68
2002-11,11.52
2002-12,11.07
2003-01,10.22
2003-02,10.16
2003-03,10.28
2003-04,10.26
2003-05,11.57
2003-06,11.84
2003-07,11.48
2003-08,11.11
2003-09,11.02
2003-10,11.90
2003-11,11.98
2003-12,13.08
2004-01,12.69
2004-02,12.87
2004-03,13.03
2004-04,13.10
2004-05,13.30
2004-06,13.14
2004-07,11.41
2004-08,11.63
2004-09,10.48
2004-10,10.64
2004-11,10.35
2004-12,10.97
2005-01,10.93
2005-02,11.27
2005-03,11.05
2005-04,11.52
2005-05,11.83
2005-06,11.14
2005-07,11.68
2005-08,11.74
2005-09,11.60
2005-10,11.49
2005-11,11.54
2005-12,10.90
2006-01,11.18
2006-02,11.34
2006-03,11.40
2006-04,11.42
2006-05,11.99
2006-06,11.80
2006-07,12.20
2006-08,12.29
2006-09,12.34
2006-10,12.90
2006-11,13.02
2006-12,13.41
2007-01,13.31
2007-02,12.98
2007-03,13.44
2007-04,14.61
2007-05,14.84
2007-06,14.74
2007-07,14.69
2007-08,15.16
2007-09,16.30
2007-10,17.51
2007-11,17.71
2007-12,17.50
2008-01,16.82
2008-02,16.67
2008-03,17.47
2008-04,16.89
2008-05,16.43
2008-06,15.01
2008-07,14.87
2008-08,15.04
2008-09,15.38
2008-10,12.82
2008-11,13.75
2008-12,13.28
2009-01,12.53
2009-02,11.98
2009-03,13.03
2009-04,12.76
2009-05,14.57
2009-06,14.35
2009-07,14.90
2009-08,14.58
2009-09,16.19
2009-10,16.07
2009-11,17.36
2009-12,17.30
2010-01,16.47
2010-02,16.00
2010-03,16.83
2010-04,16.36
2010-05,15.73
2010-06,15.47
2010-07,17.01
2010-08,17.25
2010-09,18.20
2010-10,19.07
2010-11,19.78
2010-12,20.60
2011-01,19.68
2011-02,20.02
2011-03,20.92
2011-04,21.28
2011-05,21.07
2011-06,21.38
2011-07,21.61
2011-08,22.38
2011-09,21.61
2011-10,21.85
2011-11,21.66
2011-12,22.54
2012-01,21.76
2012-02,22.51
2012-03,24.02
2012-04,24.77
2012-05,24.25
2012-06,25.55
2012-07,26.40
2012-08,24.44
2012-09,24.96
2012-10,24.46
2012-11,25.12
2012-12,24.02
2013-01,24.67
2013-02,25.65
2013-03,26.98
2013-04,28.25
2013-05,26.68
2013-06,26.95
2013-07,26.93
2013-08,25.65
2013-09,25.64
2013-10,26.78
2013-11,27.39
2013-12,28.15
2014-01,25.78
2014-02,26.03
2014-03,26.56
2014-04,28.02
2014-05,28.10
2014-06,29.32
2014-07,27.19
2014-08,28.87
2014-09,29.74
2014-10,29.20
2014-11,31.47
2014-12,29.64
2015-01,28.90
2015-02,30.39
2015-03,28.70
2015-04,28.71
2015-05,28.99
2015-06,27.99
2015-07,29.32
2015-08,28.06
2015-09,28.88
2015-10,30.48
2015-11,30.91
2015-12,31.16
2016-01,31.13
2016-02,31.28
2016-03,33.91
2016-04,32.75
2016-05,32.60
2016-06,33.39
2016-07,32.14
2016-08,31.99
2016-09,31.43
2016-10,31.49
2016-11,30.22
2016-12,31.05
2017-01,31.13
2017-02,31.42
2017-03,32.06
2017-04,32.60
2017-05,34.35
2017-06,34.16
2017-07,34.92
2017-08,34.70
2017-09,34.56
2017-10,35.30
2017-11,35.43
2017-12,35.51
2018-01,36.84
2018-02,33.45
2018-03,33.91
2018-04,33.74
2018-05,33.58
2018-06,34.55
2018-07,36.74
2018-08,35.11
2018-09,36.70
2018-10,38.04
2018-11,40.36
2018-12,37.92
2019-01,38.54
2019-02,36.31
2019-03,37.85
2019-04,39.63
2019-05,39.69
2019-06,41.46
2019-07,42.85
2019-08,44.81
2019-09,44.64
2019-10,44.64
2019-11,44.12
2019-12,45.73
2020-01,48.25
2020-02,44.19
2020-03,36.88
2020-04,38.25
2020-05,38.91
2020-06,37.58
2020-07,39.73
2020-08,41.66
2020-09,41.86
2020-10,40.75
2020-11,44.09
2020-12,46.86
2021-01,41.14
2021-02,41.86
2021-03,45.41
2021-04,46.51
2021-05,47.64
2021-06,46.97
2021-07,49.51
2021-08,48.88
2021-09,45.89
2021-10,49.30
2021-11,46.23
2021-12,52.19
2022-01,53.77
2022-02,54.86
2022-03,55.07
2022-04,57.38
2022-05,56.29
2022-06,56.28
2022-07,57.40
2022-08,55.20
2022-09,50.48
2022-10,53.93
2022-11,57.73
2022-12,57.73
2023-01,55.65
2023-02,54.00
2023-03,56.72
2023-04,58.66
2023-05,54.56
2023-06,55.49
2023-07,57.06
2023-08,55.13
2023-09,51.99
2023-10,52.46
2023-11,54.71
2023-12,55.17
2024-01,55.69
2024-02,56.19
2024-03,57.73
2024-04,58.29
2024-05,59.38
2024-06,60.53
2024-07,63.46
2024-08,68.91
2024-09,68.80
2024-10,62.53
2024-11,61.82
2024-12,60.06
2025-01,61.24
2025-02,68.70
2025-03,69.60
2025-04,70.51
2025-05,70.07
2025-06,69.25
2025-07,66.45
2025-08,67.52
2025-09,65.41
2025-10,67.95
2025-11,72.11
2025-12,69.43
2026-01,74.30
2026-02,81.00
2026-03,76.05
2026-04,78.76
2026-05,79.01
