date,price
1975-01,3.430
1975-02,3.394
1975-03,3.358
1975-04,3.323
1975-05,3.287
1975-06,3.251
1975-07,3.215
1975-08,3.179
1975-09,3.143
1975-10,3.107
1975-11,3.072
1975-12,3.036
1976-01,3.000
1976-02,2.999
1976-03,2.998
1976-04,2.998
1976-05,2.997
1976-06,2.996
1976-07,2.995
1976-08,2.994
1976-09,2.993
1976-10,2.993
1976-11,2.992
1976-12,2.991
1977-01,2.990
1977-02,2.961
1977-03,2.932
1977-04,2.903
1977-05,2.873
1977-06,2.844
1977-07,2.815
1977-08,2.786
1977-09,2.757
1977-10,2.728
1977-11,2.698
1977-12,2.669
1978-01,2.640
1978-02,2.662
1978-03,2.683
1978-04,2.705
1978-05,2.727
1978-06,2.748
1978-07,2.770
1978-08,2.792
1978-09,2.813
1978-10,2.835
1978-11,2.857
1978-12,2.878
1979-01,2.900
1979-02,2.893
1979-03,2.887
1979-04,2.880
1979-05,2.873
1979-06,2.867
1979-07,2.860
1979-08,2.853
1979-09,2.847
1979-10,2.840
1979-11,2.833
1979-12,2.827
1980-01,2.820
1980-02,2.799
1980-03,2.778
1980-04,2.757
1980-05,2.737
1980-06,2.716
1980-07,2.695
1980-08,2.674
1980-09,2.653
1980-10,2.632
1980-11,2.612
1980-12,2.591
1981-01,2.570
1981-02,2.555
1981-03,2.540
1981-04,2.525
1981-05,2.510
1981-06,2.495
1981-07,2.480
1981-08,2.465
1981-09,2.450
1981-10,2.435
1981-11,2.420
1981-12,2.405
1982-01,2.390
1982-02,2.363
1982-03,2.335
1982-04,2.308
1982-05,2.280
1982-06,2.252
1982-07,2.225
1982-08,2.198
1982-09,2.170
1982-10,2.143
1982-11,2.115
1982-12,2.087
1983-01,2.060
1983-02,2.033
1983-03,2.007
1983-04,1.980
1983-05,1.953
1983-06,1.927
1983-07,1.900
1983-08,1.873
1983-09,1.847
1983-10,1.820
1983-11,1.793
1983-12,1.767
1984-01,1.740
1984-02,1.733
1984-03,1.727
1984-04,1.720
1984-05,1.713
1984-06,1.707
1984-07,1.700
1984-08,1.693
1984-09,1.687
1984-10,1.680
1984-11,1.673
1984-12,1.667
1985-01,1.660
1985-02,1.653
1985-03,1.647
1985-04,1.640
1985-05,1.633
1985-06,1.627
1985-07,1.620
1985-08,1.613
1985-09,1.607
1985-10,1.600
1985-11,1.593
1985-12,1.587
1986-01,1.580
1986-02,1.576
1986-03,1.572
1986-04,1.568
1986-05,1.563
1986-06,1.559
1986-07,1.555
1986-08,1.551
1986-09,1.547
1986-10,1.542
1986-11,1.538
1986-12,1.534
1987-01,1.530
1987-02,1.532
1987-03,1.533
1987-04,1.535
1987-05,1.537
1987-06,1.538
1987-07,1.540
1987-08,1.542
1987-09,1.543
1987-10,1.545
1987-11,1.547
1987-12,1.548
1988-01,1.550
1988-02,1.551
1988-03,1.552
1988-04,1.552
1988-05,1.553
1988-06,1.554
1988-07,1.555
1988-08,1.556
1988-09,1.557
1988-10,1.558
1988-11,1.558
1988-12,1.559
1989-01,1.560
1989-02,1.561
1989-03,1.562
1989-04,1.562
1989-05,1.563
1989-06,1.564
1989-07,1.565
1989-08,1.566
1989-09,1.567
1989-10,1.568
1989-11,1.568
1989-12,1.569
1990-01,1.570
1990-02,1.582
1990-03,1.593
1990-04,1.605
1990-05,1.617
1990-06,1.628
1990-07,1.640
1990-08,1.652
1990-09,1.663
1990-10,1.675
1990-11,1.687
