date,price
2021-08,487361.06
2021-09,497772.62
2021-10,465546.31
2021-11,498764.22
2021-12,456126.31
2022-01,272188.41
2022-02,292515.78
2022-03,273180.00
2022-04,249877.89
2022-05,257314.73
2022-06,217155.78
2022-07,231533.69
2022-08,244424.20
2022-09,208231.58
2022-10,176005.27
2022-11,225088.42
2022-12,166585.27
2023-01,178682.53
2023-02,168370.11
2023-03,181954.73
2023-04,190482.31
2023-05,187507.58
2023-06,193159.58
2023-07,170353.27
2023-08,153694.73
2023-09,149331.78
2023-10,162420.62
2023-11,211206.31
2023-12,191969.69
2024-01,212693.69
2024-02,225088.42
2024-03,244920.00
2024-04,237483.16
2024-05,247894.73
2024-06,279129.47
2024-07,291524.22
2024-08,324246.31
2024-09,339615.78
2024-10,328212.62
2024-11,309372.62
2024-12,309868.41
2025-01,360934.72
2025-02,340607.38
2025-03,331683.16
2025-04,368371.56
2025-05,365892.62
2025-06,359943.16
2025-07,325733.69
2025-08,324742.09
2025-09,290036.84
2025-10,273675.78
2025-11,255331.58
2025-12,243928.42
2026-01,251861.05
2026-02,248500.00
2026-03,255000.00
2026-04,265000.00
2026-05,257500.00
