date,price
2022-01,450000.00
2022-02,420000.00
2022-03,442000.00
2022-04,417000.00
2022-05,444000.00
2022-06,371000.00
2022-07,422000.00
2022-08,462500.00
2022-09,426500.00
2022-10,528000.00
2022-11,587000.00
2022-12,435500.00
2023-01,521000.00
2023-02,523000.00
2023-03,584000.00
2023-04,581000.00
2023-05,599000.00
2023-06,553000.00
2023-07,560000.00
2023-08,544000.00
2023-09,476500.00
2023-10,385500.00
2023-11,454500.00
2023-12,427500.00
2024-01,381000.00
2024-02,401500.00
2024-03,395000.00
2024-04,389000.00
2024-05,331000.00
2024-06,326500.00
2024-07,324000.00
2024-08,388000.00
2024-09,414500.00
2024-10,407500.00
2024-11,381500.00
2024-12,348000.00
2025-01,352000.00
2025-02,352000.00
2025-03,334500.00
2025-04,324500.00
2025-05,286000.00
2025-06,297000.00
2025-07,382500.00
2025-08,352000.00
2025-09,347500.00
2025-10,473000.00
2025-11,408000.00
2025-12,368500.00
2026-01,398000.00
2026-02,427000.00
2026-03,394500.00
2026-04,460500.00
2026-05,458000.00
