date,price
2017-11,0.17
2017-12,0.60
2018-01,0.62
2018-02,0.66
2018-03,0.28
2018-04,0.54
2018-05,0.34
2018-06,0.23
2018-07,0.29
2018-08,0.33
2018-09,0.33
2018-10,0.51
2018-11,0.32
2018-12,0.29
2019-01,0.39
2019-02,0.43
2019-03,0.51
2019-04,0.47
2019-05,1.02
2019-06,3.45
2019-07,2.20
2019-08,1.79
2019-09,1.76
2019-10,2.74
2019-11,2.24
2019-12,1.77
2020-01,2.82
2020-02,4.11
2020-03,2.27
2020-04,3.72
2020-05,4.13
2020-06,4.57
2020-07,7.77
2020-08,15.71
2020-09,9.85
2020-10,11.22
2020-11,14.23
2020-12,11.27
2021-01,22.60
2021-02,24.66
2021-03,29.35
2021-04,38.13
2021-05,32.09
2021-06,19.50
2021-07,22.75
2021-08,26.75
2021-09,23.99
2021-10,29.99
2021-11,25.34
2021-12,19.59
2022-01,17.24
2022-02,15.12
2022-03,16.91
2022-04,11.00
2022-05,7.59
2022-06,6.25
2022-07,7.67
2022-08,6.63
2022-09,7.58
2022-10,7.86
2022-11,7.68
2022-12,5.57
2023-01,6.95
2023-02,7.19
2023-03,7.59
2023-04,7.05
2023-05,6.48
2023-06,6.31
2023-07,7.54
2023-08,5.88
2023-09,8.18
2023-10,11.38
2023-11,14.40
2023-12,14.95
2024-01,15.40
2024-02,19.29
2024-03,19.14
2024-04,13.13
2024-05,18.42
2024-06,14.26
2024-07,12.83
2024-08,11.02
2024-09,11.85
2024-10,11.42
2024-11,19.02
2024-12,20.00
2025-01,25.15
2025-02,14.82
2025-03,13.51
2025-04,14.29
2025-05,13.98
2025-06,13.38
2025-07,16.96
2025-08,23.22
2025-09,21.33
2025-10,17.24
2025-11,12.98
2025-12,12.19
2026-01,9.97
2026-02,8.84
2026-03,8.78
2026-04,9.10
2026-05,9.17
