date,price
2006-05,4.07
2006-06,4.35
2006-07,4.15
2006-08,5.06
2006-09,6.37
2006-10,6.72
2006-11,9.23
2006-12,8.93
2007-01,10.13
2007-02,9.73
2007-03,9.64
2007-04,10.15
2007-05,13.59
2007-06,15.09
2007-07,14.63
2007-08,12.46
2007-09,13.46
2007-10,17.30
2007-11,18.27
2007-12,19.60
2008-01,18.87
2008-02,17.32
2008-03,20.32
2008-04,25.37
2008-05,28.15
2008-06,24.22
2008-07,22.28
2008-08,22.13
2008-09,16.18
2008-10,13.50
2008-11,13.27
2008-12,13.06
2009-01,12.41
2009-02,14.45
2009-03,15.31
2009-04,16.79
2009-05,16.14
2009-06,15.31
2009-07,17.77
2009-08,18.56
2009-09,18.52
2009-10,20.08
2009-11,22.08
2009-12,23.46
2010-01,22.92
2010-02,20.58
2010-03,23.30
2010-04,22.76
2010-05,18.52
2010-06,18.31
2010-07,19.29
2010-08,18.22
2010-09,20.57
2010-10,22.06
2010-11,21.78
2010-12,20.60
2011-01,21.75
2011-02,22.12
2011-03,23.15
2011-04,25.38
2011-05,26.41
2011-06,27.73
2011-07,27.92
2011-08,30.35
2011-09,29.20
2011-10,31.98
2011-11,34.50
2011-12,34.34
2012-01,32.76
2012-02,38.70
2012-03,38.75
2012-04,41.70
2012-05,37.48
2012-06,39.66
2012-07,40.28
2012-08,39.02
2012-09,41.66
2012-10,42.55
2012-11,45.12
2012-12,45.36
2013-01,47.89
2013-02,47.83
2013-03,49.99
2013-04,51.14
2013-05,52.74
2013-06,53.13
2013-07,56.53
2013-08,56.11
2013-09,62.28
2013-10,66.44
2013-11,70.49
2013-12,77.41
2014-01,70.22
2014-02,72.11
2014-03,69.31
2014-04,68.34
2014-05,71.04
2014-06,68.27
2014-07,69.00
2014-08,70.55
2014-09,68.79
2014-10,78.05
2014-11,81.35
2014-12,80.30
2015-01,76.59
2015-02,84.16
2015-03,80.67
2015-04,84.39
2015-05,86.30
2015-06,87.45
2015-07,91.27
2015-08,86.55
2015-09,84.45
2015-10,92.92
2015-11,91.91
2015-12,91.39
2016-01,83.73
2016-02,81.75
2016-03,88.88
2016-04,91.40
2016-05,90.38
2016-06,82.99
2016-07,89.95
2016-08,91.26
2016-09,96.12
2016-10,101.26
2016-11,96.70
2016-12,97.70
2017-01,100.82
2017-02,104.74
2017-03,106.64
2017-04,110.51
2017-05,116.74
2017-06,115.38
2017-07,121.64
2017-08,126.87
2017-09,134.39
2017-10,141.82
2017-11,143.44
2017-12,144.29
2018-01,161.35
2018-02,167.81
2018-03,167.24
2018-04,170.45
2018-05,181.78
2018-06,187.90
2018-07,189.55
2018-08,206.36
2018-09,213.11
2018-10,189.45
2018-11,192.71
2018-12,180.81
2019-01,202.70
2019-02,215.80
2019-03,226.05
2019-04,244.43
2019-05,241.79
2019-06,254.33
2019-07,262.09
2019-08,270.85
2019-09,261.41
2019-10,266.78
2019-11,281.64
2019-12,287.77
2020-01,304.90
2020-02,280.11
2020-03,233.12
2020-04,265.77
2020-05,290.82
2020-06,285.81
2020-07,298.61
2020-08,346.67
2020-09,327.29
2020-10,279.68
2020-11,326.06
2020-12,345.86
2021-01,306.86
2021-02,343.30
2021-03,345.44
2021-04,371.11
2021-05,350.25
2021-06,354.63
2021-07,375.32
2021-08,336.70
2021-09,338.11
2021-10,326.70
2021-11,306.64
2021-12,349.87
2022-01,376.72
2022-02,351.80
2022-03,348.44
2022-04,354.78
2022-05,349.40
2022-06,308.02
2022-07,345.95
2022-08,317.18
2022-09,278.04
2022-10,321.43
2022-11,349.06
2022-12,340.57
2023-01,363.56
2023-02,348.54
2023-03,356.51
2023-04,373.40
2023-05,358.65
2023-06,386.44
2023-07,387.96
2023-08,406.02
2023-09,389.56
2023-10,370.85
2023-11,407.79
2023-12,420.28
2024-01,443.37
2024-02,468.56
2024-03,475.28
2024-04,445.93
2024-05,441.85
2024-06,436.00
2024-07,458.97
2024-08,478.40
2024-09,488.75
2024-10,495.14
2024-11,528.19
2024-12,521.88
2025-01,551.29
2025-02,572.02
2025-03,544.04
2025-04,544.84
2025-05,582.16
2025-06,558.64
2025-07,563.91
2025-08,592.60
2025-09,566.23
2025-10,550.22
2025-11,548.76
2025-12,569.05
2026-01,537.87
2026-02,516.32
2026-03,498.80
2026-04,502.92
2026-05,493.98
