date,price
2000-01,19.74
2000-02,16.77
2000-03,19.74
2000-04,20.10
2000-05,18.91
2000-06,17.39
2000-07,16.73
2000-08,15.78
2000-09,15.94
2000-10,16.37
2000-11,16.94
2000-12,18.07
2001-01,15.60
2001-02,15.63
2001-03,14.11
2001-04,14.62
2001-05,16.09
2001-06,14.38
2001-07,15.49
2001-08,15.96
2001-09,14.43
2001-10,13.86
2001-11,14.39
2001-12,14.19
2002-01,14.57
2002-02,13.99
2002-03,14.87
2002-04,15.22
2002-05,16.05
2002-06,15.25
2002-07,13.27
2002-08,12.74
2002-09,9.47
2002-10,9.71
2002-11,10.05
2002-12,8.74
2003-01,7.74
2003-02,7.40
2003-03,7.86
2003-04,9.29
2003-05,10.18
2003-06,11.99
2003-07,12.51
2003-08,12.19
2003-09,12.79
2003-10,13.59
2003-11,14.15
2003-12,13.71
2004-01,14.21
2004-02,15.62
2004-03,15.77
2004-04,15.03
2004-05,14.57
2004-06,14.35
2004-07,15.18
2004-08,14.91
2004-09,15.47
2004-10,16.09
2004-11,17.28
2004-12,18.02
2005-01,18.21
2005-02,18.60
2005-03,17.51
2005-04,16.48
2005-05,17.39
2005-06,15.60
2005-07,17.52
2005-08,18.24
2005-09,18.83
2005-10,17.77
2005-11,19.42
2005-12,19.35
2006-01,20.09
2006-02,20.03
2006-03,19.71
2006-04,19.83
2006-05,19.03
2006-06,19.28
2006-07,20.30
2006-08,20.60
2006-09,22.44
2006-10,24.05
2006-11,24.67
2006-12,26.05
2007-01,26.07
2007-02,25.68
2007-03,26.48
2007-04,28.38
2007-05,29.71
2007-06,29.83
2007-07,28.14
2007-08,28.95
2007-09,32.01
2007-10,35.12
2007-11,35.27
2007-12,35.53
2008-01,32.32
2008-02,32.86
2008-03,33.87
2008-04,36.18
2008-05,36.03
2008-06,34.37
2008-07,36.55
2008-08,38.13
2008-09,37.94
2008-10,35.63
2008-11,36.45
2008-12,38.59
2009-01,36.00
2009-02,32.72
2009-03,34.17
2009-04,33.37
2009-05,36.94
2009-06,36.30
2009-07,34.76
2009-08,35.82
2009-09,36.35
2009-10,37.33
2009-11,40.63
2009-12,40.11
2010-01,40.11
2010-02,41.37
2010-03,43.23
2010-04,45.74
2010-05,43.69
2010-06,43.04
2010-07,45.56
2010-08,48.09
2010-09,49.05
2010-10,51.19
2010-11,51.94
2010-12,50.92
2011-01,48.87
2011-02,50.62
2011-03,50.89
2011-04,52.37
2011-05,54.94
2011-06,56.81
2011-07,58.27
2011-08,61.33
2011-09,59.57
2011-10,62.99
2011-11,65.28
2011-12,68.57
2012-01,67.70
2012-02,68.33
2012-03,67.52
2012-04,67.07
2012-05,61.97
2012-06,61.41
2012-07,61.98
2012-08,62.56
2012-09,64.14
2012-10,60.68
2012-11,61.40
2012-12,62.22
2013-01,67.22
2013-02,68.19
2013-03,70.89
2013-04,72.63
2013-05,69.21
2013-06,70.95
2013-07,70.29
2013-08,68.17
2013-09,69.51
2013-10,69.73
2013-11,70.93
2013-12,70.68
2014-01,68.60
2014-02,69.90
2014-03,72.02
2014-04,74.48
2014-05,75.12
2014-06,74.61
2014-07,70.03
2014-08,70.01
2014-09,70.82
2014-10,70.01
2014-11,72.95
2014-12,70.61
2015-01,69.66
2015-02,75.18
2015-03,74.07
2015-04,73.39
2015-05,73.55
2015-06,72.89
2015-07,76.57
2015-08,73.50
2015-09,76.21
2015-10,86.82
2015-11,88.99
2015-12,92.10
2016-01,96.49
2016-02,92.05
2016-03,98.72
2016-04,99.35
2016-05,95.87
2016-06,95.22
2016-07,93.09
2016-08,92.22
2016-09,91.98
2016-10,89.76
2016-11,95.84
2016-12,97.81
2017-01,98.49
2017-02,103.33
2017-03,104.92
2017-04,113.27
2017-05,122.14
2017-06,124.76
2017-07,126.37
2017-08,131.08
2017-09,128.38
2017-10,136.77
2017-11,141.75
2017-12,141.87
2018-01,141.07
2018-02,130.84
2018-03,129.72
2018-04,138.89
2018-05,132.73
2018-06,130.80
2018-07,131.51
2018-08,136.27
2018-09,140.52
2018-10,148.59
2018-11,159.32
2018-12,150.07
2019-01,151.10
2019-02,156.36
2019-03,161.52
2019-04,168.04
2019-05,169.62
2019-06,177.66
2019-07,180.27
2019-08,187.46
2019-09,184.66
2019-10,169.17
2019-11,168.33
2019-12,171.04
2020-01,185.20
2020-02,169.12
2020-03,144.01
2020-04,163.36
2020-05,163.36
2020-06,161.74
2020-07,170.34
2020-08,188.30
2020-09,193.57
2020-10,187.85
2020-11,192.90
2020-12,190.36
2021-01,184.38
2021-02,184.00
2021-03,200.07
2021-04,210.73
2021-05,209.92
2021-06,207.32
2021-07,217.84
2021-08,214.30
2021-09,217.59
2021-10,221.60
2021-11,221.96
2021-12,243.26
2022-01,235.44
2022-02,223.35
2022-03,225.64
2022-04,227.36
2022-05,230.14
2022-06,226.53
2022-07,241.66
2022-08,232.75
2022-09,212.88
2022-10,251.55
2022-11,253.09
2022-12,244.50
2023-01,248.09
2023-02,246.26
2023-03,260.91
2023-04,275.98
2023-05,266.05
2023-06,279.94
2023-07,275.05
2023-08,265.16
