date,price
2012-05,29.37
2012-06,30.86
2012-07,21.54
2012-08,17.92
2012-09,21.49
2012-10,20.95
2012-11,27.78
2012-12,26.41
2013-01,30.74
2013-02,27.04
2013-03,25.38
2013-04,27.55
2013-05,24.16
2013-06,24.69
2013-07,36.51
2013-08,40.97
2013-09,49.84
2013-10,49.82
2013-11,46.64
2013-12,54.22
2014-01,62.08
2014-02,67.93
2014-03,59.77
2014-04,59.31
2014-05,62.81
2014-06,66.77
2014-07,72.08
2014-08,74.24
2014-09,78.42
2014-10,74.41
2014-11,77.09
2014-12,77.41
2015-01,75.32
2015-02,78.36
2015-03,81.58
2015-04,78.16
2015-05,78.57
2015-06,85.10
2015-07,93.28
2015-08,88.73
2015-09,89.20
2015-10,101.18
2015-11,103.43
2015-12,103.85
2016-01,111.34
2016-02,106.09
2016-03,113.21
2016-04,116.66
2016-05,117.88
2016-06,113.39
2016-07,122.97
2016-08,125.14
2016-09,127.27
2016-10,129.97
2016-11,117.50
2016-12,114.15
2017-01,129.31
2017-02,134.48
2017-03,140.94
2017-04,149.08
2017-05,150.28
2017-06,149.80
2017-07,167.93
2017-08,170.63
2017-09,169.54
2017-10,178.66
2017-11,175.80
2017-12,175.09
2018-01,185.43
2018-02,176.93
2018-03,158.55
2018-04,170.66
2018-05,190.29
2018-06,192.81
2018-07,171.24
2018-08,174.36
2018-09,163.18
2018-10,150.61
2018-11,139.52
2018-12,130.07
2019-01,165.39
2019-02,160.19
2019-03,165.39
2019-04,191.89
2019-05,176.09
2019-06,191.50
2019-07,192.72
2019-08,184.22
2019-09,176.69
2019-10,190.16
2019-11,200.07
2019-12,203.65
2020-01,200.34
2020-02,190.97
2020-03,165.50
2020-04,203.12
2020-05,223.34
2020-06,225.30
2020-07,251.69
2020-08,290.92
2020-09,259.86
2020-10,261.06
2020-11,274.81
2020-12,271.03
2021-01,256.32
2021-02,255.61
2021-03,292.24
2021-04,322.55
2021-05,326.17
2021-06,345.00
2021-07,353.53
2021-08,376.43
2021-09,336.75
2021-10,321.05
2021-11,321.93
2021-12,333.73
2022-01,310.82
2022-02,209.39
2022-03,220.63
2022-04,198.91
2022-05,192.13
2022-06,159.99
2022-07,157.86
2022-08,161.66
2022-09,134.62
2022-10,92.43
2022-11,117.18
2022-12,119.40
2023-01,147.81
2023-02,173.58
2023-03,210.29
2023-04,238.45
2023-05,262.66
2023-06,284.75
2023-07,316.12
2023-08,293.59
2023-09,297.87
2023-10,298.92
2023-11,324.60
2023-12,351.20
2024-01,387.10
2024-02,486.83
2024-03,482.31
2024-04,427.27
2024-05,463.69
2024-06,501.32
2024-07,472.10
2024-08,518.31
2024-09,569.69
2024-10,564.86
2024-11,571.56
2024-12,583.17
2025-01,686.43
2025-02,665.53
2025-03,574.57
2025-04,547.29
2025-05,645.48
2025-06,736.36
2025-07,771.63
2025-08,736.97
2025-09,733.15
2025-10,647.27
2025-11,646.87
2025-12,659.53
2026-01,715.89
2026-02,647.63
2026-03,572.13
2026-04,611.91
2026-05,632.51
