date,price
2000-01,29.76
2000-02,27.18
2000-03,32.31
2000-04,21.21
2000-05,19.02
2000-06,24.33
2000-07,21.23
2000-08,21.23
2000-09,18.34
2000-10,20.94
2000-11,17.45
2000-12,13.19
2001-01,18.57
2001-02,17.94
2001-03,16.63
2001-04,20.60
2001-05,21.04
2001-06,22.20
2001-07,20.13
2001-08,17.35
2001-09,15.56
2001-10,17.68
2001-11,19.52
2001-12,20.14
2002-01,19.37
2002-02,17.74
2002-03,18.34
2002-04,15.89
2002-05,15.48
2002-06,16.63
2002-07,14.59
2002-08,14.92
2002-09,13.30
2002-10,16.26
2002-11,17.54
2002-12,15.72
2003-01,14.43
2003-02,14.46
2003-03,14.77
2003-04,15.60
2003-05,15.01
2003-06,15.64
2003-07,16.11
2003-08,16.18
2003-09,16.96
2003-10,16.04
2003-11,15.77
2003-12,16.79
2004-01,16.96
2004-02,16.28
2004-03,15.30
2004-04,16.03
2004-05,16.09
2004-06,17.52
2004-07,17.48
2004-08,16.80
2004-09,17.01
2004-10,17.21
2004-11,18.39
2004-12,18.33
2005-01,18.02
2005-02,17.31
2005-03,16.63
2005-04,17.40
2005-05,17.80
2005-06,17.14
2005-07,17.67
2005-08,18.95
2005-09,17.81
2005-10,17.79
2005-11,19.22
2005-12,18.15
2006-01,19.54
2006-02,18.72
2006-03,18.95
2006-04,16.82
2006-05,15.84
2006-06,16.29
2006-07,16.82
2006-08,18.04
2006-09,19.20
2006-10,20.15
2006-11,20.68
2006-12,21.03
2007-01,21.73
2007-02,19.91
2007-03,19.70
2007-04,21.16
2007-05,21.76
2007-06,20.89
2007-07,20.55
2007-08,20.44
2007-09,20.96
2007-10,26.19
2007-11,23.98
2007-12,25.41
2008-01,23.27
2008-02,19.49
2008-03,20.34
2008-04,20.44
2008-05,20.37
2008-06,19.79
2008-07,18.50
2008-08,19.71
2008-09,19.27
2008-10,16.12
2008-11,14.70
2008-12,14.13
2009-01,12.43
2009-02,11.82
2009-03,13.45
2009-04,14.83
2009-05,15.39
2009-06,17.51
2009-07,17.32
2009-08,18.26
2009-09,19.05
2009-10,20.54
2009-11,21.88
2009-12,22.68
2010-01,20.97
2010-02,21.43
2010-03,21.89
2010-04,22.83
2010-05,19.37
2010-06,17.28
2010-07,19.38
2010-08,17.72
2010-09,18.49
2010-10,20.13
2010-11,19.19
2010-12,21.20
2011-01,21.06
2011-02,20.31
2011-03,19.40
2011-04,19.80
2011-05,19.23
2011-06,19.99
2011-07,21.07
2011-08,20.58
2011-09,19.26
2011-10,20.61
2011-11,19.94
2011-12,20.24
2012-01,23.02
2012-02,24.91
2012-03,25.32
2012-04,25.13
2012-05,23.06
2012-06,24.17
2012-07,23.28
2012-08,24.51
2012-09,23.67
2012-10,22.70
2012-11,21.34
2012-12,21.41
2013-01,22.01
2013-02,22.47
2013-03,23.13
2013-04,26.76
2013-05,28.41
2013-06,28.12
2013-07,25.92
2013-08,27.38
2013-09,27.28
2013-10,29.03
2013-11,31.50
2013-12,30.90
2014-01,31.26
2014-02,31.88
2014-03,34.11
2014-04,33.62
2014-05,34.31
2014-06,34.95
2014-07,36.17
2014-08,38.31
2014-09,39.10
2014-10,39.59
2014-11,40.57
2014-12,39.42
2015-01,34.28
2015-02,37.48
2015-03,34.75
2015-04,41.57
2015-05,40.31
2015-06,37.98
2015-07,40.17
2015-08,37.68
2015-09,38.32
2015-10,45.58
2015-11,47.38
2015-12,48.36
2016-01,48.02
2016-02,44.67
2016-03,48.49
2016-04,43.79
2016-05,46.86
2016-06,45.24
2016-07,50.11
2016-08,51.12
2016-09,51.24
2016-10,53.31
2016-11,53.97
2016-12,55.66
2017-01,57.90
2017-02,57.65
2017-03,59.35
2017-04,61.69
2017-05,63.29
2017-06,62.47
2017-07,65.88
2017-08,68.12
2017-09,67.87
2017-10,75.78
2017-11,77.07
2017-12,78.32
2018-01,87.00
2018-02,86.26
2018-03,83.96
2018-04,86.03
2018-05,91.32
2018-06,91.11
2018-07,98.01
2018-08,104.19
2018-09,106.08
2018-10,99.07
2018-11,103.29
2018-12,94.61
2019-01,97.28
2019-02,104.80
2019-03,110.33
2019-04,122.17
2019-05,116.13
2019-06,125.78
2019-07,127.95
2019-08,129.87
2019-09,130.98
2019-10,135.06
2019-11,143.10
2019-12,149.07
2020-01,160.91
2020-02,153.56
2020-03,149.49
2020-04,169.86
2020-05,174.18
2020-06,193.43
2020-07,194.86
2020-08,214.88
2020-09,200.40
2020-10,192.91
2020-11,204.50
2020-12,212.47
2021-01,221.59
2021-02,222.50
2021-03,225.75
2021-04,241.46
2021-05,239.62
2021-06,259.98
2021-07,273.43
2021-08,290.27
2021-09,271.08
2021-10,318.86
2021-11,318.46
2021-12,323.97
2022-01,299.56
2022-02,288.42
2022-03,297.61
2022-04,267.89
2022-05,263.04
2022-06,248.49
2022-07,271.63
2022-08,253.52
2022-09,225.82
2022-10,225.07
2022-11,248.08
2022-12,233.18
2023-01,240.95
2023-02,243.12
2023-03,281.02
2023-04,299.50
2023-05,320.80
2023-06,332.67
2023-07,328.16
2023-08,320.86
2023-09,309.10
2023-10,330.99
2023-11,371.69
2023-12,368.87
2024-01,390.00
2024-02,406.51
2024-03,413.46
2024-04,382.62
2024-05,408.71
2024-06,440.03
2024-07,411.88
2024-08,411.43
2024-09,424.41
2024-10,400.78
2024-11,418.50
2024-12,416.56
2025-01,410.19
2025-02,393.12
2025-03,371.73
2025-04,391.41
2025-05,456.71
2025-06,493.47
2025-07,529.27
2025-08,503.50
2025-09,514.69
2025-10,514.55
2025-11,489.83
2025-12,481.48
2026-01,428.38
2026-02,391.89
2026-03,369.37
2026-04,406.90
2026-05,450.24
