date,price
2000-01,138.88
2000-02,139.06
2000-03,87.06
2000-04,25.88
2000-05,19.06
2000-06,30.00
2000-07,22.19
2000-08,27.88
2000-09,27.31
2000-10,23.94
2000-11,9.25
2000-12,9.50
2001-01,16.81
2001-02,8.97
2001-03,2.88
2001-04,4.54
2001-05,3.77
2001-06,2.80
2001-07,3.24
2001-08,2.47
2001-09,1.13
2001-10,2.75
2001-11,3.44
2001-12,3.85
2002-01,4.09
2002-02,2.69
2002-03,3.05
2002-04,1.73
2002-05,1.23
2002-06,0.50
2002-07,0.68
2002-08,1.13
2002-09,0.81
2002-10,1.23
2002-11,1.82
2002-12,1.51
2003-01,2.08
2003-02,1.93
2003-03,2.41
2003-04,2.76
2003-05,3.41
2003-06,3.66
2003-07,4.36
2003-08,4.03
2003-09,4.60
2003-10,5.50
2003-11,5.40
2003-12,5.25
2004-01,6.24
2004-02,6.24
2004-03,5.33
2004-04,4.80
2004-05,4.80
2004-06,4.27
2004-07,4.02
2004-08,3.46
2004-09,4.11
2004-10,6.00
2004-11,6.45
2004-12,6.03
2005-01,7.27
2005-02,7.10
2005-03,5.43
2005-04,4.35
2005-05,5.57
2005-06,5.30
2005-07,7.72
2005-08,7.70
2005-09,7.03
2005-10,7.09
2005-11,7.39
2005-12,8.27
2006-01,9.61
2006-02,9.17
2006-03,10.53
2006-04,9.37
2006-05,9.44
2006-06,9.75
2006-07,8.24
2006-08,9.12
2006-09,10.18
2006-10,11.94
2006-11,11.85
2006-12,11.40
2007-01,12.14
2007-02,12.61
2007-03,12.64
2007-04,11.38
2007-05,10.38
2007-06,9.45
2007-07,7.31
2007-08,6.92
2007-09,7.93
2007-10,9.83
2007-11,10.09
2007-12,9.51
2008-01,7.29
2008-02,6.65
2008-03,7.40
2008-04,8.87
2008-05,7.96
2008-06,6.47
2008-07,6.04
2008-08,6.42
2008-09,5.95
2008-10,3.94
2008-11,3.57
2008-12,3.71
2009-01,3.87
2009-02,3.65
2009-03,3.42
2009-04,3.89
2009-05,4.68
2009-06,5.02
2009-07,6.09
2009-08,6.18
2009-09,7.15
2009-10,8.73
2009-11,8.76
2009-12,9.40
2010-01,9.37
2010-02,8.86
2010-03,8.51
2010-04,7.66
2010-05,7.71
2010-06,7.51
2010-07,8.30
2010-08,7.79
2010-09,8.66
2010-10,9.06
2010-11,8.65
2010-12,8.55
2011-01,10.64
2011-02,11.89
2011-03,13.45
2011-04,14.13
2011-05,14.62
2011-06,16.27
2011-07,15.94
2011-08,12.29
2011-09,11.41
2011-10,13.18
2011-11,12.31
2011-12,10.83
2012-01,11.51
2012-02,13.56
2012-03,14.00
2012-04,13.98
2012-05,12.20
2012-06,12.99
2012-07,11.65
2012-08,12.55
2012-09,13.41
2012-10,9.45
2012-11,8.85
2012-12,9.34
2013-01,10.03
2013-02,10.19
2013-03,10.11
2013-04,9.02
2013-05,9.15
2013-06,8.70
2013-07,9.50
2013-08,9.18
2013-09,10.38
2013-10,12.20
2013-11,12.93
2013-12,12.42
2014-01,12.57
2014-02,12.91
2014-03,11.54
2014-04,12.14
2014-05,14.11
2014-06,14.06
2014-07,14.31
2014-08,13.89
2014-09,13.08
2014-10,16.09
2014-11,17.17
2014-12,16.24
2015-01,16.16
2015-02,17.83
2015-03,16.92
2015-04,18.21
2015-05,17.60
2015-06,17.01
2015-07,20.39
2015-08,19.87
2015-09,19.65
2015-10,17.21
2015-11,17.34
2015-12,17.93
2016-01,17.25
2016-02,16.09
2016-03,17.97
2016-04,17.93
2016-05,18.65
2016-06,17.50
2016-07,17.49
2016-08,16.68
2016-09,16.74
2016-10,19.48
2016-11,19.40
2016-12,19.74
2017-01,20.13
2017-02,19.19
2017-03,18.78
2017-04,19.02
2017-05,18.24
2017-06,19.17
2017-07,13.45
2017-08,12.90
2017-09,12.77
2017-10,13.23
2017-11,13.68
2017-12,13.13
2018-01,13.77
2018-02,12.80
2018-03,12.90
2018-04,12.75
2018-05,12.96
2018-06,12.77
2018-07,13.02
2018-08,14.90
2018-09,14.06
2018-10,12.60
2018-11,12.96
2018-12,12.77
2019-01,12.69
2019-02,14.15
2019-03,14.43
2019-04,14.97
2019-05,13.29
2019-06,14.33
2019-07,13.67
2019-08,14.33
2019-09,14.84
2019-10,15.32
2019-11,15.03
2019-12,14.26
2020-01,15.20
2020-02,13.52
2020-03,11.81
2020-04,12.63
2020-05,12.45
2020-06,11.83
2020-07,12.39
2020-08,14.44
2020-09,15.06
2020-10,16.71
2020-11,34.28
2020-12,38.85
2021-01,61.73
2021-02,75.04
2021-03,67.88
2021-04,65.72
2021-05,47.00
2021-06,66.45
2021-07,62.60
2021-08,69.43
2021-09,57.84
2021-10,71.51
2021-11,72.14
2021-12,54.45
2022-01,36.80
2022-02,44.30
2022-03,48.63
2022-04,35.42
2022-05,26.47
2022-06,16.43
2022-07,28.61
2022-08,23.16
2022-09,21.23
2022-10,26.75
