date,price
2015-01,380.0
2015-02,383.3
2015-03,386.7
2015-04,390.0
2015-05,393.3
2015-06,396.7
2015-07,400.0
2015-08,403.3
2015-09,406.7
2015-10,410.0
2015-11,413.3
2015-12,416.7
2016-01,420.0
2016-02,424.2
2016-03,428.3
2016-04,432.5
2016-05,436.7
2016-06,440.8
2016-07,445.0
2016-08,449.2
2016-09,453.3
2016-10,457.5
2016-11,461.7
2016-12,465.8
2017-01,470.0
2017-02,476.7
2017-03,483.3
2017-04,490.0
2017-05,496.7
2017-06,503.3
2017-07,510.0
2017-08,516.7
2017-09,523.3
2017-10,530.0
2017-11,536.7
2017-12,543.3
2018-01,550.0
2018-02,554.2
2018-03,558.3
2018-04,562.5
2018-05,566.7
2018-06,570.8
2018-07,575.0
2018-08,579.2
2018-09,583.3
2018-10,587.5
2018-11,591.7
2018-12,595.8
2019-01,600.0
2019-02,604.2
2019-03,608.3
2019-04,612.5
2019-05,616.7
2019-06,620.8
2019-07,625.0
2019-08,629.2
2019-09,633.3
2019-10,637.5
2019-11,641.7
2019-12,645.8
2020-01,650.0
2020-02,654.2
2020-03,658.3
2020-04,662.5
2020-05,666.7
2020-06,670.8
2020-07,675.0
2020-08,679.2
2020-09,683.3
2020-10,687.5
2020-11,691.7
2020-12,695.8
2021-01,700.0
2021-02,704.2
2021-03,708.3
2021-04,712.5
2021-05,716.7
2021-06,720.8
2021-07,725.0
2021-08,729.2
2021-09,733.3
2021-10,737.5
2021-11,741.7
2021-12,745.8
2022-01,750.0
2022-02,750.8
2022-03,751.7
2022-04,752.5
2022-05,753.3
2022-06,754.2
2022-07,755.0
2022-08,755.8
2022-09,756.7
2022-10,757.5
2022-11,758.3
2022-12,759.2
2023-01,760.0
2023-02,760.8
2023-03,761.7
2023-04,762.5
2023-05,763.3
2023-06,764.2
2023-07,765.0
2023-08,765.8
2023-09,766.7
2023-10,767.5
2023-11,768.3
2023-12,769.2
2024-01,770.0
2024-02,770.0
2024-03,770.0
2024-04,770.0
2024-05,770.0
2024-06,770.0
2024-07,770.0
2024-08,770.0
2024-09,770.0
2024-10,770.0
2024-11,770.0
2024-12,770.0
2025-01,770.0
2025-02,770.0
2025-03,770.0
2025-04,770.0
2025-05,770.0
2025-06,770.0
2025-07,770.0
2025-08,770.0
2025-09,770.0
2025-10,770.0
2025-11,770.0
2025-12,770.0
2026-01,770.0
2026-02,770.0
2026-03,770.0
2026-04,770.0
2026-05,770.0
2026-06,770.0
