date,price
2015-01,530.0
2015-02,535.8
2015-03,541.7
2015-04,547.5
2015-05,553.3
2015-06,559.2
2015-07,565.0
2015-08,570.8
2015-09,576.7
2015-10,582.5
2015-11,588.3
2015-12,594.2
2016-01,600.0
2016-02,608.3
2016-03,616.7
2016-04,625.0
2016-05,633.3
2016-06,641.7
2016-07,650.0
2016-08,658.3
2016-09,666.7
2016-10,675.0
2016-11,683.3
2016-12,691.7
2017-01,700.0
2017-02,725.0
2017-03,750.0
2017-04,775.0
2017-05,800.0
2017-06,825.0
2017-07,850.0
2017-08,875.0
2017-09,900.0
2017-10,925.0
2017-11,950.0
2017-12,975.0
2018-01,1000.0
2018-02,995.8
2018-03,991.7
2018-04,987.5
2018-05,983.3
2018-06,979.2
2018-07,975.0
2018-08,970.8
2018-09,966.7
2018-10,962.5
2018-11,958.3
2018-12,954.2
2019-01,950.0
2019-02,945.8
2019-03,941.7
2019-04,937.5
2019-05,933.3
2019-06,929.2
2019-07,925.0
2019-08,920.8
2019-09,916.7
2019-10,912.5
2019-11,908.3
2019-12,904.2
2020-01,900.0
2020-02,895.8
2020-03,891.7
2020-04,887.5
2020-05,883.3
2020-06,879.2
2020-07,875.0
2020-08,870.8
2020-09,866.7
2020-10,862.5
2020-11,858.3
2020-12,854.2
2021-01,850.0
2021-02,858.3
2021-03,866.7
2021-04,875.0
2021-05,883.3
2021-06,891.7
2021-07,900.0
2021-08,908.3
2021-09,916.7
2021-10,925.0
2021-11,933.3
2021-12,941.7
2022-01,950.0
2022-02,950.0
2022-03,950.0
2022-04,950.0
2022-05,950.0
2022-06,950.0
2022-07,950.0
2022-08,950.0
2022-09,950.0
2022-10,950.0
2022-11,950.0
2022-12,950.0
2023-01,950.0
2023-02,950.0
2023-03,950.0
2023-04,950.0
2023-05,950.0
2023-06,950.0
2023-07,950.0
2023-08,950.0
2023-09,950.0
2023-10,950.0
2023-11,950.0
2023-12,950.0
2024-01,950.0
2024-02,950.0
2024-03,950.0
2024-04,950.0
2024-05,950.0
2024-06,950.0
2024-07,950.0
2024-08,950.0
2024-09,950.0
2024-10,950.0
2024-11,950.0
2024-12,950.0
2025-01,950.0
2025-02,950.0
2025-03,950.0
2025-04,950.0
2025-05,950.0
2025-06,950.0
2025-07,950.0
2025-08,950.0
2025-09,950.0
2025-10,950.0
2025-11,950.0
2025-12,950.0
2026-01,950.0
2026-02,950.0
2026-03,950.0
2026-04,950.0
2026-05,950.0
2026-06,950.0
