date,price
2015-01,500.0
2015-02,507.5
2015-03,515.0
2015-04,522.5
2015-05,530.0
2015-06,537.5
2015-07,545.0
2015-08,552.5
2015-09,560.0
2015-10,567.5
2015-11,575.0
2015-12,582.5
2016-01,590.0
2016-02,599.2
2016-03,608.3
2016-04,617.5
2016-05,626.7
2016-06,635.8
2016-07,645.0
2016-08,654.2
2016-09,663.3
2016-10,672.5
2016-11,681.7
2016-12,690.8
2017-01,700.0
2017-02,716.7
2017-03,733.3
2017-04,750.0
2017-05,766.7
2017-06,783.3
2017-07,800.0
2017-08,816.7
2017-09,833.3
2017-10,850.0
2017-11,866.7
2017-12,883.3
2018-01,900.0
2018-02,912.5
2018-03,925.0
2018-04,937.5
2018-05,950.0
2018-06,962.5
2018-07,975.0
2018-08,987.5
2018-09,1000.0
2018-10,1012.5
2018-11,1025.0
2018-12,1037.5
2019-01,1050.0
2019-02,1062.5
2019-03,1075.0
2019-04,1087.5
2019-05,1100.0
2019-06,1112.5
2019-07,1125.0
2019-08,1137.5
2019-09,1150.0
2019-10,1162.5
2019-11,1175.0
2019-12,1187.5
2020-01,1200.0
2020-02,1208.3
2020-03,1216.7
2020-04,1225.0
2020-05,1233.3
2020-06,1241.7
2020-07,1250.0
2020-08,1258.3
2020-09,1266.7
2020-10,1275.0
2020-11,1283.3
2020-12,1291.7
2021-01,1300.0
2021-02,1304.2
2021-03,1308.3
2021-04,1312.5
2021-05,1316.7
2021-06,1320.8
2021-07,1325.0
2021-08,1329.2
2021-09,1333.3
2021-10,1337.5
2021-11,1341.7
2021-12,1345.8
2022-01,1350.0
2022-02,1354.2
2022-03,1358.3
2022-04,1362.5
2022-05,1366.7
2022-06,1370.8
2022-07,1375.0
2022-08,1379.2
2022-09,1383.3
2022-10,1387.5
2022-11,1391.7
2022-12,1395.8
2023-01,1400.0
2023-02,1404.2
2023-03,1408.3
2023-04,1412.5
2023-05,1416.7
2023-06,1420.8
2023-07,1425.0
2023-08,1429.2
2023-09,1433.3
2023-10,1437.5
2023-11,1441.7
2023-12,1445.8
2024-01,1450.0
2024-02,1450.0
2024-03,1450.0
2024-04,1450.0
2024-05,1450.0
2024-06,1450.0
2024-07,1450.0
2024-08,1450.0
2024-09,1450.0
2024-10,1450.0
2024-11,1450.0
2024-12,1450.0
2025-01,1450.0
2025-02,1450.0
2025-03,1450.0
2025-04,1450.0
2025-05,1450.0
2025-06,1450.0
2025-07,1450.0
2025-08,1450.0
2025-09,1450.0
2025-10,1450.0
2025-11,1450.0
2025-12,1450.0
2026-01,1450.0
2026-02,1450.0
2026-03,1450.0
2026-04,1450.0
2026-05,1450.0
2026-06,1450.0
