date,price
2015-01,450.0
2015-02,458.3
2015-03,466.7
2015-04,475.0
2015-05,483.3
2015-06,491.7
2015-07,500.0
2015-08,508.3
2015-09,516.7
2015-10,525.0
2015-11,533.3
2015-12,541.7
2016-01,550.0
2016-02,558.3
2016-03,566.7
2016-04,575.0
2016-05,583.3
2016-06,591.7
2016-07,600.0
2016-08,608.3
2016-09,616.7
2016-10,625.0
2016-11,633.3
2016-12,641.7
2017-01,650.0
2017-02,662.5
2017-03,675.0
2017-04,687.5
2017-05,700.0
2017-06,712.5
2017-07,725.0
2017-08,737.5
2017-09,750.0
2017-10,762.5
2017-11,775.0
2017-12,787.5
2018-01,800.0
2018-02,804.2
2018-03,808.3
2018-04,812.5
2018-05,816.7
2018-06,820.8
2018-07,825.0
2018-08,829.2
2018-09,833.3
2018-10,837.5
2018-11,841.7
2018-12,845.8
2019-01,850.0
2019-02,850.0
2019-03,850.0
2019-04,850.0
2019-05,850.0
2019-06,850.0
2019-07,850.0
2019-08,850.0
2019-09,850.0
2019-10,850.0
2019-11,850.0
2019-12,850.0
2020-01,850.0
2020-02,851.7
2020-03,853.3
2020-04,855.0
2020-05,856.7
2020-06,858.3
2020-07,860.0
2020-08,861.7
2020-09,863.3
2020-10,865.0
2020-11,866.7
2020-12,868.3
2021-01,870.0
2021-02,872.5
2021-03,875.0
2021-04,877.5
2021-05,880.0
2021-06,882.5
2021-07,885.0
2021-08,887.5
2021-09,890.0
2021-10,892.5
2021-11,895.0
2021-12,897.5
2022-01,900.0
2022-02,904.2
2022-03,908.3
2022-04,912.5
2022-05,916.7
2022-06,920.8
2022-07,925.0
2022-08,929.2
2022-09,933.3
2022-10,937.5
2022-11,941.7
2022-12,945.8
2023-01,950.0
2023-02,958.3
2023-03,966.7
2023-04,975.0
2023-05,983.3
2023-06,991.7
2023-07,1000.0
2023-08,1008.3
2023-09,1016.7
2023-10,1025.0
2023-11,1033.3
2023-12,1041.7
2024-01,1050.0
2024-02,1054.2
2024-03,1058.3
2024-04,1062.5
2024-05,1066.7
2024-06,1070.8
2024-07,1075.0
2024-08,1079.2
2024-09,1083.3
2024-10,1087.5
2024-11,1091.7
2024-12,1095.8
2025-01,1100.0
2025-02,1100.0
2025-03,1100.0
2025-04,1100.0
2025-05,1100.0
2025-06,1100.0
2025-07,1100.0
2025-08,1100.0
2025-09,1100.0
2025-10,1100.0
2025-11,1100.0
2025-12,1100.0
2026-01,1100.0
2026-02,1100.0
2026-03,1100.0
2026-04,1100.0
2026-05,1100.0
2026-06,1100.0
