date,price
2015-01,500.0
2015-02,508.3
2015-03,516.7
2015-04,525.0
2015-05,533.3
2015-06,541.7
2015-07,550.0
2015-08,558.3
2015-09,566.7
2015-10,575.0
2015-11,583.3
2015-12,591.7
2016-01,600.0
2016-02,608.3
2016-03,616.7
2016-04,625.0
2016-05,633.3
2016-06,641.7
2016-07,650.0
2016-08,658.3
2016-09,666.7
2016-10,675.0
2016-11,683.3
2016-12,691.7
2017-01,700.0
2017-02,712.5
2017-03,725.0
2017-04,737.5
2017-05,750.0
2017-06,762.5
2017-07,775.0
2017-08,787.5
2017-09,800.0
2017-10,812.5
2017-11,825.0
2017-12,837.5
2018-01,850.0
2018-02,850.0
2018-03,850.0
2018-04,850.0
2018-05,850.0
2018-06,850.0
2018-07,850.0
2018-08,850.0
2018-09,850.0
2018-10,850.0
2018-11,850.0
2018-12,850.0
2019-01,850.0
2019-02,850.0
2019-03,850.0
2019-04,850.0
2019-05,850.0
2019-06,850.0
2019-07,850.0
2019-08,850.0
2019-09,850.0
2019-10,850.0
2019-11,850.0
2019-12,850.0
2020-01,850.0
2020-02,852.5
2020-03,855.0
2020-04,857.5
2020-05,860.0
2020-06,862.5
2020-07,865.0
2020-08,867.5
2020-09,870.0
2020-10,872.5
2020-11,875.0
2020-12,877.5
2021-01,880.0
2021-02,879.2
2021-03,878.3
2021-04,877.5
2021-05,876.7
2021-06,875.8
2021-07,875.0
2021-08,874.2
2021-09,873.3
2021-10,872.5
2021-11,871.7
2021-12,870.8
2022-01,870.0
2022-02,874.2
2022-03,878.3
2022-04,882.5
2022-05,886.7
2022-06,890.8
2022-07,895.0
2022-08,899.2
2022-09,903.3
2022-10,907.5
2022-11,911.7
2022-12,915.8
2023-01,920.0
2023-02,922.5
2023-03,925.0
2023-04,927.5
2023-05,930.0
2023-06,932.5
2023-07,935.0
2023-08,937.5
2023-09,940.0
2023-10,942.5
2023-11,945.0
2023-12,947.5
2024-01,950.0
2024-02,950.0
2024-03,950.0
2024-04,950.0
2024-05,950.0
2024-06,950.0
2024-07,950.0
2024-08,950.0
2024-09,950.0
2024-10,950.0
2024-11,950.0
2024-12,950.0
2025-01,950.0
2025-02,950.0
2025-03,950.0
2025-04,950.0
2025-05,950.0
2025-06,950.0
2025-07,950.0
2025-08,950.0
2025-09,950.0
2025-10,950.0
2025-11,950.0
2025-12,950.0
2026-01,950.0
2026-02,950.0
2026-03,950.0
2026-04,950.0
2026-05,950.0
2026-06,950.0
