date,price
2015-01,290.0
2015-02,295.8
2015-03,301.7
2015-04,307.5
2015-05,313.3
2015-06,319.2
2015-07,325.0
2015-08,330.8
2015-09,336.7
2015-10,342.5
2015-11,348.3
2015-12,354.2
2016-01,360.0
2016-02,364.2
2016-03,368.3
2016-04,372.5
2016-05,376.7
2016-06,380.8
2016-07,385.0
2016-08,389.2
2016-09,393.3
2016-10,397.5
2016-11,401.7
2016-12,405.8
2017-01,410.0
2017-02,415.8
2017-03,421.7
2017-04,427.5
2017-05,433.3
2017-06,439.2
2017-07,445.0
2017-08,450.8
2017-09,456.7
2017-10,462.5
2017-11,468.3
2017-12,474.2
2018-01,480.0
2018-02,484.2
2018-03,488.3
2018-04,492.5
2018-05,496.7
2018-06,500.8
2018-07,505.0
2018-08,509.2
2018-09,513.3
2018-10,517.5
2018-11,521.7
2018-12,525.8
2019-01,530.0
2019-02,534.2
2019-03,538.3
2019-04,542.5
2019-05,546.7
2019-06,550.8
2019-07,555.0
2019-08,559.2
2019-09,563.3
2019-10,567.5
2019-11,571.7
2019-12,575.8
2020-01,580.0
2020-02,580.0
2020-03,580.0
2020-04,580.0
2020-05,580.0
2020-06,580.0
2020-07,580.0
2020-08,580.0
2020-09,580.0
2020-10,580.0
2020-11,580.0
2020-12,580.0
2021-01,580.0
2021-02,581.7
2021-03,583.3
2021-04,585.0
2021-05,586.7
2021-06,588.3
2021-07,590.0
2021-08,591.7
2021-09,593.3
2021-10,595.0
2021-11,596.7
2021-12,598.3
2022-01,600.0
2022-02,601.7
2022-03,603.3
2022-04,605.0
2022-05,606.7
2022-06,608.3
2022-07,610.0
2022-08,611.7
2022-09,613.3
2022-10,615.0
2022-11,616.7
2022-12,618.3
2023-01,620.0
2023-02,623.3
2023-03,626.7
2023-04,630.0
2023-05,633.3
2023-06,636.7
2023-07,640.0
2023-08,643.3
2023-09,646.7
2023-10,650.0
2023-11,653.3
2023-12,656.7
2024-01,660.0
2024-02,665.0
2024-03,670.0
2024-04,675.0
2024-05,680.0
2024-06,685.0
2024-07,690.0
2024-08,695.0
2024-09,700.0
2024-10,705.0
2024-11,710.0
2024-12,715.0
2025-01,720.0
2025-02,720.0
2025-03,720.0
2025-04,720.0
2025-05,720.0
2025-06,720.0
2025-07,720.0
2025-08,720.0
2025-09,720.0
2025-10,720.0
2025-11,720.0
2025-12,720.0
2026-01,720.0
2026-02,720.0
2026-03,720.0
2026-04,720.0
2026-05,720.0
2026-06,720.0
