date,price
2002-10,1825.34
2002-11,1720.03
2002-12,1735.63
2003-01,2004.75
2003-02,2180.26
2003-03,2496.19
2003-04,4251.32
2003-05,5070.38
2003-06,5752.93
2003-07,7492.46
2003-08,6864.51
2003-09,6006.45
2003-10,5908.94
2003-11,5327.80
2003-12,5390.20
2004-01,5362.90
2004-02,5717.83
2004-03,6575.89
2004-04,8159.41
2004-05,8611.84
2004-06,8970.67
2004-07,7558.76
2004-08,7683.57
2004-09,7511.96
2004-10,6778.71
2004-11,6864.51
2004-12,6513.49
2005-01,6731.90
2005-02,7020.52
2005-03,6911.31
2005-04,7254.54
2005-05,8424.63
2005-06,8346.62
2005-07,9906.74
2005-08,11045.62
2005-09,13846.03
2005-10,13534.01
2005-11,19033.42
2005-12,21061.57
2006-01,22122.45
2006-02,21623.21
2006-03,23401.74
2006-04,26131.95
2006-05,22372.07
2006-06,25741.92
2006-07,24852.65
2006-08,21248.78
2006-09,23237.93
2006-10,21880.63
2006-11,24688.84
2006-12,26701.39
2007-01,28947.96
2007-02,30188.25
2007-03,32294.41
2007-04,34400.56
2007-05,41421.09
2007-06,39431.94
2007-07,39759.56
2007-08,42357.15
2007-09,49564.89
2007-10,66928.98
2007-11,61125.36
2007-12,52911.33
2008-01,46803.48
2008-02,49962.73
2008-03,54081.43
2008-04,54526.07
2008-05,49869.11
2008-06,42708.17
2008-07,39314.93
2008-08,35102.62
2008-09,35102.62
2008-10,31568.95
2008-11,28667.13
2008-12,30422.27
2009-01,32645.43
2009-02,31124.32
2009-03,35336.63
2009-04,36389.71
2009-05,46569.46
2009-06,41304.07
2009-07,41772.11
2009-08,39782.97
2009-09,40602.03
2009-10,41538.09
2009-11,43293.22
2009-12,44931.34
2010-01,40485.01
2010-02,42357.15
2010-03,42123.13
2010-04,43410.24
2010-05,40719.03
2010-06,42942.19
2010-07,43059.21
2010-08,45984.42
2010-09,45867.42
2010-10,46686.47
2010-11,45867.42
2010-12,53121.95
2011-01,46803.48
2011-02,44346.30
2011-03,44814.34
2011-04,49728.70
2011-05,44931.34
2011-06,44229.30
2011-07,49143.66
2011-08,48675.62
2011-09,53121.95
2011-10,54526.07
2011-11,58036.32
2011-12,49523.40
2012-01,49758.10
2012-02,54804.32
2012-03,61024.09
2012-04,60085.26
2012-05,56916.70
2012-06,58677.00
2012-07,64544.70
2012-08,60906.73
2012-09,68182.68
2012-10,59263.78
2012-11,59146.42
2012-12,53452.27
2013-01,56748.88
2013-02,61929.28
2013-03,65225.90
2013-04,69699.87
2013-05,71819.12
2013-06,68404.77
2013-07,100907.28
2013-08,85776.82
2013-09,107004.91
2013-10,114689.29
2013-11,132939.66
2013-12,139230.31
2014-01,129807.24
2014-02,157114.84
2014-03,148845.66
2014-04,141922.61
2014-05,145768.73
2014-06,160576.36
2014-07,144037.97
2014-08,147691.81
2014-09,155191.78
2014-10,144999.52
2014-11,145384.14
2014-12,137068.27
2015-01,137838.33
2015-02,127250.16
2015-03,129175.27
2015-04,125132.53
2015-05,117239.55
2015-06,122052.33
2015-07,100683.56
2015-08,95389.48
2015-09,98758.44
2015-10,115506.95
2015-11,121474.81
2015-12,126890.37
2016-01,121105.10
2016-02,110305.91
2016-03,122840.68
2016-04,130554.38
2016-05,138846.62
2016-06,136918.19
2016-07,136918.19
2016-08,162951.94
2016-09,170279.94
2016-10,165266.05
2016-11,153888.33
2016-12,149672.20
2017-01,146389.11
2017-02,149865.36
2017-03,165122.23
2017-04,154500.36
2017-05,163191.02
2017-06,161839.12
2017-07,155079.73
2017-08,145809.70
2017-09,143878.47
2017-10,172654.14
2017-11,154500.36
2017-12,168297.58
2018-01,176035.38
2018-02,155336.75
2018-03,153208.83
2018-04,138506.98
2018-05,129415.03
2018-06,147598.92
2018-07,138506.98
2018-08,145471.00
2018-09,138506.98
2018-10,110747.55
2018-11,122354.27
2018-12,118313.94
2019-01,131890.95
2019-02,128981.58
2019-03,120253.52
2019-04,115889.48
2019-05,108131.17
2019-06,110555.66
2019-07,133830.53
2019-08,142073.70
2019-09,152256.47
2019-10,159044.97
2019-11,166803.27
2019-12,181242.70
2020-01,174440.03
2020-02,169095.06
2020-03,165207.84
2020-04,191932.61
2020-05,219629.23
2020-06,259473.48
2020-07,292515.06
2020-08,313409.03
2020-09,288141.88
2020-10,281825.16
2020-11,269677.47
2020-12,284661.91
2021-01,333808.69
2021-02,364951.12
2021-03,366897.56
2021-04,349866.50
2021-05,352786.09
2021-06,406312.31
2021-07,421883.53
2021-08,427236.16
2021-09,377602.78
2021-10,396093.66
2021-11,370790.38
2021-12,368847.56
2022-01,302094.44
2022-02,306479.69
2022-03,331816.62
2022-04,279193.72
2022-05,280655.47
2022-06,233879.56
2022-07,252395.02
2022-08,233879.56
2022-09,189428.95
2022-10,165933.88
2022-11,183065.69
2022-12,173765.55
2023-01,202644.89
2023-02,204113.36
2023-03,197750.09
2023-04,188254.17
2023-05,195302.69
2023-06,179356.81
2023-07,222724.28
2023-08,210459.72
2023-09,197704.59
2023-10,183870.19
2023-11,204082.17
2023-12,220589.44
2024-01,197447.25
2024-02,192031.00
2024-03,184546.70
2024-04,181592.39
2024-05,167608.59
2024-06,164358.83
2024-07,171350.73
2024-08,166525.34
2024-09,166820.77
2024-10,167411.64
2024-11,203355.91
2024-12,195871.61
2025-01,213203.64
2025-02,204848.19
2025-03,189014.52
2025-04,198415.75
2025-05,185550.89
2025-06,259771.25
2025-07,232557.12
2025-08,212270.22
2025-09,265708.88
2025-10,264719.28
2025-11,241463.56
2025-12,239979.16
2026-01,272141.31
2026-02,254500.00
2026-03,201500.00
2026-04,211000.00
2026-05,234000.00
