date,price
2002-05,0.11
2002-06,0.10
2002-07,0.10
2002-08,0.09
2002-09,0.07
2002-10,0.06
2002-11,0.08
2002-12,0.08
2003-01,0.09
2003-02,0.12
2003-03,0.15
2003-04,0.16
2003-05,0.16
2003-06,0.18
2003-07,0.19
2003-08,0.24
2003-09,0.24
2003-10,0.41
2003-11,0.35
2003-12,0.39
2004-01,0.52
2004-02,0.49
2004-03,0.49
2004-04,0.36
2004-05,0.47
2004-06,0.51
2004-07,0.29
2004-08,0.20
2004-09,0.22
2004-10,0.14
2004-11,0.16
2004-12,0.18
2005-01,0.16
2005-02,0.15
2005-03,0.16
2005-04,0.17
2005-05,0.20
2005-06,0.23
2005-07,0.27
2005-08,0.31
2005-09,0.37
2005-10,0.38
2005-11,0.39
2005-12,0.39
2006-01,0.39
2006-02,0.38
2006-03,0.41
2006-04,0.42
2006-05,0.40
2006-06,0.39
2006-07,0.30
2006-08,0.29
2006-09,0.33
2006-10,0.40
2006-11,0.42
2006-12,0.37
2007-01,0.33
2007-02,0.32
2007-03,0.33
2007-04,0.32
2007-05,0.31
2007-06,0.28
2007-07,0.25
2007-08,0.25
2007-09,0.30
2007-10,0.38
2007-11,0.33
2007-12,0.38
2008-01,0.36
2008-02,0.45
2008-03,0.50
2008-04,0.46
2008-05,0.43
2008-06,0.37
2008-07,0.44
2008-08,0.44
2008-09,0.44
2008-10,0.35
2008-11,0.33
2008-12,0.43
2009-01,0.52
2009-02,0.52
2009-03,0.61
2009-04,0.65
2009-05,0.56
2009-06,0.59
2009-07,0.63
2009-08,0.62
2009-09,0.66
2009-10,0.76
2009-11,0.84
2009-12,0.79
2010-01,0.89
2010-02,0.94
2010-03,1.05
2010-04,1.41
2010-05,1.59
2010-06,1.55
2010-07,1.47
2010-08,1.79
2010-09,2.32
2010-10,2.48
2010-11,2.94
2010-12,2.51
2011-01,3.06
2011-02,2.95
2011-03,3.40
2011-04,3.32
2011-05,3.87
2011-06,3.75
2011-07,3.80
2011-08,3.36
2011-09,1.62
2011-10,1.17
2011-11,0.92
2011-12,0.99
2012-01,1.72
2012-02,1.58
2012-03,1.64
2012-04,1.14
2012-05,0.91
2012-06,0.98
2012-07,0.81
2012-08,0.85
2012-09,0.78
2012-10,1.13
2012-11,1.17
2012-12,1.32
2013-01,2.36
2013-02,2.69
2013-03,2.70
2013-04,3.09
2013-05,3.23
2013-06,3.02
2013-07,3.49
2013-08,4.06
2013-09,4.42
2013-10,4.61
2013-11,5.23
2013-12,5.26
2014-01,5.85
2014-02,6.37
2014-03,5.03
2014-04,4.60
2014-05,5.97
2014-06,6.29
2014-07,6.04
2014-08,6.82
2014-09,6.45
2014-10,5.61
2014-11,4.95
2014-12,4.88
2015-01,6.31
2015-02,6.78
2015-03,5.95
2015-04,7.95
2015-05,8.92
2015-06,9.38
2015-07,11.43
2015-08,11.50
2015-09,10.33
2015-10,10.84
2015-11,12.33
2015-12,11.44
2016-01,9.18
2016-02,9.34
2016-03,10.22
2016-04,9.00
2016-05,10.26
2016-06,9.15
2016-07,9.12
2016-08,9.74
2016-09,9.85
2016-10,12.49
2016-11,11.70
2016-12,12.38
2017-01,14.07
2017-02,14.21
2017-03,14.78
2017-04,15.22
2017-05,16.31
2017-06,14.94
2017-07,18.17
2017-08,17.47
2017-09,18.14
2017-10,19.64
2017-11,18.76
2017-12,19.20
2018-01,27.03
2018-02,29.14
2018-03,29.53
2018-04,31.25
2018-05,35.16
2018-06,39.14
2018-07,33.74
2018-08,36.77
2018-09,37.41
2018-10,30.18
2018-11,28.61
2018-12,26.77
2019-01,33.95
2019-02,35.81
2019-03,35.66
2019-04,37.05
2019-05,34.33
2019-06,36.73
2019-07,32.30
2019-08,29.38
2019-09,26.76
2019-10,28.74
2019-11,31.47
2019-12,32.36
2020-01,34.51
2020-02,36.90
2020-03,37.55
2020-04,41.99
2020-05,41.97
2020-06,45.50
2020-07,48.89
2020-08,52.96
2020-09,50.00
2020-10,47.57
2020-11,49.07
2020-12,54.07
2021-01,53.24
2021-02,53.88
2021-03,52.17
2021-04,51.35
2021-05,50.28
2021-06,52.82
2021-07,51.76
2021-08,56.92
2021-09,61.03
2021-10,69.03
2021-11,64.19
2021-12,60.24
2022-01,42.71
2022-02,39.45
2022-03,37.46
2022-04,19.04
2022-05,19.74
2022-06,17.49
2022-07,22.49
2022-08,22.36
2022-09,23.54
2022-10,29.19
2022-11,30.55
2022-12,29.49
2023-01,35.39
2023-02,32.21
2023-03,34.55
2023-04,32.99
2023-05,39.52
2023-06,44.05
2023-07,43.90
2023-08,43.37
2023-09,37.76
2023-10,41.17
2023-11,47.40
2023-12,48.69
2024-01,56.41
2024-02,60.29
2024-03,60.73
2024-04,55.06
2024-05,64.16
2024-06,67.49
2024-07,62.83
2024-08,70.14
2024-09,70.93
2024-10,75.60
2024-11,88.68
2024-12,89.13
2025-01,97.68
2025-02,98.06
2025-03,93.25
2025-04,113.17
2025-05,120.72
2025-06,133.91
2025-07,115.94
2025-08,120.82
2025-09,119.89
2025-10,111.89
2025-11,107.58
2025-12,93.76
2026-01,83.49
2026-02,96.24
2026-03,96.15
2026-04,93.61
2026-05,86.02
