date,price
2000-01,0.07
2000-02,0.12
2000-03,0.16
2000-04,0.17
2000-05,0.22
2000-06,0.24
2000-07,0.23
2000-08,0.30
2000-09,0.31
2000-10,0.24
2000-11,0.15
2000-12,0.13
2001-01,0.20
2001-02,0.17
2001-03,0.25
2001-04,0.32
2001-05,0.33
2001-06,0.35
2001-07,0.31
2001-08,0.32
2001-09,0.21
2001-10,0.33
2001-11,0.42
2001-12,0.51
2002-01,0.50
2002-02,0.39
2002-03,0.34
2002-04,0.27
2002-05,0.26
2002-06,0.13
2002-07,0.08
2002-08,0.08
2002-09,0.07
2002-10,0.09
2002-11,0.13
2002-12,0.09
2003-01,0.08
2003-02,0.10
2003-03,0.10
2003-04,0.11
2003-05,0.20
2003-06,0.18
2003-07,0.15
2003-08,0.14
2003-09,0.12
2003-10,0.14
2003-11,0.16
2003-12,0.18
2004-01,0.17
2004-02,0.17
2004-03,0.20
2004-04,0.16
2004-05,0.18
2004-06,0.16
2004-07,0.12
2004-08,0.10
2004-09,0.11
2004-10,0.11
2004-11,0.15
2004-12,0.18
2005-01,0.18
2005-02,0.22
2005-03,0.18
2005-04,0.17
2005-05,0.21
2005-06,0.20
2005-07,0.21
2005-08,0.23
2005-09,0.26
2005-10,0.26
2005-11,0.28
2005-12,0.28
2006-01,0.34
2006-02,0.36
2006-03,0.44
2006-04,0.45
2006-05,0.35
2006-06,0.33
2006-07,0.34
2006-08,0.44
2006-09,0.45
2006-10,0.53
2006-11,0.57
2006-12,0.57
2007-01,0.47
2007-02,0.47
2007-03,0.44
2007-04,0.50
2007-05,0.53
2007-06,0.63
2007-07,0.70
2007-08,0.78
2007-09,0.83
2007-10,0.81
2007-11,0.72
2007-12,0.78
2008-01,0.56
2008-02,0.49
2008-03,0.45
2008-04,0.47
2008-05,0.57
2008-06,0.43
2008-07,0.26
2008-08,0.29
2008-09,0.25
2008-10,0.20
2008-11,0.17
2008-12,0.18
2009-01,0.18
2009-02,0.19
2009-03,0.23
2009-04,0.26
2009-05,0.24
2009-06,0.26
2009-07,0.30
2009-08,0.33
2009-09,0.34
2009-10,0.27
2009-11,0.30
2009-12,0.43
2010-01,0.35
2010-02,0.37
2010-03,0.40
2010-04,0.36
2010-05,0.30
2010-06,0.23
2010-07,0.21
2010-08,0.21
2010-09,0.27
2010-10,0.28
2010-11,0.31
2010-12,0.35
2011-01,0.55
2011-02,0.52
2011-03,0.42
2011-04,0.46
2011-05,0.46
2011-06,0.37
2011-07,0.32
2011-08,0.31
2011-09,0.29
2011-10,0.34
2011-11,0.36
2011-12,0.32
2012-01,0.34
2012-02,0.35
2012-03,0.35
2012-04,0.30
2012-05,0.28
2012-06,0.32
2012-07,0.31
2012-08,0.32
2012-09,0.31
2012-10,0.27
2012-11,0.28
2012-12,0.28
2013-01,0.28
2013-02,0.29
2013-03,0.30
2013-04,0.32
2013-05,0.34
2013-06,0.33
2013-07,0.34
2013-08,0.35
2013-09,0.36
2013-10,0.36
2013-11,0.37
2013-12,0.38
2014-01,0.37
2014-02,0.44
2014-03,0.42
2014-04,0.44
2014-05,0.45
2014-06,0.44
2014-07,0.42
2014-08,0.46
2014-09,0.44
2014-10,0.47
2014-11,0.50
2014-12,0.48
2015-01,0.46
