date,price
2006-04,556.96
2006-05,541.84
2006-06,558.16
2006-07,556.16
2006-08,518.40
2006-09,456.00
2006-10,416.80
2006-11,436.64
2006-12,412.80
2007-01,385.92
2007-02,409.44
2007-03,426.80
2007-04,409.92
2007-05,391.68
2007-06,424.00
2007-07,468.24
2007-08,446.24
2007-09,500.40
2007-10,586.16
2007-11,559.28
2007-12,606.08
2008-01,578.80
2008-02,643.36
2008-03,650.88
2008-04,740.00
2008-05,824.48
2008-06,909.28
2008-07,799.92
2008-08,742.96
2008-09,656.08
2008-10,444.72
2008-11,336.72
2008-12,264.80
2009-01,233.76
2009-02,216.40
2009-03,232.40
2009-04,229.04
2009-05,291.20
2009-06,303.44
2009-07,294.48
2009-08,288.40
2009-09,289.52
2009-10,314.56
2009-11,313.20
2009-12,314.24
2010-01,285.12
2010-02,310.56
2010-03,322.32
2010-04,330.64
2010-05,272.32
2010-06,271.68
2010-07,282.72
2010-08,255.36
2010-09,278.72
2010-10,281.36
2010-11,288.32
2010-12,312.00
2011-01,308.88
2011-02,313.52
2011-03,340.80
2011-04,361.20
2011-05,324.00
2011-06,297.92
2011-07,299.36
2011-08,276.08
2011-09,243.92
2011-10,285.92
2011-11,310.24
2011-12,304.88
2012-01,302.56
2012-02,327.36
2012-03,313.84
2012-04,317.44
2012-05,260.88
2012-06,254.64
2012-07,261.44
2012-08,287.12
2012-09,272.96
2012-10,254.24
2012-11,260.48
2012-12,266.96
2013-01,282.24
2013-02,264.48
2013-03,278.00
2013-04,265.28
2013-05,260.88
2013-06,273.44
2013-07,298.88
2013-08,307.84
2013-09,294.80
2013-10,277.52
2013-11,267.68
2013-12,282.56
2014-01,278.40
2014-02,293.92
2014-03,292.72
2014-04,290.56
2014-05,301.44
2014-06,311.04
2014-07,290.56
2014-08,286.08
2014-09,275.28
2014-10,245.04
2014-11,204.64
2014-12,162.88
2015-01,142.56
2015-02,144.80
2015-03,134.72
2015-04,164.08
2015-05,162.48
2015-06,159.04
2015-07,124.72
2015-08,127.12
2015-09,117.44
2015-10,118.48
2015-11,103.44
2015-12,88.00
2016-01,77.20
2016-02,72.00
2016-03,77.60
2016-04,90.40
2016-05,94.96
2016-06,92.56
2016-07,78.08
2016-08,82.88
2016-09,87.44
2016-10,84.24
2016-11,87.44
2016-12,93.76
2017-01,90.56
2017-02,91.60
2017-03,85.12
2017-04,81.92
2017-05,79.68
2017-06,76.00
2017-07,82.24
2017-08,77.04
2017-09,83.44
2017-10,87.44
2017-11,91.76
2017-12,96.08
2018-01,103.84
2018-02,98.96
2018-03,104.72
2018-04,110.40
2018-05,108.40
2018-06,120.48
2018-07,114.24
2018-08,117.68
2018-09,124.16
2018-10,110.32
2018-11,85.84
2018-12,77.28
2019-01,90.80
2019-02,95.60
2019-03,100.00
2019-04,106.32
2019-05,88.80
2019-06,96.32
2019-07,96.32
2019-08,91.68
2019-09,90.72
2019-10,90.40
2019-11,92.96
2019-12,102.48
2020-01,86.72
2020-02,75.60
2020-03,33.68
2020-04,19.12
2020-05,25.88
2020-06,28.06
2020-07,29.07
2020-08,30.58
2020-09,28.29
2020-10,25.25
2020-11,30.97
2020-12,33.01
2021-01,35.18
2021-02,41.31
2021-03,40.53
2021-04,43.27
2021-05,45.42
2021-06,49.88
2021-07,50.66
2021-08,48.04
2021-09,52.56
2021-10,57.15
2021-11,47.91
2021-12,54.36
2022-01,62.48
2022-02,67.48
2022-03,74.12
2022-04,77.16
2022-05,85.47
2022-06,80.35
2022-07,78.05
2022-08,73.11
2022-09,65.28
2022-10,71.53
2022-11,70.23
2022-12,70.11
2023-01,69.32
2023-02,67.21
2023-03,66.44
2023-04,67.50
2023-05,60.63
2023-06,63.55
2023-07,73.17
2023-08,75.06
2023-09,80.86
2023-10,75.02
2023-11,70.14
2023-12,66.65
2024-01,70.92
2024-02,73.36
2024-03,78.73
2024-04,78.38
2024-05,74.82
2024-06,79.59
2024-07,77.74
2024-08,74.34
2024-09,69.92
2024-10,73.08
2024-11,71.61
2024-12,75.55
2025-01,78.02
2025-02,75.22
2025-03,77.33
2025-04,63.56
2025-05,67.15
2025-06,73.11
2025-07,79.59
2025-08,74.84
2025-09,73.75
2025-10,72.56
2025-11,71.07
2025-12,69.16
2026-01,79.52
2026-02,81.95
2026-03,127.25
2026-04,147.09
2026-05,129.09
