date,price
2000-01,19.90
2000-02,29.58
2000-03,31.10
2000-04,31.85
2000-05,28.63
2000-06,33.49
2000-07,29.95
2000-08,36.23
2000-09,31.37
2000-10,26.29
2000-11,21.11
2000-12,23.16
2001-01,23.21
2001-02,15.14
2001-03,11.66
2001-04,12.88
2001-05,12.19
2001-06,15.14
2001-07,14.41
2001-08,9.73
2001-09,10.02
2001-10,10.80
2001-11,11.18
2001-12,11.00
2002-01,13.75
2002-02,13.24
2002-03,10.20
2002-04,8.00
2002-05,6.31
2002-06,7.55
2002-07,7.98
2002-08,7.64
2002-09,6.26
2002-10,8.12
2002-11,9.68
2002-12,8.60
2003-01,9.58
2003-02,9.53
2003-03,8.64
2003-04,9.47
2003-05,10.37
2003-06,9.57
2003-07,9.55
2003-08,10.22
2003-09,8.96
2003-10,9.54
2003-11,9.58
2003-12,10.54
2004-01,11.04
2004-02,10.25
2004-03,9.56
2004-04,8.96
2004-05,9.08
2004-06,9.51
2004-07,8.37
2004-08,7.94
2004-09,8.99
2004-10,10.09
2004-11,10.15
2004-12,10.93
2005-01,10.97
2005-02,10.32
2005-03,9.94
2005-04,9.21
2005-05,10.20
2005-06,10.52
2005-07,10.81
2005-08,10.35
2005-09,9.88
2005-10,10.10
2005-11,10.04
2005-12,9.73
2006-01,10.02
2006-02,9.90
2006-03,10.91
2006-04,11.62
2006-05,11.33
2006-06,11.55
2006-07,11.93
2006-08,12.48
2006-09,14.13
2006-10,14.72
2006-11,15.18
2006-12,13.66
2007-01,13.67
2007-02,13.09
2007-03,14.45
2007-04,14.98
2007-05,15.44
2007-06,15.70
2007-07,15.23
2007-08,16.16
2007-09,17.25
2007-10,17.66
2007-11,16.08
2007-12,17.99
2008-01,16.37
2008-02,14.98
2008-03,15.58
2008-04,16.61
2008-05,18.20
2008-06,16.73
2008-07,17.15
2008-08,17.47
2008-09,16.18
2008-10,14.57
2008-11,12.82
2008-12,14.13
2009-01,13.41
2009-02,12.38
2009-03,14.40
2009-04,15.45
2009-05,15.65
2009-06,17.11
2009-07,17.72
2009-08,17.52
2009-09,16.69
2009-10,16.94
2009-11,17.72
2009-12,19.69
2010-01,18.55
2010-02,19.83
2010-03,20.68
2010-04,20.85
2010-05,18.19
2010-06,17.29
2010-07,19.09
2010-08,17.64
2010-09,21.68
2010-10,23.77
2010-11,21.89
2010-12,25.32
2011-01,25.96
2011-02,26.66
2011-03,27.09
2011-04,29.19
2011-05,27.78
2011-06,26.72
2011-07,24.87
2011-08,22.83
2011-09,23.37
2011-10,26.70
2011-11,25.55
2011-12,20.90
2012-01,23.04
2012-02,23.89
2012-03,23.82
2012-04,24.06
2012-05,21.66
2012-06,24.31
2012-07,24.77
2012-08,25.96
2012-09,25.80
2012-10,25.54
2012-11,26.44
2012-12,27.53
2013-01,29.34
2013-02,28.29
2013-03,26.71
2013-04,27.09
2013-05,27.91
2013-06,25.38
2013-07,26.83
2013-08,26.43
2013-09,27.51
2013-10,27.89
2013-11,29.38
2013-12,31.85
2014-01,30.82
2014-02,32.66
2014-03,34.16
2014-04,34.24
2014-05,35.20
2014-06,33.95
2014-07,33.93
2014-08,34.89
2014-09,32.16
2014-10,32.90
2014-11,35.74
2014-12,37.89
2015-01,35.39
2015-02,37.02
2015-03,36.46
2015-04,36.98
2015-05,36.87
2015-06,34.17
2015-07,33.99
2015-08,31.56
2015-09,30.74
2015-10,33.19
2015-11,33.30
2015-12,31.21
2016-01,31.15
2016-02,31.56
2016-03,35.10
2016-04,34.33
2016-05,34.62
2016-06,35.25
2016-07,35.47
2016-08,35.63
2016-09,33.95
2016-10,33.34
2016-11,34.87
2016-12,33.36
2017-01,34.94
2017-02,37.10
2017-03,38.86
2017-04,39.33
2017-05,39.71
