date,price
2020-09,9.50
2020-10,10.13
2020-11,27.11
2020-12,23.55
2021-01,35.18
2021-02,23.90
2021-03,23.29
2021-04,23.04
2021-05,22.95
2021-06,26.36
2021-07,21.71
2021-08,26.34
2021-09,24.04
2021-10,25.88
2021-11,20.65
2021-12,18.21
2022-01,13.71
2022-02,11.85
2022-03,13.73
2022-04,10.40
2022-05,8.68
2022-06,9.07
2022-07,10.35
2022-08,7.72
2022-09,8.13
2022-10,8.79
2022-11,7.50
2022-12,6.42
2023-01,7.78
2023-02,7.84
2023-03,8.45
2023-04,7.75
2023-05,14.71
2023-06,15.33
2023-07,19.84
2023-08,14.98
2023-09,16.00
2023-10,14.80
2023-11,20.05
2023-12,17.17
2024-01,16.09
2024-02,25.08
2024-03,23.01
2024-04,21.97
2024-05,21.68
2024-06,25.33
2024-07,26.89
2024-08,31.48
2024-09,37.20
2024-10,41.56
2024-11,67.08
2024-12,75.63
2025-01,82.49
2025-02,84.92
2025-03,84.40
2025-04,118.44
2025-05,131.78
2025-06,136.32
2025-07,158.35
2025-08,156.71
2025-09,182.42
2025-10,200.47
2025-11,168.45
2025-12,177.75
2026-01,146.59
2026-02,137.19
2026-03,146.28
2026-04,139.11
2026-05,156.54
