date,price
2000-01,72881.40
2000-02,61099.83
2000-03,58359.90
2000-04,47564.71
2000-05,46578.32
2000-06,51838.95
2000-07,48222.28
2000-08,44934.38
2000-09,45482.36
2000-10,36221.51
2000-11,39892.97
2000-12,41920.50
2001-01,53154.10
2001-02,55346.02
2001-03,49318.24
2001-04,53702.08
2001-05,57263.94
2001-06,56989.95
2001-07,48331.87
2001-08,49592.21
2001-09,42084.91
2001-10,48770.24
2001-11,58633.90
2001-12,66853.62
2002-01,69319.52
2002-02,80279.12
2002-03,76169.30
2002-04,70415.50
2002-05,76443.30
2002-06,73155.38
2002-07,64113.71
2002-08,59181.89
2002-09,58359.90
2002-10,62743.74
2002-11,68223.56
2002-12,64661.70
2003-01,65209.66
2003-02,60551.84
2003-03,53976.06
2003-04,56167.99
2003-05,58907.88
2003-06,67949.58
2003-07,77813.22
2003-08,76169.30
2003-09,72333.39
2003-10,75621.28
2003-11,78361.20
2003-12,89320.80
2004-01,85758.95
2004-02,94800.59
2004-03,88772.80
2004-04,78635.22
2004-05,76717.27
2004-06,81649.09
2004-07,87402.87
2004-08,90690.76
2004-09,93978.64
2004-10,91786.73
2004-11,107130.16
2004-12,102472.36
2005-01,102198.33
2005-02,121377.66
2005-03,110144.05
2005-04,98362.45
2005-05,98636.48
2005-06,100006.41
2005-07,112335.98
2005-08,117267.80
2005-09,128775.41
2005-10,115897.88
2005-11,113705.97
2005-12,110692.05
2006-01,120829.67
2006-02,124391.57
2006-03,136173.16
2006-04,144118.83
2006-05,137269.12
2006-06,141423.52
2006-07,130374.78
2006-08,133413.16
2006-09,134794.31
2006-10,144461.88
2006-11,161311.17
2006-12,174060.67
2007-01,185608.39
2007-02,200535.91
2007-03,222504.72
2007-04,221659.75
2007-05,251233.20
2007-06,251269.00
2007-07,302542.56
2007-08,325205.00
2007-09,381294.25
2007-10,365430.66
2007-11,332570.31
2007-12,330076.94
2008-01,292189.81
2008-02,304244.72
2008-03,273246.19
2008-04,281569.91
2008-05,320892.16
2008-06,313733.91
2008-07,312003.69
2008-08,271921.97
2008-09,254908.81
2008-10,207041.31
2008-11,196083.73
2008-12,223594.64
2009-01,212120.69
2009-02,185348.20
2009-03,214474.31
2009-04,233597.59
2009-05,247130.94
2009-06,250081.33
2009-07,296436.56
2009-08,272520.75
2009-09,287578.72
2009-10,297617.50
2009-11,329505.06
2009-12,368808.50
2010-01,319872.75
2010-02,316292.06
2010-03,315098.53
2010-04,297792.03
2010-05,281679.00
2010-06,279827.22
2010-07,295123.38
2010-08,291824.12
2010-09,309519.53
2010-10,277128.09
2010-11,272629.19
2010-12,296636.78
2011-01,276536.25
2011-02,280190.88
2011-03,307600.91
2011-04,285063.78
2011-05,266485.97
2011-06,284178.50
2011-07,284484.72
2011-08,247737.48
2011-09,227220.30
2011-10,238244.42
2011-11,228138.98
2011-12,237283.81
2012-01,258826.80
2012-02,259763.38
2012-03,237283.81
2012-04,234473.94
2012-05,226044.19
2012-06,228252.39
2012-07,228880.33
2012-08,231706.03
2012-09,229508.19
2012-10,215693.80
2012-11,203135.17
2012-12,222953.09
2013-01,227744.41
2013-02,225827.92
2013-03,208259.94
2013-04,200593.95
2013-05,205704.55
2013-06,192004.94
2013-07,208085.66
2013-08,207442.45
2013-09,205512.78
2013-10,203583.00
2013-11,210658.56
2013-12,213839.61
2014-01,195501.25
2014-02,186004.45
2014-03,193863.81
2014-04,201395.67
2014-05,189279.19
2014-06,200417.58
2014-07,222503.09
2014-08,220195.61
2014-09,216569.70
2014-10,201736.05
2014-11,199428.72
2014-12,185506.58
2015-01,170019.69
2015-02,180119.84
2015-03,164632.92
2015-04,169683.08
2015-05,164296.25
2015-06,152170.11
2015-07,133488.41
2015-08,129072.79
2015-09,114467.20
2015-10,123638.16
2015-11,114806.87
2015-12,117100.66
2016-01,125540.28
2016-02,139606.45
2016-03,154375.88
2016-04,169145.33
2016-05,146287.83
2016-06,142792.66
2016-07,160508.91
2016-08,163697.83
2016-09,161390.64
2016-10,168500.33
2016-11,177387.50
2016-12,187240.20
2017-01,197056.70
2017-02,206145.97
2017-03,212713.25
2017-04,195535.41
2017-05,206134.48
2017-06,210903.27
2017-07,243971.81
2017-08,252422.62
2017-09,234076.16
2017-10,240352.62
2017-11,247367.52
2017-12,245521.47
2018-01,280965.12
2018-02,266935.38
2018-03,241433.67
2018-04,276295.06
2018-05,251817.92
2018-06,245140.62
2018-07,246258.34
2018-08,243277.89
2018-09,220885.19
2018-10,193508.95
2018-11,185633.59
2018-12,186063.45
2019-01,209799.89
2019-02,201377.27
2019-03,195251.70
2019-04,196795.20
2019-05,183289.66
2019-06,190257.78
2019-07,175472.94
2019-08,164189.75
2019-09,178186.28
2019-10,166019.34
2019-11,180933.59
2019-12,188750.39
2020-01,176379.81
2020-02,156028.30
2020-03,129683.68
2020-04,148612.62
2020-05,145793.47
2020-06,140538.97
2020-07,156289.05
2020-08,149019.80
2020-09,159541.86
2020-10,169309.73
2020-11,190473.44
2020-12,225108.86
2021-01,203177.31
2021-02,232971.11
2021-03,267286.09
2021-04,304037.91
2021-05,296520.44
2021-06,293995.59
2021-07,309624.72
2021-08,284702.59
2021-09,283006.59
2021-10,253848.45
2021-11,223832.48
2021-12,239636.41
2022-01,231342.98
2022-02,240509.47
2022-03,259255.09
2022-04,255715.75
2022-05,255715.75
2022-06,207366.67
2022-07,217712.50
2022-08,229407.80
2022-09,191503.59
2022-10,225992.39
2022-11,271826.19
2022-12,252682.03
2023-01,277356.28
2023-02,290607.22
2023-03,338783.91
2023-04,347069.41
2023-05,331419.09
2023-06,359503.56
2023-07,594848.75
2023-08,536475.75
2023-09,498017.12
2023-10,383054.31
2023-11,449611.78
2023-12,464971.19
2024-01,396551.97
2024-02,404037.38
2024-03,397463.59
2024-04,381452.03
2024-05,347545.16
2024-06,344258.44
2024-07,333352.19
2024-08,322445.94
2024-09,367521.56
2024-10,320268.75
2024-11,269674.94
2024-12,241991.47
2025-01,248673.67
2025-02,262455.62
2025-03,268234.44
2025-04,250897.94
2025-05,243303.66
2025-06,254009.00
2025-07,300236.69
2025-08,280141.50
2025-09,270819.78
2025-10,304672.28
2025-11,306221.81
2025-12,301769.50
2026-01,343819.34
2026-02,411154.19
2026-03,331013.97
2026-04,459935.19
2026-05,423500.00
