date,price
2000-01,75.66
2000-02,90.05
2000-03,92.37
2000-04,79.93
2000-05,70.12
2000-06,78.82
2000-07,75.45
2000-08,85.73
2000-09,74.87
2000-10,68.92
2000-11,53.13
2000-12,49.24
2001-01,54.24
2001-02,40.03
2001-03,33.03
2001-04,38.93
2001-05,37.73
2001-06,38.55
2001-07,35.23
2001-08,30.90
2001-09,24.45
2001-10,28.60
2001-11,33.45
2001-12,32.82
2002-01,32.49
2002-02,28.50
2002-03,30.42
2002-04,26.77
2002-05,25.34
2002-06,22.02
2002-07,20.12
2002-08,19.82
2002-09,17.48
2002-10,20.71
2002-11,23.38
2002-12,20.56
2003-01,20.62
2003-02,21.22
2003-03,21.30
2003-04,23.16
2003-05,25.13
2003-06,25.26
2003-07,26.83
2003-08,28.17
2003-09,27.35
2003-10,29.68
2003-11,29.85
2003-12,30.77
2004-01,31.28
2004-02,30.86
2004-03,30.25
2004-04,29.34
2004-05,30.84
2004-06,31.85
2004-07,29.44
2004-08,28.71
2004-09,29.65
2004-10,31.14
2004-11,33.01
2004-12,34.01
2005-01,31.86
2005-02,31.71
2005-03,31.16
2005-04,29.80
2005-05,32.44
2005-06,31.36
2005-07,33.75
2005-08,33.24
2005-09,33.65
2005-10,33.15
2005-11,35.17
2005-12,34.54
2006-01,35.90
2006-02,35.13
2006-03,35.87
2006-04,35.80
2006-05,33.21
2006-06,33.19
2006-07,31.76
2006-08,33.27
2006-09,34.82
2006-10,36.47
2006-11,37.72
2006-12,37.01
2007-01,37.79
2007-02,37.16
2007-03,37.35
2007-04,39.44
2007-05,40.68
2007-06,40.88
2007-07,40.82
2007-08,41.97
2007-09,44.17
2007-10,47.28
2007-11,44.08
2007-12,44.05
2008-01,38.82
2008-02,36.94
2008-03,37.63
2008-04,40.64
2008-05,43.05
2008-06,38.91
2008-07,39.16
2008-08,39.73
2008-09,33.54
2008-10,28.35
2008-11,25.10
2008-12,25.67
2009-01,25.08
2009-02,23.76
2009-03,26.22
2009-04,29.64
2009-05,30.59
2009-06,31.49
2009-07,34.15
2009-08,34.65
2009-09,36.61
2009-10,35.49
2009-11,37.75
2009-12,39.71
2010-01,37.14
2010-02,38.85
2010-03,41.85
2010-04,42.78
2010-05,39.62
2010-06,37.25
2010-07,39.96
2010-08,37.91
2010-09,42.90
2010-10,45.62
2010-11,45.54
2010-12,47.71
2011-01,49.06
2011-02,50.61
2011-03,50.38
2011-04,51.83
2011-05,51.20
2011-06,50.16
2011-07,51.00
2011-08,48.41
2011-09,46.24
2011-10,51.05
2011-11,49.67
2011-12,49.37
2012-01,53.52
2012-02,56.95
2012-03,59.83
2012-04,59.13
2012-05,54.97
2012-06,56.96
2012-07,57.53
2012-08,60.51
2012-09,61.05
2012-10,57.82
2012-11,58.58
2012-12,58.31
2013-01,59.87
2013-02,60.07
2013-03,61.89
2013-04,63.46
2013-05,65.73
2013-06,64.15
2013-07,68.21
2013-08,67.94
2013-09,71.22
2013-10,74.75
2013-11,77.40
2013-12,79.67
2014-01,78.14
2014-02,82.16
2014-03,79.92
2014-04,79.66
2014-05,83.24
2014-06,85.84
2014-07,86.85
2014-08,91.20
2014-09,90.51
2014-10,92.90
2014-11,97.13
2014-12,94.95
2015-01,92.97
2015-02,99.69
2015-03,97.33
2015-04,99.21
2015-05,101.44
2015-06,98.92
2015-07,103.42
2015-08,96.37
2015-09,94.24
2015-10,104.95
2015-11,105.59
2015-12,103.91
2016-01,96.73
2016-02,95.21
2016-03,101.74
2016-04,98.50
2016-05,102.80
2016-06,100.46
2016-07,107.64
2016-08,108.77
2016-09,111.18
2016-10,109.56
2016-11,110.04
2016-12,111.28
2017-01,117.01
2017-02,122.12
2017-03,124.60
2017-04,128.00
2017-05,132.99
2017-06,129.90
2017-07,135.18
2017-08,137.98
2017-09,137.57
2017-10,143.91
2017-11,146.75
2017-12,147.63
2018-01,160.56
2018-02,158.49
2018-03,152.02
2018-04,152.79
2018-05,161.46
2018-06,163.31
2018-07,167.88
2018-08,177.58
2018-09,177.08
2018-10,161.86
2018-11,161.43
2018-12,147.45
2019-01,160.73
2019-02,165.54
2019-03,172.04
2019-04,181.50
2019-05,166.57
2019-06,179.21
2019-07,183.40
2019-08,179.91
2019-09,181.57
2019-10,189.52
2019-11,197.23
2019-12,204.90
2020-01,211.12
2020-02,198.33
2020-03,183.88
2020-04,211.42
2020-05,225.37
2020-06,239.54
2020-07,257.14
2020-08,285.28
2020-09,268.80
2020-10,260.61
2020-11,289.87
2020-12,304.08
2021-01,304.87
2021-02,304.47
2021-03,309.69
2021-04,328.00
2021-05,324.06
2021-06,344.35
2021-07,354.20
2021-08,369.14
2021-09,348.16
2021-10,375.54
2021-11,383.04
2021-12,387.46
2022-01,353.57
2022-02,337.74
2022-03,353.51
2022-04,305.44
2022-05,300.60
2022-06,273.82
2022-07,308.19
2022-08,292.37
2022-09,261.57
2022-10,272.03
2022-11,287.11
2022-12,261.23
2023-01,289.04
2023-02,288.00
2023-03,315.34
2023-04,316.94
2023-05,341.92
2023-06,363.48
2023-07,377.51
2023-08,371.91
2023-09,353.02
2023-10,345.73
2023-11,383.13
2023-12,404.54
2024-01,411.90
2024-02,433.66
2024-03,439.19
2024-04,419.98
2024-05,445.81
2024-06,474.66
2024-07,466.69
2024-08,471.84
2024-09,484.21
2024-10,480.03
2024-11,505.71
2024-12,508.01
2025-01,519.00
2025-02,504.97
2025-03,466.66
2025-04,473.18
2025-05,516.61
2025-06,549.60
2025-07,562.92
2025-08,568.29
2025-09,598.84
2025-10,627.47
2025-11,617.67
2025-12,613.54
2026-01,621.09
2026-02,606.53
2026-03,577.18
2026-04,667.74
2026-05,738.31
