date,price
2000-01,3903.42
2000-02,3581.63
2000-03,4686.90
2000-04,4197.22
2000-05,4309.15
2000-06,5162.59
2000-07,4127.27
2000-08,3826.47
2000-09,2826.13
2000-10,1993.68
2000-11,2266.50
2000-12,2210.54
2001-01,3077.96
2001-02,2616.27
2001-03,2910.08
2001-04,3203.88
2001-05,2966.04
2001-06,2686.22
2001-07,2651.25
2001-08,2658.24
2001-09,1965.70
2001-10,2427.40
2001-11,3049.98
2001-12,3903.42
2002-01,4239.20
2002-02,4798.83
2002-03,5148.59
2002-04,5344.47
2002-05,4784.84
2002-06,4602.95
2002-07,4651.92
2002-08,4630.94
2002-09,4176.24
2002-10,4826.81
2002-11,5414.42
2002-12,4393.10
2003-01,4078.30
2003-02,3910.41
2003-03,3973.37
2003-04,4267.18
2003-05,4533.00
2003-06,4966.72
2003-07,5820.15
2003-08,6085.97
2003-09,5484.37
2003-10,6575.65
2003-11,6505.70
2003-12,6309.83
2004-01,7331.15
2004-02,7624.96
2004-03,8002.70
2004-04,7792.85
2004-05,7079.32
2004-06,6673.58
2004-07,5834.14
2004-08,6309.83
2004-09,6407.76
2004-10,6148.93
2004-11,6078.98
2004-12,6302.83
2005-01,6925.42
2005-02,7373.12
2005-03,7023.36
2005-04,6323.82
2005-05,6841.48
2005-06,6911.42
2005-07,7904.77
2005-08,7610.97
2005-09,8226.56
2005-10,7736.88
2005-11,8394.45
2005-12,9205.91
2006-01,10353.15
2006-02,9611.65
2006-03,8814.17
2006-04,9010.04
2006-05,8702.25
2006-06,8443.70
2006-07,8513.72
2006-08,9101.84
2006-09,9297.87
2006-10,8555.72
2006-11,8961.81
2006-12,8655.02
2007-01,8189.09
2007-02,8047.90
2007-03,7949.07
2007-04,8104.38
2007-05,7553.73
2007-06,7998.30
2007-07,8676.61
2007-08,8351.59
2007-09,8125.49
2007-10,7772.21
2007-11,7984.17
2007-12,7960.65
2008-01,8519.04
2008-02,8017.92
2008-03,8919.93
2008-04,10179.89
2008-05,10609.42
2008-06,8955.30
2008-07,8081.26
2008-08,7393.50
2008-09,7723.05
2008-10,7551.11
2008-11,6963.64
2008-12,6533.79
2009-01,7084.31
2009-02,6910.46
2009-03,8228.80
2009-04,8576.50
2009-05,8083.93
2009-06,8583.70
2009-07,10497.64
2009-08,11179.12
2009-09,11817.09
2009-10,10483.14
2009-11,10439.64
2009-12,11696.57
2010-01,11476.98
2010-02,10891.42
2010-03,11974.71
2010-04,12428.51
2010-05,11359.87
2010-06,11402.22
2010-07,11932.55
2010-08,11137.05
2010-09,11446.41
2010-10,10975.00
2010-11,12168.25
2010-12,14055.15
2011-01,14529.10
2011-02,13670.08
2011-03,13803.38
2011-04,13225.77
2011-05,13359.06
2011-06,12240.82
2011-07,12507.57
2011-08,11025.63
2011-09,12448.29
2011-10,14345.17
2011-11,14878.68
2011-12,15752.32
2012-01,16481.88
2012-02,17955.86
2012-03,18983.19
2012-04,20695.39
2012-05,18030.31
2012-06,17889.08
2012-07,19497.76
2012-08,18365.73
2012-09,20048.89
2012-10,19512.65
2012-11,20942.60
2012-12,22786.69
2013-01,21678.79
2013-02,23116.06
2013-03,22861.54
2013-04,22756.75
2013-05,23026.23
2013-06,20099.78
2013-07,19171.17
2013-08,20489.20
2013-09,20474.22
2013-10,21942.01
2013-11,22376.36
2013-12,20752.50
2014-01,19360.93
2014-02,20404.61
2014-03,20313.85
2014-04,20313.85
2014-05,21826.42
2014-06,20003.76
2014-07,20321.52
2014-08,18672.20
2014-09,17915.63
2014-10,18823.52
2014-11,19474.16
2014-12,20373.27
2015-01,20956.67
2015-02,20833.85
2015-03,22123.50
2015-04,21647.56
2015-05,20066.21
2015-06,19482.69
2015-07,18207.40
2015-08,16732.38
2015-09,17423.79
2015-10,21080.64
2015-11,19728.53
2015-12,19670.52
2016-01,17953.26
2016-02,18390.38
2016-03,20482.32
2016-04,19436.35
2016-05,20170.09
2016-06,22262.34
2016-07,24043.33
2016-08,25308.76
2016-09,24965.06
2016-10,25605.60
2016-11,27277.22
2016-12,28589.11
2017-01,31302.05
2017-02,30492.93
2017-03,32792.21
2017-04,35514.30
2017-05,35577.97
2017-06,37949.79
2017-07,38476.65
2017-08,36975.89
2017-09,41046.51
2017-10,44088.18
2017-11,40662.29
2017-12,41157.54
2018-01,40301.45
2018-02,38007.73
2018-03,40043.31
2018-04,43118.57
2018-05,41247.38
2018-06,38234.75
2018-07,37906.90
2018-08,39710.04
2018-09,38357.29
2018-10,35012.89
2018-11,34558.73
2018-12,32255.28
2019-01,38464.62
2019-02,37589.47
2019-03,37507.19
2019-04,38515.23
2019-05,35701.14
2019-06,39789.47
2019-07,38392.61
2019-08,37249.71
2019-09,41825.91
2019-10,42977.09
2019-11,42891.82
2019-12,47887.77
2020-01,48402.70
2020-02,46514.65
2020-03,41281.78
2020-04,43227.01
2020-05,43832.18
2020-06,45952.93
2020-07,50391.55
2020-08,46997.31
2020-09,50964.25
2020-10,49563.18
2020-11,58407.47
2020-12,72714.70
2021-01,73612.41
2021-02,74061.25
2021-03,73398.50
2021-04,73488.66
2021-05,72586.97
2021-06,73089.47
2021-07,71096.94
2021-08,69466.69
2021-09,67430.91
2021-10,63517.93
2021-11,64882.93
2021-12,71574.71
2022-01,67004.14
2022-02,65724.40
2022-03,63950.83
2022-04,61929.39
2022-05,61929.39
2022-06,52693.76
2022-07,56761.34
2022-08,55189.77
2022-09,49425.68
2022-10,55289.75
2022-11,57896.00
2022-12,51795.27
2023-01,57508.69
2023-02,56759.38
2023-03,60291.03
2023-04,61704.11
2023-05,67262.18
2023-06,68355.26
2023-07,66083.05
2023-08,63337.48
2023-09,65096.22
2023-10,63668.67
2023-11,69283.70
2023-12,75062.12
2024-01,69516.13
2024-02,70185.50
2024-03,79149.38
2024-04,74442.70
2024-05,70600.48
2024-06,78634.05
2024-07,80949.66
2024-08,71687.25
2024-09,59670.29
2024-10,57438.72
2024-11,52587.48
2024-12,51969.19
2025-01,51187.70
2025-02,53239.11
2025-03,56798.22
2025-04,54538.09
2025-05,55225.95
2025-06,59124.00
2025-07,70592.87
2025-08,68912.09
2025-09,83321.66
2025-10,106758.98
2025-11,99807.23
2025-12,119652.34
2026-01,160168.48
2026-02,216052.81
2026-03,167200.00
2026-04,220500.00
2026-05,317000.00
