date,price
2016-11,234293.52
2016-12,229729.34
2017-01,244943.22
2017-02,250268.06
2017-03,263199.84
2017-04,266242.62
2017-05,334705.00
2017-06,444244.84
2017-07,413817.09
2017-08,430552.34
2017-09,513467.91
2017-10,584212.38
2017-11,521074.84
2017-12,564434.38
2018-01,667127.94
2018-02,684623.88
2018-03,740915.19
2018-04,742436.56
2018-05,661803.12
2018-06,634418.12
2018-07,567477.12
2018-08,704401.94
2018-09,812420.38
2018-10,589537.25
2018-11,508903.75
2018-12,588015.88
2019-01,607033.19
2019-02,572041.31
2019-03,486082.97
2019-04,517271.38
2019-05,456415.94
2019-06,486843.66
2019-07,425988.19
2019-08,409252.94
2019-09,467826.31
2019-10,606272.50
2019-11,598665.56
2019-12,658760.31
2020-01,737111.75
2020-02,705162.62
2020-03,733308.25
2020-04,883925.50
2020-05,946302.38
2020-06,1179074.50
2020-07,1115176.25
2020-08,1183638.62
2020-09,1049756.62
2020-10,1037585.56
2020-11,1195809.75
2020-12,1256665.12
2021-01,1206459.38
2021-02,1141039.88
2021-03,1137997.00
2021-04,1223194.62
2021-05,1285571.50
2021-06,1279486.00
2021-07,1354033.88
2021-08,1468137.88
2021-09,1329691.75
2021-10,1325127.62
2021-11,1352512.50
2021-12,1373812.00
2022-01,1124304.62
2022-02,1169946.12
2022-03,1271542.25
2022-04,1288455.12
2022-05,1302293.00
2022-06,1214653.38
2022-07,1329968.62
2022-08,1283842.50
2022-09,1240791.50
2022-10,1348419.00
2022-11,1363794.38
2022-12,1262317.00
2023-01,1220803.50
2023-02,1188515.25
2023-03,1211578.38
2023-04,1200815.62
2023-05,1205428.12
2023-06,1143926.75
2023-07,1177752.50
2023-08,1133164.00
2023-09,1047062.00
2023-10,1090113.00
2023-11,1114713.50
2023-12,1168527.38
2024-01,1291530.25
2024-02,1190052.88
2024-03,1277692.38
2024-04,1200815.62
2024-05,1122401.25
2024-06,1117788.62
2024-07,1442208.75
2024-08,1506785.25
2024-09,1502172.62
2024-10,1540611.00
2024-11,1499097.50
2024-12,1459121.62
2025-01,1662076.38
2025-02,1715890.12
2025-03,1559061.50
2025-04,1617487.75
2025-05,1586737.12
2025-06,1525235.62
2025-07,1640550.88
2025-08,1539073.50
2025-09,1532923.38
2025-10,1877331.38
2025-11,1607000.00
2025-12,1695000.00
2026-01,1745000.00
2026-02,1778000.00
2026-03,1504000.00
2026-04,1470000.00
2026-05,1363000.00
